level_0,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
0,IF.CFX,20150115,3504.2,3548.0,3548.6,3686.4,3534.2,3683.6,3650.2,135.6,102.2,808954.0,87356927.034,101476.0,,IF1502.CFX,,1.0,3683.6,3548.6,3686.4,3534.2,3650.2
1,IF.CFX,20150116,3683.6,3650.2,3686.8,3714.0,3661.8,3667.2,3684.6,17.0,34.4,1188668.0,131469595.524,114442.0,,IF1502.CFX,,1.0,3667.2,3686.8,3714.0,3661.8,3684.6
2,IF.CFX,20150119,3667.2,3684.6,3519.8,3519.8,3316.2,3316.2,3321.8,-368.4,-362.8,1063324.0,109446820.77,117624.0,,IF1502.CFX,,1.0,3316.2,3519.8,3519.8,3316.2,3321.8
3,IF.CFX,20150120,3316.2,3321.8,3303.0,3448.8,3300.0,3394.4,3404.4,72.6,82.6,1734080.0,176403421.806,105907.0,,IF1502.CFX,,1.0,3394.4,3303.0,3448.8,3300.0,3404.4
4,IF.CFX,20150121,3394.4,3404.4,3405.0,3581.8,3405.0,3546.0,3554.0,141.6,149.6,1459796.0,153172583.772,112574.0,,IF1502.CFX,,1.0,3546.0,3405.0,3581.8,3405.0,3554.0
5,IF.CFX,20150122,3546.0,3554.0,3555.0,3595.0,3524.2,3561.2,3574.0,7.2,20.0,1192074.0,127499544.57,108107.0,,IF1502.CFX,,1.0,3561.2,3555.0,3595.0,3524.2,3574.0
6,IF.CFX,20150123,3561.2,3574.0,3579.6,3649.0,3551.6,3597.0,3578.6,23.0,4.6,1448937.0,156493659.222,103279.0,,IF1502.CFX,,1.0,3597.0,3579.6,3649.0,3551.6,3578.6
7,IF.CFX,20150126,3597.0,3578.6,3605.0,3635.2,3571.4,3626.8,3620.6,48.2,42.0,1064911.0,115139718.03,107650.0,,IF1502.CFX,,1.0,3626.8,3605.0,3635.2,3571.4,3620.6
8,IF.CFX,20150127,3626.8,3620.6,3639.4,3643.0,3508.2,3574.6,3585.0,-46.0,-35.6,1322288.0,142051894.584,108253.0,,IF1502.CFX,,1.0,3574.6,3639.4,3643.0,3508.2,3585.0
9,IF.CFX,20150128,3574.6,3585.0,3567.2,3603.6,3511.0,3523.6,3534.4,-61.4,-50.6,1367393.0,145780042.002,108348.0,,IF1502.CFX,,1.0,3523.6,3567.2,3603.6,3511.0,3534.4
10,IF.CFX,20150129,3523.6,3534.4,3478.0,3516.6,3450.8,3493.6,3492.6,-40.8,-41.8,1232704.0,129021166.37,102412.0,,IF1502.CFX,,1.0,3493.6,3478.0,3516.6,3450.8,3492.6
11,IF.CFX,20150130,3493.6,3492.6,3506.4,3532.8,3420.0,3429.2,3457.0,-63.4,-35.6,1374952.0,143311403.904,104079.0,,IF1502.CFX,,1.0,3429.2,3506.4,3532.8,3420.0,3457.0
12,IF.CFX,20150202,3429.2,3457.0,3357.0,3427.0,3353.0,3397.0,3373.2,-60.0,-83.8,1094811.0,111164579.28,110408.0,,IF1502.CFX,,1.0,3397.0,3357.0,3427.0,3353.0,3373.2
13,IF.CFX,20150203,3397.0,3373.2,3400.0,3467.2,3380.6,3455.4,3448.4,82.2,75.2,1224371.0,125454943.476,115571.0,,IF1502.CFX,,1.0,3455.4,3400.0,3467.2,3380.6,3448.4
14,IF.CFX,20150204,3455.4,3448.4,3472.0,3508.6,3383.0,3392.0,3425.6,-56.4,-22.8,1228877.0,127573378.314,117899.0,,IF1502.CFX,,1.0,3392.0,3472.0,3508.6,3383.0,3425.6
15,IF.CFX,20150205,3392.0,3425.6,3499.8,3537.0,3345.6,3355.2,3399.8,-70.4,-25.8,1513768.0,156837943.2,112731.0,,IF1502.CFX,,1.0,3355.2,3499.8,3537.0,3345.6,3399.8
16,IF.CFX,20150206,3355.2,3399.8,3361.4,3390.4,3287.2,3344.6,3321.6,-55.2,-78.2,1318691.0,132565731.9,102940.0,,IF1502.CFX,,1.0,3344.6,3361.4,3390.4,3287.2,3321.6
17,IF.CFX,20150209,3344.6,3321.6,3329.2,3400.2,3315.6,3376.2,3364.4,54.6,42.8,1240607.0,124978134.024,97718.0,,IF1502.CFX,,1.0,3376.2,3329.2,3400.2,3315.6,3364.4
18,IF.CFX,20150210,3376.2,3364.4,3375.6,3440.4,3354.0,3437.4,3413.8,73.0,49.4,1263639.0,129007678.536,95890.0,,IF1502.CFX,,1.0,3437.4,3375.6,3440.4,3354.0,3413.8
19,IF.CFX,20150211,3437.4,3413.8,3443.6,3469.6,3433.0,3447.0,3449.6,33.2,35.8,1011176.0,104691823.638,90564.0,,IF1502.CFX,,1.0,3447.0,3443.6,3469.6,3433.0,3449.6
20,IF.CFX,20150212,3447.0,3488.6,3493.0,3505.2,3453.0,3490.0,3497.2,1.4,8.6,238166.0,24883943.712,107179.0,,IF1503.CFX,3455.8,0.9902005730659026,3455.8,3458.7706017191977,3470.8510487106014,3419.162578796562,3462.9294441260745
21,IF.CFX,20150213,3490.0,3497.2,3499.6,3569.0,3480.4,3500.0,3511.2,2.8,14.0,466943.0,49396397.022,114182.0,,IF1503.CFX,,0.9902005730659026,3465.702005730659,3465.3059255014327,3534.0258452722064,3446.2940744985676,3476.792252148997
22,IF.CFX,20150216,3500.0,3511.2,3508.2,3550.0,3501.0,3544.8,3541.2,33.6,30.0,523184.0,55324967.85,140352.0,,IF1503.CFX,,0.9902005730659026,3510.062991404012,3473.8216504297993,3515.2120343839542,3466.692206303725,3506.4982693409743
23,IF.CFX,20150217,3544.8,3541.2,3546.6,3583.4,3542.2,3558.0,3557.8,16.8,16.6,665971.0,71236843.656,156259.0,,IF1503.CFX,,0.9902005730659026,3523.1336389684816,3511.84535243553,3548.2847335243555,3507.48846991404,3522.935598853868
24,IF.CFX,20150225,3558.0,3557.8,3564.0,3568.8,3469.0,3487.8,3485.2,-70.0,-72.6,847148.0,89324356.674,154073.0,,IF1503.CFX,,0.9902005730659026,3453.6215587392553,3529.074842406877,3533.8278051575935,3435.005787965616,3451.0470372492837
25,IF.CFX,20150226,3487.8,3485.2,3488.0,3616.8,3473.6,3612.6,3586.8,127.4,101.6,1058250.0,112439307.45,169886.0,,IF1503.CFX,,0.9902005730659026,3577.1985902578795,3453.8195988538682,3581.3574326647567,3439.560710601719,3551.6514154727797
26,IF.CFX,20150227,3612.6,3586.8,3614.8,3624.0,3572.0,3587.2,3590.0,0.4,3.2,960924.0,103850586.054,164194.0,,IF1503.CFX,,0.9902005730659026,3552.0474957020056,3579.377031518625,3588.486876790831,3536.996446991404,3554.82005730659
27,IF.CFX,20150302,3587.2,3590.0,3630.0,3636.0,3578.0,3606.2,3610.6,16.2,20.6,1150857.0,124496510.064,160461.0,,IF1503.CFX,,0.9902005730659026,3570.8613065902578,3594.4280802292265,3600.369283667622,3542.9376504297993,3575.218189111748
28,IF.CFX,20150303,3606.2,3610.6,3600.6,3601.0,3507.6,3539.6,3527.2,-71.0,-83.4,1131315.0,120674886.306,154446.0,,IF1503.CFX,,0.9902005730659026,3504.9139484240686,3565.3161833810886,3565.7122636103154,3473.2275300859596,3492.6354613180515
29,IF.CFX,20150304,3539.6,3527.2,3532.4,3562.8,3502.8,3533.2,3540.6,6.0,13.4,1180790.0,125321655.24,158544.0,,IF1503.CFX,,0.9902005730659026,3498.576664756447,3497.7845042979943,3527.886601719198,3468.4745673352436,3505.9041489971346
30,IF.CFX,20150305,3533.2,3540.6,3530.0,3533.6,3473.2,3506.6,3496.2,-34.0,-44.4,1189131.0,124973094.6,154214.0,,IF1503.CFX,,0.9902005730659026,3472.237329512894,3495.408022922636,3498.972744985673,3439.164630372493,3461.9392435530085
