trade_date,GMV
20180102,0.0
20180103,831.9994667396745
20180104,772.6081610054292
20180105,763.9114545738776
20180108,703.0038279369583
20180109,590.4720466048182
20180110,517.6031773240264
20180111,455.2081467236719
20180112,401.4214982202148
20180115,371.2137151004322
20180116,347.9234531392262
20180117,336.07703277607766
20180118,336.12373658181025
20180119,337.2945883220033
20180122,331.4421383456178
20180123,323.39079248028264
20180124,311.891257900913
20180125,307.1770588600153
20180126,304.66333352971185
20180129,305.17804455136474
20180130,312.6627787231054
20180131,317.4632774923734
20180201,324.39772846107405
20180202,328.1392665841597
20180205,333.86816822296134
20180206,342.96825178416196
20180207,346.9457463347947
20180208,347.8499199599874
20180209,349.7374692168194
20180212,334.9715925397235
20180213,320.047010499007
20180214,319.9900061374716
20180222,317.3426854320651
20180223,299.2114184593434
20180226,283.5149102153217
20180227,270.5905816038683
20180228,257.31095389611903
20180301,253.36347459065286
20180302,250.14453165510497
20180305,251.52907246234344
20180306,253.10635475618398
20180307,252.42163039466658
20180308,253.3109998604675
20180309,255.30430608231703
20180312,250.3441567086955
20180313,244.31213832786082
20180314,239.3249729204866
20180315,231.21535444463902
20180316,223.06000445360192
20180319,214.60669546820367
20180320,206.9306812337678
20180321,200.68621103177338
20180322,191.81906342933857
20180323,185.59503392313997
20180326,182.62802588306172
20180327,181.0406889644878
20180328,185.03533126632334
20180329,184.41114679356485
20180330,174.3407181057955
20180402,164.67818802785956
20180403,161.05887860785876
20180404,163.3937989833197
20180409,168.61760328955174
20180410,173.87268825726954
20180411,184.69934723315802
20180412,184.54262866283236
20180413,182.9491362805187
20180416,179.79498062516566
20180417,178.5940784502094
20180418,178.5339646348366
20180419,172.48472764554683
20180420,170.06691381760805
20180423,169.70688664236866
20180424,167.5737875366422
20180425,162.31813650019643
20180426,159.02787789156395
20180427,156.9803826376171
20180502,154.9705081550493
20180503,157.02225604009843
20180504,160.52822082105433
20180507,166.58826776231
20180508,172.31453466530144
20180509,175.56519972003707
20180510,182.04066222872746
20180511,178.37958896229847
20180514,169.45449514909157
20180515,165.24188243357304
20180516,160.52066953354148
20180517,161.1778543090905
20180518,165.81829506426453
20180521,174.63568901487193
20180522,183.0133529523432
20180523,194.2532885608021
20180524,208.3651942030821
20180525,217.37872922169424
20180528,220.4622266412342
20180529,223.99606776041222
20180530,229.2798525623108
20180531,232.7579073742666
20180601,233.35087604536696
20180604,233.50144301532708
20180605,225.72765177101394
20180606,220.89803921385632
20180607,213.7152706004367
20180608,197.86909036375584
20180611,185.05011140053162
20180612,172.26611718188363
20180613,166.0695226450966
20180614,163.71927847740463
20180615,169.8326072968072
20180619,167.06251962372482
20180620,163.46242833787989
20180621,160.33918858068253
20180622,161.44735397416028
20180625,160.05605439354443
20180626,157.42840347920068
20180627,154.62020393308745
20180628,152.59800300681135
20180629,149.78097026315376
20180702,150.21262914209558
20180703,154.12012580368815
20180704,157.0109058714778
20180705,158.74634202306984
20180706,160.34772481010887
20180709,169.89708696049578
20180710,176.63945267943689
20180711,176.1516420227713
20180712,182.95247560380596
20180713,185.24520013644764
20180716,184.6053979106609
20180717,192.45517098345994
20180718,204.78728407492252
20180719,218.45232691730075
20180720,229.33255132321918
20180723,235.45173922296024
20180724,236.88193373150386
20180725,235.79735467833444
20180726,231.81698144233007
20180727,226.24189428849755
20180730,218.2880635840186
20180731,212.91355456552571
20180801,206.9308106391829
20180802,201.31206603040923
20180803,199.7311921063925
20180806,193.02107465536858
20180807,183.5116626137253
20180808,179.20352714738797
20180809,176.33102382494613
20180810,174.41055345120782
20180813,177.55173413954262
20180814,177.2823905511741
20180815,176.10540946412115
20180816,175.7676971179846
20180817,171.22367855765407
20180820,168.38604288694856
20180821,164.50314442720716
20180822,163.36821730071944
20180823,158.8298132728821
20180824,155.26019343559554
20180827,148.80827928022723
20180828,144.44624959716822
20180829,143.75595141057312
20180830,143.06987773941046
20180831,142.56639675758828
20180903,142.55375540609333
20180904,138.98922008576884
20180905,141.59324516322388
20180906,145.97381718428653
20180907,149.89408201796118
20180910,154.23525064491142
20180911,156.6281040229689
20180912,156.51373104426452
20180913,152.11424836635234
20180914,151.2875960122712
20180917,154.44367125638962
20180918,159.29903893058864
20180919,164.4768969089036
20180920,164.74162672599743
20180921,164.41818803051473
20180925,159.8428168597947
20180926,134.25315806622518
20180927,115.40469826125074
20180928,109.17475492751754
20181008,111.76606506642197
20181009,112.83285530157174
20181010,111.36406965059714
