,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,-161.22155576315157,-104.7819265145728,-27.421000578216354,45.887148978731865,-20.644933915418367,83.11853633409672,-10.042631546246891,0.0,246.926398643962,-19.524272784237553,-16.306824278522708,91.36352826137097,21.709439703920598,0.0,-17.21960319650542
20180104,-157.2251670972815,-125.447326074776,-33.64750005458008,33.96920565881095,-27.57167396640027,48.741697797822994,-12.327929287132177,0.0,114.3816628929958,-22.588274529418133,-19.493284664870238,74.58652075524722,-4.506926883479053,0.0,-20.64800390220668
20180105,-139.12779482693344,-141.51357530939399,-37.784816138037215,30.746858210883673,-26.147514353097137,38.618993328064896,-15.868682154475605,0.0,128.6919988087966,-24.90492015232039,-21.4754947536189,65.68862425025108,5.881367974778292,0.0,-22.290592990342017
20180108,-135.14538028937224,-138.8848585451899,-42.210588119706415,24.67132552388162,-26.375384828599994,30.51459177135001,-16.68960928707156,0.0,117.72361062682437,-24.141729377586383,-21.29917137566078,56.84178998021594,11.428471886345747,0.0,-21.71290218852278
20180109,-116.83946094336463,-107.71100371240773,-43.4326085350028,21.537620414759406,-26.85129862721002,26.21961963806892,-17.002342846545552,0.0,109.45486446316787,-23.84217579385585,-21.321033257102677,50.76800496737849,15.43353203081248,0.0,-21.696424319598798
20180110,-104.73661161527842,-88.33360315356508,-36.84895777652097,19.45541384886416,-28.61154150600978,16.85954617650597,-17.555579017227917,0.0,104.13711042831676,-24.027072766858563,-21.318642368037064,47.1510766383039,18.101471452771335,0.0,-22.179208054787168
20180111,-90.05270457869204,-74.9020051839356,-31.48586155409507,18.249125811419354,-16.460394977241382,10.08403888333424,-18.240856070839055,0.0,96.22522800912311,-24.363441039399387,-21.688045689630272,32.50647417778715,20.420478858872578,0.0,-22.832405336298706
20180112,-79.35097395512335,-65.19916950873578,-28.21553755332809,18.47010925466934,-4.708348042039867,5.875551420449959,-19.509542830899996,0.0,73.02642502948551,-24.042979646902793,-21.461705324794124,22.30506731168606,22.51481611082612,0.0,-23.111333379873887
20180115,-70.70334396905687,-58.34955726013325,-26.233044507941123,18.87410813380796,1.0159154044869296,9.207699434109484,-20.75252395967576,0.0,58.056980882942106,-24.012198913558777,-21.56121960885711,16.875096144763067,9.338279092521933,0.0,-23.630879789430768
20180116,-61.77140055219689,-53.44258514348674,-25.026676355405137,20.987934319604243,5.431433934480071,12.858076623309723,-22.01000115957691,0.0,45.483211651408745,-24.07885991168475,-21.989004325830606,11.898899708833303,0.30007384268495446,0.0,-24.27092512511338
20180117,-55.528963655928386,-49.93278522911935,-24.20836264834901,22.460074632065663,8.362877233382363,15.022982770192481,-23.186086823949232,0.0,36.23034043871961,-24.342430758692384,-22.35479779125582,8.05653102826329,-8.772776013770557,0.0,-24.955066173661532
20180118,-50.83099669069928,-47.28016932057943,-23.640149363736512,23.36785700392964,10.923764761286758,16.916036925738688,-24.639347036755694,0.0,29.031081869278236,-24.762210566253327,-22.728072278310158,5.0099299764253535,-17.15161168092672,0.0,-25.720432742603432
20180119,-46.272506439845195,-45.43188048889839,-22.906932535655276,23.7737169846557,11.791171480451563,18.12772222513872,-25.977117385148357,0.0,23.684416324544458,-25.338057220949548,-23.201539380669487,3.046414730768241,-24.69476119100884,0.0,-26.30043223126073
20180122,-42.85275891687575,-43.427525631324336,-22.147534356021886,24.269179630112028,13.018017198965335,19.24355231681758,-27.26544764461609,0.0,17.103711666222555,-25.682739623305334,-23.482482098108825,-0.31980031487395044,-31.267206568376324,0.0,-26.237609193779186
20180123,-40.25864116014522,-41.96025180280266,-19.730765972521702,23.929076875578392,13.69054350705506,19.937794593374196,-28.503259011288065,0.0,11.79341037316367,-26.12628560223506,-23.857830101541857,-3.0976251476251497,-36.899836587501,0.0,-26.35269350986951
20180124,-38.18999821988529,-41.00647349889628,-17.85352879125584,23.743401761763064,14.043469392469115,14.015190667799486,-28.865553453460432,0.0,6.827092379954526,-26.39977044481768,-24.25645658306873,-5.70147971032663,-39.66433190504867,0.0,-26.595696329057507
20180125,-36.49992202255259,-40.444912269073015,-16.399576286724173,23.72645267363676,14.416611166063419,9.186021304513941,-29.21396216679617,0.0,3.538825669032208,-26.768637365870408,-24.619077834631284,-6.898392846643809,-42.09626832729192,0.0,-26.944707172333313
20180126,-35.29070214967086,-39.912764170771574,-14.925793196302346,24.116792023703923,15.225199275328828,12.103849761071642,-30.061954842139773,0.0,0.8598053536956571,-26.849247002976796,-24.92431406752962,-7.848964965217471,-43.85331026171501,0.0,-27.048776474657853
20180129,-34.45766527243686,-38.57301950142985,-13.76729172778105,24.56412154582224,10.545035038546889,14.559310083161705,-30.649266594280057,0.0,7.335254859731419,-27.401015467162704,-25.650002750895037,-2.0671786641627294,-45.40525829834457,0.0,-27.71935709016225
20180130,-33.652917590569224,-37.58486072505123,-12.284439421694238,25.18428051520845,6.387945905739092,9.49146477817091,-31.603056684203363,0.0,5.4726755476457125,-28.91365514514975,-26.941342314145302,-2.518629497637123,-47.9540293760009,0.0,-29.043892907461984
20180131,-33.02348688440472,-36.827887134712924,-5.554446803009662,26.98770650171634,3.001813068211235,5.046595600292196,-32.72218821275664,0.0,3.962130038815885,-29.84203939297356,-27.982499776908554,-2.88596101986772,-36.54218085054174,0.0,-29.82736898371573
20180201,-32.28645977893871,-36.240911835942974,-5.4189269564381455,27.984289271582114,0.24811827095216454,2.204954941964849,-33.63380622066577,0.0,2.3059836875117248,-31.20723760578403,-28.87904679348044,-3.191185187062491,-28.804592154527953,0.0,-30.825976827129114
20180202,-31.636859789340413,-35.836020144710055,-5.3075575544499625,28.890054740858925,-2.0672682597571255,6.279699920195513,-34.35363179835125,0.0,0.28146845966552964,-32.137483214097905,-29.51829521318495,-3.3136904442848643,-22.495710868316547,0.0,-31.416654897637347
20180205,-30.77878626163739,-35.55371366898989,-5.4293528756190375,32.3518190251934,-4.205260393928711,10.568878304389797,-33.86994929479438,0.0,-0.9162089602370835,-32.95623914228492,-30.16930882662123,-3.4243330059563055,-17.35357222741354,0.0,-32.2542513161946
20180206,-30.043458349429415,-35.91874434664662,-5.131091452570101,35.98116202954955,-5.967332966038809,14.573191529752728,-33.14909247763596,0.0,-1.8985098444805204,-33.654413044657495,-31.225922265842712,-3.52027459064136,-13.158665125161804,0.0,-33.204777348204544
20180207,-29.305140402734363,-32.658518577092174,-0.10898851895365957,39.08959631076442,-7.4051416123369265,17.91639766260401,-32.53206970943535,0.0,-1.9439909873039147,-34.1386267902247,-32.05693434437173,-2.654673861199622,-9.734426366386538,0.0,-33.631559702361926
20180208,-28.553075891632247,-29.652580514160118,4.319276774413325,41.90041414156673,-8.802437744390511,20.315058148997604,-32.35923891958896,0.0,-1.9879078566310349,-34.51610296789593,-32.58496530947283,-1.941737511264698,-17.552448224974096,0.0,-33.95246235287138
20180209,-27.693167748145072,-27.18015535254537,7.869537508579563,43.965984211196194,-10.075014465717778,22.411592052183565,-32.15873640244871,0.0,-2.0447247645901965,-34.97303806193476,-33.4760766447228,4.200268542101641,-23.886163384629295,0.0,-34.39656051959131
20180212,-27.138142567578225,-18.520971148409004,11.145882910134508,44.65835973698731,-11.512912151631674,23.332551940610074,-31.239995051232203,0.0,4.602153282073494,-35.341094237779465,-33.01371594906525,9.219557134555185,-27.58280681856384,0.0,-34.54091670127452
20180213,-27.454532517675304,-11.4452725229463,13.364228471714064,33.77029197496485,-12.692976666175529,16.474340448733816,-30.907388592784546,0.0,10.581767791758494,-35.91754468721371,-32.68737472970451,13.26203693564837,-30.581060253635915,0.0,-34.65322593686227
