trade_date,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,-163.53394142164242,0.0,-78.58222171010686,52.40025743268208,-26.76309274270027,84.82802026183802,-15.558219120191692,0.0,216.3153593467096,-20.38029404162775,-15.422256376666713,89.38886853792455,38.60625576276196,0.0,-15.541582078196997
20180104,-159.48023292783142,0.0,-96.42592369077707,38.790710709231924,-32.093195883056474,50.49915952181054,-19.098642050559974,0.0,36.945961757320795,-24.139865414178118,-18.83937745813652,72.97446612852524,-6.630778012465225,0.0,-19.021921349738655
20180105,-141.12329174378425,0.0,-108.28251108362736,36.43157469140374,-32.33822751918826,41.063585827263175,-22.236497741732883,0.0,74.91076329111512,-26.795894981143398,-21.058643889130554,65.53386343407978,13.441861257158623,0.0,-20.797369909304997
20180108,-135.87919595623833,0.0,-113.54915263988578,31.209822219784662,-33.71837420388229,34.234877703709955,-21.90399244049285,0.0,81.09120538712727,-25.826168204688837,-20.866543740882666,60.40695829074283,24.204564412431957,0.0,-20.20505649691652
20180109,-117.06679084967523,0.0,-109.51888029184005,28.854829546082616,-35.68421207377323,30.88364924040418,-22.20796844308644,0.0,84.21130268341835,-25.955660684961057,-21.12021663788546,55.50515625729953,32.043620844431516,0.0,-20.44724299215751
20180110,-105.14454860314488,0.0,-87.98685547816648,27.90323133509324,-37.66856902652452,16.4563186060007,-22.858047204811843,0.0,84.24954647000742,-26.46934736117734,-21.26706257749307,52.70867893802208,37.2716615728408,0.0,-21.083048309729776
20180111,-90.2346495971985,0.0,-72.81005228851012,27.560402560626063,-17.327739040175214,6.25672360070948,-23.698860063347265,0.0,81.17206016955319,-27.060331975445916,-21.745462411996094,29.853320761466648,41.850036071950896,0.0,-21.832321383034415
20180112,-79.37311936674594,0.0,-62.19922875638379,27.681148089751122,-3.6398152851269514,-1.1900031389481258,-24.66218184064345,0.0,50.47590101341373,-27.068411045746505,-21.739428782147595,14.447838566892344,46.008776528674325,0.0,-22.279147602343667
20180115,-70.95451106530099,0.0,-54.6953066664417,28.122207717679885,4.294537107871164,5.059350892821532,-25.732410775837792,0.0,30.46599019584854,-27.317492090145738,-22.014915071148703,4.271320110568729,24.11913184693064,0.0,-22.91931278664504
20180116,-61.84097389890726,0.0,-49.21668203695388,28.76503204926666,10.427039644604127,10.086797338708422,-26.633132503601296,0.0,14.893307970467001,-27.333244159028684,-22.375310236508277,-3.782312905458699,7.118797448830835,0.0,-23.647780362706683
20180117,-55.11305649485802,0.0,-45.15921560968369,29.49146644393381,15.129252693886489,13.766429033630894,-27.560916345775247,0.0,3.0493799109031055,-27.584438803292688,-22.68954085777081,-10.066532004439514,-6.129735344345388,0.0,-24.397755562446875
