,BU.SHF,BZ.DCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,L.DCE,LU.INE,MA.ZCE,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SP.SHF,TA.ZCE,V.DCE
20180226,-3.723930925948247,0.0,0.0,0.0,-10.80661796697724,0.0,-18.400932099892977,0.0,-13.264763807318301,0.0,0.0,0.0,-17.02540357319551,0.0,-11.258593419543589,0.0,0.0,0.0,0.0,-2.5549192124846005,-3.9364571009131066
20180227,-4.324569861562588,0.0,0.0,0.0,-10.864848098840621,0.0,-18.250254406006455,0.0,-14.747924427254096,0.0,0.0,0.0,-18.082828475274425,0.0,-10.706354572392371,0.0,0.0,0.0,0.0,-4.438959401733829,-4.774094349967285
20180228,-5.011091064337957,0.0,0.0,0.0,-11.032912529777347,0.0,-18.711429793427392,0.0,-15.43137830938346,0.0,0.0,0.0,-19.366289748574744,0.0,-10.136061825466683,0.0,0.0,0.0,0.0,-7.158987696985974,-4.278023167656966
20180301,-5.320302528066114,0.0,0.0,0.0,-10.579221917150605,0.0,-16.266845523153318,0.0,-15.69299112610416,0.0,0.0,0.0,-18.64320244469583,0.0,-9.339523724192645,0.0,0.0,0.0,0.0,-9.064457683062185,-1.2439996832606217
20180302,-5.544035901754506,0.0,0.0,0.0,-9.761829032196745,0.0,-13.580182541095818,0.0,-15.380688803143888,0.0,0.0,0.0,-18.02040434945152,0.0,-9.04100428970477,0.0,0.0,0.0,0.0,-9.614713459511457,1.6585544871834472
20180305,-6.312634396992233,0.0,0.0,0.0,-9.362665318925812,0.0,-12.394320978368317,0.0,-15.140076876144414,0.0,0.0,0.0,-18.636639979533705,0.0,-8.728901422801561,0.0,0.0,0.0,0.0,-11.199547320500788,2.2670009515547798
20180306,-7.291771632056329,0.0,0.0,0.0,-9.310241802004807,0.0,-11.56303772669434,0.0,-14.758975581471248,0.0,0.0,0.0,-18.24702242451064,0.0,-8.491649161190448,0.0,0.0,0.0,0.0,-12.979819405672153,3.0252991155028757
20180307,-8.017024721201404,0.0,0.0,0.0,-8.70722407252245,0.0,-11.240820603256568,0.0,-14.757258516380661,0.0,0.0,0.0,-18.06002935643295,0.0,-8.313515062761693,0.0,0.0,0.0,0.0,-14.332270277931846,3.598263240820973
20180308,-8.892124361116021,0.0,0.0,0.0,-8.988745477817321,0.0,-11.793482851639151,0.0,-14.713594895184581,0.0,0.0,0.0,-18.36972861458787,0.0,-8.122319123543068,0.0,0.0,0.0,0.0,-15.380016510089423,1.5977242663150335
20180309,-9.55747747634685,0.0,0.0,0.0,-10.044733285954587,0.0,-12.471632676794162,0.0,-13.52661830988863,0.0,0.0,0.0,-18.827899021161542,0.0,-8.245639839486703,0.0,0.0,0.0,0.0,-16.816779363438343,-0.7181685615244996
20180312,-9.746595253514045,0.0,0.0,0.0,-9.638142789326432,0.0,-13.760033811008721,0.0,-12.444433071343868,0.0,0.0,0.0,-19.787478344019938,0.0,-8.290569971466685,0.0,0.0,0.0,0.0,-18.328059057638463,-3.4124416226753747
20180313,-10.062092268206007,0.0,0.0,0.0,-9.051567668201104,0.0,-13.783843747516324,0.0,-11.19953246404098,0.0,0.0,0.0,-20.167846149864786,0.0,-8.302860032227633,0.0,0.0,0.0,0.0,-18.590729501281192,-5.503661273511549
20180314,-10.638041546460274,0.0,0.0,0.0,-7.8021192276760285,0.0,-12.756227706579304,0.0,-9.626608872559228,0.0,0.0,0.0,-20.25965159183322,0.0,-8.085750772974441,0.0,0.0,0.0,0.0,-19.427080901904063,-7.001671368870967
20180315,-11.259478132853026,0.0,0.0,0.0,-8.052312798598052,0.0,-11.88920521922176,0.0,-8.953592392349291,0.0,0.0,0.0,-20.539840902885814,0.0,-8.366292838807096,0.0,0.0,0.0,0.0,-20.225819991650894,-8.412222524450533
20180316,-11.724284603268853,0.0,0.0,0.0,-7.749169909183463,0.0,-10.937739548686919,0.0,-8.413300983455533,0.0,0.0,0.0,-20.973850514109266,0.0,-8.780181014740249,0.0,0.0,0.0,0.0,-20.927717502174197,-9.185024478122692
20180319,-11.86915052641791,0.0,0.0,0.0,-7.453147393766798,0.0,-9.974623790459153,0.0,-7.723338931518411,0.0,0.0,0.0,-21.33219105231968,0.0,-9.557788909845078,0.0,0.0,0.0,0.0,-22.73906450524068,-10.305224474029838
20180320,-11.649969038946217,0.0,0.0,0.0,-7.755367527592734,0.0,-9.865336467304148,0.0,-7.155965648495797,0.0,0.0,0.0,-21.85202104421095,0.0,-10.226035604504682,0.0,0.0,0.0,0.0,-23.969840740905624,-11.673062466970928
20180321,-11.166453861266445,0.0,0.0,0.0,-8.013328326079153,0.0,-9.581299278806714,0.0,-6.589282669816579,0.0,0.0,0.0,-22.297162895732647,0.0,-10.48826634786929,0.0,0.0,0.0,0.0,-24.650805459006406,-12.696223301630184
20180322,-10.543730432024518,0.0,0.0,0.0,-8.245406206435337,0.0,-9.081460671488761,0.0,-5.662165243680327,0.0,0.0,0.0,-21.946999456344713,0.0,-10.497538534228058,0.0,0.0,0.0,0.0,-24.67514005522712,-13.168545409180458
20180323,-9.470317175493483,0.0,0.0,0.0,-9.215698505936427,0.0,-8.394551310324607,0.0,-5.201214471538012,0.0,0.0,0.0,-20.8983698271216,0.0,-10.16467769769909,0.0,0.0,0.0,0.0,-24.318784742754747,-13.267418222099316
20180326,-7.806592928799579,0.0,0.0,0.0,-9.766874961547899,0.0,-8.872124131600764,0.0,-5.16192511497498,0.0,0.0,0.0,-20.5530360968776,0.0,-9.909018467554642,0.0,0.0,0.0,0.0,-24.285114797246226,-14.007448342549033
20180327,-6.162420235422311,0.0,0.0,0.0,-10.211542678891842,0.0,-8.486908035680356,0.0,-5.455701078934387,0.0,0.0,0.0,-19.583627278748672,0.0,-9.275615051157905,0.0,0.0,0.0,0.0,-25.030194477304235,-14.219833947977811
20180328,-4.608153577367038,0.0,0.0,0.0,-10.573200829710295,0.0,-8.439666433385893,0.0,-5.604127677913159,0.0,0.0,0.0,-18.657527509917337,0.0,-8.790540536004064,0.0,-21.945008704390496,0.0,0.0,-25.685428051836013,-14.652900155799529
20180329,-3.0782721268152806,0.0,0.0,0.0,-10.254226223242293,0.0,-7.994910532650618,0.0,-5.684678476262028,0.0,0.0,0.0,-17.132405231468095,0.0,-8.17419256534198,0.0,-20.115595788100663,0.0,0.0,-25.961824298134182,-14.391158880690577
