trade_date,BU.SHF,BZ.DCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,L.DCE,LU.INE,MA.ZCE,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SP.SHF,TA.ZCE,V.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180129,3.0183742056605922,0.0,0.0,0.0,2.6374148700823628,0.0,5.2579768135434515,0.0,-1.057030785630169,0.0,0.0,0.0,5.135536471074476,0.0,-3.0959668688239934,0.0,0.0,0.0,0.0,4.372094706961118,3.226808573699541
20180130,4.523624592008963,0.0,0.0,0.0,3.246324562418476,0.0,7.649229446960906,0.0,-2.684608996403149,0.0,0.0,0.0,7.67252544530551,0.0,-7.1437880839424865,0.0,0.0,0.0,0.0,6.696751846576634,4.224375575427567
20180131,5.449942845036884,0.0,0.0,0.0,1.9608561004675624,0.0,7.8439130342661825,0.0,-4.480927291816421,0.0,0.0,0.0,7.87760195424725,0.0,-9.579553004927645,0.0,0.0,0.0,0.0,8.552894824104815,4.413576062167934
20180201,5.443827934716458,0.0,0.0,0.0,-0.06224014467014831,0.0,6.691183423812682,0.0,-6.50116833732601,0.0,0.0,0.0,6.566328719032768,0.0,-11.991122920329417,0.0,0.0,0.0,0.0,9.06568684097736,3.431180162107166
20180202,6.058054834846875,0.0,0.0,0.0,-1.8196402332381922,0.0,4.4949357371196,0.0,-7.40222742371119,0.0,0.0,0.0,5.889103398967871,0.0,-12.640038231047903,0.0,0.0,0.0,0.0,9.298679355717235,3.1489535691641604
20180205,6.11311684761261,0.0,0.0,0.0,-4.355403736922335,0.0,3.2409990236924147,0.0,-7.587982499054887,0.0,0.0,0.0,6.766550425451076,0.0,-12.547117834198296,0.0,0.0,0.0,0.0,9.584914176388995,4.188700801700327
20180206,5.806977266306956,0.0,0.0,0.0,-5.899801579023507,0.0,2.4140693772091564,0.0,-6.8885727448970036,0.0,0.0,0.0,7.614444992151402,0.0,-12.082541167169898,0.0,0.0,0.0,0.0,10.753484779950817,5.272473963141424
20180207,5.219936922018712,0.0,0.0,0.0,-6.974974255557973,0.0,-0.09504645396489816,0.0,-6.842293853503996,0.0,0.0,0.0,6.300320150098458,0.0,-12.448077045938637,0.0,0.0,0.0,0.0,10.69431702677006,5.816768139624878
20180208,4.1624223619117195,0.0,0.0,0.0,-8.592866800294976,0.0,-3.917675790418193,0.0,-6.673542989370425,0.0,0.0,0.0,3.584232967919669,0.0,-13.24366906408614,0.0,0.0,0.0,0.0,9.64273196884817,6.271828544787061
20180209,2.947343178441606,0.0,0.0,0.0,-10.149472250834323,0.0,-8.199261579572472,0.0,-6.468569456538537,0.0,0.0,0.0,1.576816071149897,0.0,-13.532828900283583,0.0,0.0,0.0,0.0,7.866614769883605,7.706417234358245
20180212,1.8393898625920355,0.0,0.0,0.0,-12.361534252600174,0.0,-12.191254735053949,0.0,-6.794205294647314,0.0,0.0,0.0,-1.3708969897890146,0.0,-13.121243589459821,0.0,0.0,0.0,0.0,5.454291057778389,7.443911399920251
20180213,0.47021000504503313,0.0,0.0,0.0,-13.028236387645554,0.0,-18.19163899064973,0.0,-8.277946713318626,0.0,0.0,0.0,-6.302898216496728,0.0,-13.223841699269272,0.0,0.0,0.0,0.0,2.6072293933208015,5.696460501623538
20180214,-0.9783835633226419,0.0,0.0,0.0,-12.46252013230937,0.0,-21.420101210306086,0.0,-9.560611754659325,0.0,0.0,0.0,-9.445949685504027,0.0,-13.55576913873354,0.0,0.0,0.0,0.0,0.10707932936167419,2.9660528105999115
20180222,-2.146023950262139,0.0,0.0,0.0,-12.927818067785282,0.0,-23.75775464208871,0.0,-10.905527406948421,0.0,0.0,0.0,-12.049253063382904,0.0,-13.157633709313414,0.0,0.0,0.0,0.0,-2.153013790951198,-0.551882189700415
20180223,-3.0799276883926265,0.0,0.0,0.0,-11.645499659408069,0.0,-23.852476374398652,0.0,-11.049485171806607,0.0,0.0,0.0,-13.653405392849528,0.0,-11.859366937688984,0.0,0.0,0.0,0.0,-3.8950038106219624,-3.846557883013665
