Factor,Parameters,Mode,SharpRatio,POT
VIXFix,{'N': 10},RAW,0.031,1.3959
VIXFix,{'N': 10},STATE_MACHINE,0.2056,9.357
VIXFix,{'N': 20},RAW,-0.0021,-0.1056
VIXFix,{'N': 20},STATE_MACHINE,0.2056,9.357
VIXFix,{'N': 30},RAW,-0.0227,-1.1919
VIXFix,{'N': 30},STATE_MACHINE,0.2056,9.357
VIXFix,{'N': 40},RAW,-0.0285,-1.5685
VIXFix,{'N': 40},STATE_MACHINE,0.2056,9.357
VIXFix,{'N': 50},RAW,0.0418,2.2812
VIXFix,{'N': 50},STATE_MACHINE,0.2056,9.357
VIXFix,{'N': 60},RAW,0.0926,5.0285
VIXFix,{'N': 60},STATE_MACHINE,0.2056,9.357
