trade_date,"{'fast_n': 5, 'slow_n': 20}","{'fast_n': 10, 'slow_n': 40}","{'fast_n': 10, 'slow_n': 60}","{'fast_n': 20, 'slow_n': 40}","{'fast_n': 20, 'slow_n': 60}","{'fast_n': 30, 'slow_n': 60}"
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0,0.0
20100201,0.10393932807398452,0.0,0.0,0.0,0.0,0.0
20100202,0.036684691606574935,0.0,0.0,0.0,0.0,0.0
20100203,-1.237572261561731,0.0,0.0,0.0,0.0,0.0
20100204,1.4047983036563596,0.0,0.0,0.0,0.0,0.0
20100205,1.7423897466200462,0.0,0.0,0.0,0.0,0.0
20100208,-0.46897396231665317,0.0,0.0,0.0,0.0,0.0
20100209,-0.8532412261204644,0.0,0.0,0.0,0.0,0.0
20100210,-1.525107826438362,0.0,0.0,0.0,0.0,0.0
20100211,-0.6245587900922056,0.0,0.0,0.0,0.0,0.0
20100212,-1.3518242123186361,0.0,0.0,0.0,0.0,0.0
20100222,-2.518692338227183,0.0,0.0,0.0,0.0,0.0
20100223,-0.023309294298945085,0.0,0.0,0.0,0.0,0.0
20100224,0.7034012854952909,0.0,0.0,0.0,0.0,0.0
20100225,0.07284546063537951,0.0,0.0,0.0,0.0,0.0
