Factor,Parameters,Mode,SharpRatio,POT
IntradayAmplitude,{'N': 10},RAW,0.346,19.5378
IntradayAmplitude,{'N': 10},STATE_MACHINE,0.2172,9.9002
IntradayAmplitude,{'N': 20},RAW,0.3864,22.3696
IntradayAmplitude,{'N': 20},STATE_MACHINE,0.233,10.6175
IntradayAmplitude,{'N': 30},RAW,0.3784,20.8553
IntradayAmplitude,{'N': 30},STATE_MACHINE,0.2244,10.2258
IntradayAmplitude,{'N': 40},RAW,0.3971,21.6067
IntradayAmplitude,{'N': 40},STATE_MACHINE,0.223,10.1711
IntradayAmplitude,{'N': 50},RAW,0.427,22.9335
IntradayAmplitude,{'N': 50},STATE_MACHINE,0.2252,10.2685
IntradayAmplitude,{'N': 60},RAW,0.4284,22.8926
IntradayAmplitude,{'N': 60},STATE_MACHINE,0.2207,10.078
