trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,13.609957910454236,-22.86712707850676
20100406,25.004179479044264,-42.44506674255969
20100407,34.41947973452292,-59.09000088939847
20100408,41.512085966855565,-72.46398204276629
20100409,48.20261560627232,-83.797846270104
20100412,53.667670811066024,-91.36824851925152
20100413,28.550467847720405,-99.86384878615947
20100414,7.960479900908668,-106.64919795789301
20100415,23.25361726865198,-112.75866536418474
20100416,36.19321060803182,-118.67702910787888
20100419,16.082627556509628,-117.64082476032272
20100420,-0.38396323034692675,-116.84349286458315
20100421,-13.854764670490644,-116.31005621208651
20100422,-24.87489963157616,-115.93141069472564
20100423,-33.8842296383714,-116.04985576357686
20100426,-41.26242879877896,-117.03578525894932
20100427,-48.76271745756961,-117.3167500540549
20100428,-52.435304669260816,-114.88575537456624
20100429,-55.335466829681415,-112.80293025314265
20100430,-58.18409386476994,-111.06851751091325
20100504,-34.4647600971397,-109.6577381836878
20100505,-15.451343853207987,-108.6015152112417
20100506,-0.029828984369284783,-107.68496958563054
20100507,-12.160044315626346,-105.79602827538817
20100510,0.3498851158172699,-103.03967329891806
20100511,10.502356303853343,-101.82136047012943
20100512,18.72271566471237,-100.84114820691948
20100513,25.199695536431538,-99.92954506959204
20100514,30.51758516828865,-99.1982617793177
20100517,16.236233832560586,-94.71110803095983
20100518,4.0798488976362,-91.87186929188312
20100519,-6.0628530356325925,-89.93832923819647
20100520,-14.09136411170598,-88.2729233479567
20100521,-20.66161035333721,-86.91079405687832
20100524,-25.405112547223496,-84.9556042448687
20100525,-29.37085168541505,-83.46284436999963
20100526,-32.47543236139014,-82.11659038682123
20100527,-35.521823816573956,-81.73936015961912
20100528,-37.98471646608428,-81.25240823704937
20100531,-39.93635400345284,-81.00035184776637
20100601,-41.44738697314962,-80.76809072025121
20100602,-42.818229630433194,-80.42022601092312
20100603,-43.952906512053765,-80.10869419160544
20100604,-45.13799235178923,-80.32537852330888
20100607,-45.671167427510156,-77.41148642756247
20100608,-46.149158492903105,-74.47500831658574
20100609,-46.29865546980759,-71.01222003797223
20100610,-46.5532727304351,-68.18065755578755
20100611,-46.55644616369075,-65.6643034161312
20100617,-47.77508364706585,-65.02482505091596
20100618,-48.68052882186523,-64.53727479318684
20100621,-47.84720424506929,-63.009072615523415
20100622,-47.16528598730691,-61.60061870512882
20100623,-46.60370252277586,-60.452865791156995
20100624,-46.505307997772036,-59.687440286578834
20100625,-46.57981998145662,-59.10784757777407
20100628,-46.62882200504212,-58.62124593683939
20100629,-46.55933838009398,-58.17930591637735
20100630,-46.44507376726052,-57.88295904435991
20100701,-46.339421377955446,-57.63904827820186
20100702,-46.069377663335466,-57.32400886979367
20100705,-45.92273508358336,-57.21325654906096
20100706,-45.84783424724439,-57.125585464878775
20100707,-45.88389608352957,-57.214677617278646
20100708,-47.71301308654786,-61.28934304194085
20100709,-49.37479412264294,-65.05866771631163
20100712,-50.74365405433569,-70.57889943409725
20100713,-51.624940566370476,-75.85083349995593
20100714,-52.41563305623034,-80.65499463989367
20100715,-53.06920978092358,-84.90268276908412
20100716,-53.826031765046125,-88.3348052787334
20100719,-58.13671500069559,-100.52332662639182
20100720,-61.74633551978626,-114.05782231008395
20100721,-64.70018304096504,-125.2610953284205
20100722,-66.98121950085908,-134.79934489110747
20100723,-67.6765830197027,-138.3686554196325
20100726,-68.52521382021918,-140.80372556306818
20100727,-69.85487215496195,-143.60822008700697
20100728,-71.38121139827675,-145.26689029835848
20100729,-73.49242209129117,-146.52613814360433
20100730,-76.20093612092916,-148.90754860133734
20100802,-77.37625726436117,-147.134582914808
20100803,-78.26400764237545,-145.49221878141688
20100804,-79.12692154718775,-144.05533819234645
20100805,-80.00145579113695,-142.91640643963106
20100806,-80.88093640528345,-142.054531448003
20100809,-82.26835800706196,-141.84312421403268
20100810,-82.96204656655227,-139.57567396114106
20100811,-83.17694497903138,-137.4591935820324
20100812,-53.03829785238681,-134.85402801705897
20100813,-28.972376942115602,-131.87393337157826
20100816,-8.368382378798731,-129.84517855612995
20100817,8.732718278014335,-128.55421788068747
20100818,22.727177004346718,-127.452540162515
20100819,34.318422055833366,-126.55320141815622
