Factor,Parameters,Mode,SharpRatio,POT
RSI,{'N': 10},RAW,0.7167,18.0994
RSI,{'N': 10},STATE_MACHINE,0.8336,16.7893
RSI,{'N': 20},RAW,0.7449,25.0435
RSI,{'N': 20},STATE_MACHINE,0.8515,21.6979
RSI,{'N': 30},RAW,0.7415,29.7409
RSI,{'N': 30},STATE_MACHINE,0.8816,25.4984
RSI,{'N': 40},RAW,0.6682,28.7652
RSI,{'N': 40},STATE_MACHINE,0.7076,21.9648
RSI,{'N': 50},RAW,0.5023,21.5787
RSI,{'N': 50},STATE_MACHINE,0.4722,14.6
RSI,{'N': 60},RAW,0.3716,16.511
RSI,{'N': 60},STATE_MACHINE,0.3704,11.6196
