Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
Kurtosis,{'N': 30},1,RAW,Yes,High,0.2662,11.9794
Kurtosis,{'N': 30},1,STATE_MACHINE,Yes,High,0.1222,3.1927
Kurtosis,{'N': 40},2,RAW,Yes,High,0.2351,12.3136
Kurtosis,{'N': 40},2,STATE_MACHINE,Yes,High,0.0676,2.054
Kurtosis,{'N': 20},3,RAW,Yes,High,0.1565,5.1014
Kurtosis,{'N': 20},3,STATE_MACHINE,Yes,High,0.0777,1.6334
OvernightVsIntraday,{'N': 20},1,RAW,Yes,High,0.5822,20.2948
OvernightVsIntraday,{'N': 20},1,STATE_MACHINE,Yes,High,0.7766,17.9138
OvernightVsIntraday,{'N': 10},2,RAW,Yes,High,0.5688,15.4805
OvernightVsIntraday,{'N': 10},2,STATE_MACHINE,Yes,High,0.6452,11.4396
OvernightVsIntraday,{'N': 60},3,RAW,Yes,High,0.2552,11.1872
OvernightVsIntraday,{'N': 60},3,STATE_MACHINE,Yes,High,0.3794,11.3632
Skewness,{'N': 20},1,RAW,Yes,High,0.4476,12.8001
Skewness,{'N': 20},1,STATE_MACHINE,Yes,High,0.3006,6.7574
Skewness,{'N': 30},2,RAW,Yes,High,0.4443,15.5985
Skewness,{'N': 30},2,STATE_MACHINE,Yes,High,0.3689,9.1367
Skewness,{'N': 40},3,RAW,Yes,High,0.3622,14.2402
Skewness,{'N': 40},3,STATE_MACHINE,Yes,High,0.2913,8.0055
NoiseFader,{'N': 60},1,RAW,Yes,High,-0.3598,-10.426
NoiseFader,{'N': 60},1,STATE_MACHINE,Yes,High,-0.3708,-11.6358
NoiseFader,{'N': 50},2,RAW,Yes,High,-0.4476,-12.6579
NoiseFader,{'N': 50},2,STATE_MACHINE,Yes,High,-0.4716,-14.5826
NoiseFader,{'N': 40},3,RAW,Yes,High,-0.6948,-19.2903
NoiseFader,{'N': 40},3,STATE_MACHINE,Yes,High,-0.7077,-21.9669
ShortTermReversal,{'N': 60},1,RAW,Yes,High,-0.2094,-11.357
ShortTermReversal,{'N': 60},1,STATE_MACHINE,Yes,High,-0.3708,-11.6358
ShortTermReversal,{'N': 50},2,RAW,Yes,High,-0.316,-16.4815
ShortTermReversal,{'N': 50},2,STATE_MACHINE,Yes,High,-0.4716,-14.5826
