Factor,Parameters,Mode,SharpRatio,POT
OpenInterestROC,{'N': 10},RAW,-0.345,-8.5255
OpenInterestROC,{'N': 10},STATE_MACHINE,-0.3739,-7.8429
OpenInterestROC,{'N': 20},RAW,0.058,2.2233
OpenInterestROC,{'N': 20},STATE_MACHINE,-0.2436,-8.6608
OpenInterestROC,{'N': 30},RAW,0.0133,0.5545
OpenInterestROC,{'N': 30},STATE_MACHINE,-0.0562,-2.1932
OpenInterestROC,{'N': 40},RAW,-0.202,-11.0718
OpenInterestROC,{'N': 40},STATE_MACHINE,-0.3276,-13.625
OpenInterestROC,{'N': 50},RAW,0.1659,7.3603
OpenInterestROC,{'N': 50},STATE_MACHINE,0.1259,5.4664
OpenInterestROC,{'N': 60},RAW,0.0,0.0
OpenInterestROC,{'N': 60},STATE_MACHINE,0.0,0.0
