Factor,Parameters,Mode,SharpRatio,POT
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",RAW,0.1624,13.8774
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",STATE_MACHINE,0.4713,19.7086
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",RAW,0.3716,48.0626
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",STATE_MACHINE,0.7073,45.0586
DualMACrossover,"{'fast_n': 10, 'slow_n': 60}",RAW,0.3853,61.831
DualMACrossover,"{'fast_n': 10, 'slow_n': 60}",STATE_MACHINE,0.7486,57.358
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",RAW,0.4888,59.7973
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",STATE_MACHINE,0.9003,59.6444
DualMACrossover,"{'fast_n': 20, 'slow_n': 60}",RAW,0.4464,72.7969
DualMACrossover,"{'fast_n': 20, 'slow_n': 60}",STATE_MACHINE,0.8273,69.6687
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",RAW,0.4259,66.0589
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",STATE_MACHINE,0.6985,58.2336
