trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,-0.023885883356405506,0.0,0.0,0.0,0.0,0.0
20100120,-0.017510322112144115,0.0,0.0,0.0,0.0,0.0
20100121,0.11690526726409509,0.0,0.0,0.0,0.0,0.0
20100122,-0.06537657926005855,0.0,0.0,0.0,0.0,0.0
20100125,0.10227431237689572,0.0,0.0,0.0,0.0,0.0
20100126,-0.14553045620140467,0.0,0.0,0.0,0.0,0.0
20100127,0.05253752917074188,0.0,0.0,0.0,0.0,0.0
20100128,-0.21976827309234345,0.0,0.0,0.0,0.0,0.0
20100129,-0.199595419266435,0.0,0.0,0.0,0.0,0.0
20100201,0.019543590111524737,0.0,0.0,0.0,0.0,0.0
20100202,0.5193889042530757,0.25693494662150645,0.0,0.0,0.0,0.0
20100203,0.300430088585968,0.22060528603088944,0.0,0.0,0.0,0.0
20100204,-0.30933140794925035,-0.26466357807960084,0.0,0.0,0.0,0.0
20100205,-1.5855382271760685,-1.4154605397707671,0.0,0.0,0.0,0.0
20100208,0.1980782824055042,0.18208515680341095,0.0,0.0,0.0,0.0
20100209,0.30226730994546525,0.2740525072352201,0.0,0.0,0.0,0.0
20100210,0.27481500904107237,0.23992887608036514,0.0,0.0,0.0,0.0
20100211,0.0958221044520909,0.08404399789413187,0.0,0.0,0.0,0.0
20100212,0.440000018530326,0.37148251101267155,0.0,0.0,0.0,0.0
20100222,0.8296290817875038,1.2538371787535094,0.0,0.0,0.0,0.0
20100223,-0.07813169616558693,-0.23472354624430533,0.055930467933740256,0.0,0.0,0.0
20100224,-0.02251772692665599,-0.4763683155556324,-0.014137084781730872,0.0,0.0,0.0
