Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
Kurtosis,{'N': 30},1,RAW,Yes,High,0.2553,23.4015
Kurtosis,{'N': 30},1,STATE_MACHINE,Yes,High,-0.1419,-7.7
Kurtosis,{'N': 40},2,RAW,Yes,High,0.1996,21.6926
Kurtosis,{'N': 40},2,STATE_MACHINE,Yes,High,-0.1736,-11.8783
Kurtosis,{'N': 50},3,RAW,Yes,High,0.1619,19.4348
Kurtosis,{'N': 50},3,STATE_MACHINE,Yes,High,-0.3275,-26.4374
OvernightVsIntraday,{'N': 30},1,RAW,Yes,High,0.345,28.5263
OvernightVsIntraday,{'N': 30},1,STATE_MACHINE,Yes,High,0.2635,12.8054
OvernightVsIntraday,{'N': 20},2,RAW,Yes,High,0.3148,21.9549
OvernightVsIntraday,{'N': 20},2,STATE_MACHINE,Yes,High,0.3458,14.2738
OvernightVsIntraday,{'N': 10},3,RAW,Yes,High,0.2779,15.0172
OvernightVsIntraday,{'N': 10},3,STATE_MACHINE,Yes,High,0.4838,14.0237
Skewness,{'N': 30},1,RAW,Yes,High,0.5369,38.8152
Skewness,{'N': 30},1,STATE_MACHINE,Yes,High,0.389,19.5713
Skewness,{'N': 50},2,RAW,Yes,High,0.486,47.896
Skewness,{'N': 50},2,STATE_MACHINE,Yes,High,0.3549,23.9869
Skewness,{'N': 40},3,RAW,Yes,High,0.4806,42.4329
Skewness,{'N': 40},3,STATE_MACHINE,Yes,High,0.2447,15.1674
NoiseFader,{'N': 20},1,RAW,Yes,High,-0.4723,-16.448
NoiseFader,{'N': 20},1,STATE_MACHINE,Yes,High,-0.4279,-18.6829
NoiseFader,{'N': 60},2,RAW,Yes,High,-0.5175,-31.1993
NoiseFader,{'N': 60},2,STATE_MACHINE,Yes,High,-0.5171,-35.1761
NoiseFader,{'N': 50},3,RAW,Yes,High,-0.6155,-34.769
NoiseFader,{'N': 50},3,STATE_MACHINE,Yes,High,-0.6363,-40.9804
ShortTermReversal,{'N': 10},1,RAW,Yes,High,-0.2082,-14.7126
ShortTermReversal,{'N': 10},1,STATE_MACHINE,Yes,High,-0.5395,-17.5041
ShortTermReversal,{'N': 20},2,RAW,Yes,High,-0.2288,-22.8626
ShortTermReversal,{'N': 20},2,STATE_MACHINE,Yes,High,-0.4279,-18.6829
ShortTermReversal,{'N': 60},3,RAW,Yes,High,-0.2722,-44.9855
ShortTermReversal,{'N': 60},3,STATE_MACHINE,Yes,High,-0.5171,-35.1761
AmihudIlliquidity,{'N': 10},1,RAW,Yes,High,0.4844,79.6883
AmihudIlliquidity,{'N': 10},1,STATE_MACHINE,Yes,High,0.4766,68.3121
AmihudIlliquidity,{'N': 20},2,RAW,Yes,High,0.4735,95.8892
AmihudIlliquidity,{'N': 20},2,STATE_MACHINE,Yes,High,0.4777,68.4121
AmihudIlliquidity,{'N': 30},3,RAW,Yes,High,0.464,92.7324
AmihudIlliquidity,{'N': 30},3,STATE_MACHINE,Yes,High,0.4792,68.5712
BuyingSellingPressure,{'N': 50},1,RAW,Yes,High,0.6487,60.5494
BuyingSellingPressure,{'N': 50},1,STATE_MACHINE,Yes,High,0.5061,34.1035
BuyingSellingPressure,{'N': 40},2,RAW,Yes,High,0.6467,55.3615
BuyingSellingPressure,{'N': 40},2,STATE_MACHINE,Yes,High,0.6686,38.9729
BuyingSellingPressure,{'N': 60},3,RAW,Yes,High,0.63,63.7108
BuyingSellingPressure,{'N': 60},3,STATE_MACHINE,Yes,High,0.4285,30.1657
BollingerBands,{'N': 40},1,RAW,Yes,High,0.494,28.334
BollingerBands,{'N': 40},1,STATE_MACHINE,Yes,High,0.494,28.334
BollingerBands,{'N': 60},2,RAW,Yes,High,0.4859,36.7606
BollingerBands,{'N': 60},2,STATE_MACHINE,Yes,High,0.4859,36.7606
BollingerBands,{'N': 30},3,RAW,Yes,High,0.463,22.3426
BollingerBands,{'N': 30},3,STATE_MACHINE,Yes,High,0.463,22.3426
DonchianChannel,{'N': 50},1,RAW,Yes,High,0.6897,46.4049
DonchianChannel,{'N': 50},1,STATE_MACHINE,Yes,High,0.6174,36.0623
DonchianChannel,{'N': 40},2,RAW,Yes,High,0.6589,40.6753
DonchianChannel,{'N': 40},2,STATE_MACHINE,Yes,High,0.6395,34.0074
DonchianChannel,{'N': 60},3,RAW,Yes,High,0.6212,44.1577
DonchianChannel,{'N': 60},3,STATE_MACHINE,Yes,High,0.5427,33.7954
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",1,RAW,Yes,High,0.4888,59.7973
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",1,STATE_MACHINE,Yes,High,0.9003,59.6444
DualMACrossover,"{'fast_n': 20, 'slow_n': 60}",2,RAW,Yes,High,0.4464,72.7969
DualMACrossover,"{'fast_n': 20, 'slow_n': 60}",2,STATE_MACHINE,Yes,High,0.8273,69.6687
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",3,RAW,Yes,High,0.4259,66.0589
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",3,STATE_MACHINE,Yes,High,0.6985,58.2336
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,RAW,Yes,High,0.2184,62.0462
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,STATE_MACHINE,Yes,High,0.3117,16.7711
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,RAW,Yes,High,0.1049,21.783
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,STATE_MACHINE,Yes,High,0.1641,6.9417
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",3,RAW,Yes,High,-0.0029,-0.4544
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",3,STATE_MACHINE,Yes,High,0.2402,8.6554
MovingAverageBias,{'N': 60},1,RAW,Yes,High,0.3517,51.123
MovingAverageBias,{'N': 60},1,STATE_MACHINE,Yes,High,0.6554,41.1078
MovingAverageBias,{'N': 50},2,RAW,Yes,High,0.3512,47.1978
MovingAverageBias,{'N': 50},2,STATE_MACHINE,Yes,High,0.6263,36.7131
MovingAverageBias,{'N': 40},3,RAW,Yes,High,0.3257,39.4698
MovingAverageBias,{'N': 40},3,STATE_MACHINE,Yes,High,0.637,33.4147
RSI,{'N': 40},1,RAW,Yes,High,0.6434,56.5833
RSI,{'N': 40},1,STATE_MACHINE,Yes,High,0.6824,39.2691
RSI,{'N': 50},2,RAW,Yes,High,0.6278,58.8728
RSI,{'N': 50},2,STATE_MACHINE,Yes,High,0.6372,40.9525
RSI,{'N': 30},3,RAW,Yes,High,0.5818,44.229
RSI,{'N': 30},3,STATE_MACHINE,Yes,High,0.8031,42.9535
TimeSeriesMomentum,{'N': 30},1,RAW,Yes,High,0.3856,48.7821
TimeSeriesMomentum,{'N': 30},1,STATE_MACHINE,Yes,High,0.8049,43.0338
TimeSeriesMomentum,{'N': 40},2,RAW,Yes,High,0.3763,54.37
TimeSeriesMomentum,{'N': 40},2,STATE_MACHINE,Yes,High,0.6778,39.0872
TimeSeriesMomentum,{'N': 50},3,RAW,Yes,High,0.3619,56.5357
TimeSeriesMomentum,{'N': 50},3,STATE_MACHINE,Yes,High,0.6363,40.9804
ATR,{'N': 10},1,RAW,Yes,High,0.4588,89.3147
ATR,{'N': 10},1,STATE_MACHINE,Yes,High,0.4766,68.3194
ATR,{'N': 20},2,RAW,Yes,High,0.4453,101.0982
ATR,{'N': 20},2,STATE_MACHINE,Yes,High,0.4778,68.4278
ATR,{'N': 30},3,RAW,Yes,High,0.4058,79.556
ATR,{'N': 30},3,STATE_MACHINE,Yes,High,0.479,68.5447
DownsideUpsideVolatility,{'N': 30},1,RAW,Yes,High,0.6257,46.5786
