trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,37.24655395226701,
20100107,45.327166594030146,
20100108,48.73891933739255,
20100111,49.397248382773995,
20100112,51.24897113373646,
20100113,50.629487879501724,
20100114,51.06707343027509,
20100115,52.10619234496356,
20100118,53.562633796313754,
20100119,55.33092014022003,
20100120,30.84434898590575,
20100121,11.664500597264727,
20100122,-3.0718663344096346,
20100125,-15.062773722194304,
20100126,-24.908645754132518,
20100127,-33.18798012196156,
20100128,-40.087777243340895,
20100129,-45.92770544796901,
20100201,-51.00735871796325,
20100202,-56.02972511217853,
20100203,-59.933764946176126,
20100204,-63.06255486285263,
20100205,-63.510795122614496,
20100208,-65.50793206928694,
20100209,-66.96564576528786,
20100210,-69.01969346346097,
20100211,-70.95595373568723,
20100212,-72.29648635372473,
20100222,-46.226884104148205,
20100223,-24.930055463959906,
20100224,-7.606642927621394,
20100225,6.587781739690727,
20100226,18.3603577542794,
20100301,28.04813466776111,
20100302,36.139014716224395,
20100303,42.26683379426239,
20100304,47.457200093960694,
20100305,51.90626103603403,
20100308,55.55089488022137,
20100309,58.77631464415137,
20100310,61.5633646975417,
20100311,63.60073730165019,
20100312,69.58110826013346,
20100315,39.7278471335325,
20100316,15.25738801946043,
20100317,-4.121239926227907,
20100318,-19.72769648804878,
20100319,0.35439260141880813,
20100322,-17.78689964840006,
20100323,-32.69173375359669,
20100324,-45.20797975739283,
20100325,-55.72429439059849,
20100326,-65.5962691722634,
20100329,-73.38087531964794,
20100330,-79.73646042271582,
20100331,-87.43754326660645,
20100401,-93.6614530809039,
20100402,-55.21563000040555,
20100406,-23.749143117457468,
20100407,3.2163375999804367,
20100408,25.270328816586073,
20100409,45.25795520746905,
20100412,61.35117750275414,
20100413,74.45502795258149,
20100414,85.33539460931067,
20100415,96.95577714923353,
20100416,107.3242987159285,
20100419,111.31077889010443,
20100420,64.95481967112997,
20100421,27.18264584565955,
20100422,-3.9009162608997494,
20100423,-30.267999267066482,
20100426,-49.52539745961458,
20100427,-15.596099325288483,
20100428,11.453975032895173,
20100429,34.121575033906915,
20100430,52.51458658410306,
20100504,68.02065548995948,
20100505,80.17490910650895,
20100506,90.58721386291177,
