trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,0.0,
20100201,0.0,
20100202,0.0,
20100203,0.0,
20100204,0.0,
20100205,0.0,
20100208,0.0,
20100209,0.0,
20100210,0.0,
20100211,0.0,
20100212,0.0,
20100222,0.0,
20100223,0.0,
20100224,0.0,
20100225,0.0,
20100226,0.0,
20100301,0.0,
20100302,0.0,
20100303,0.0,
20100304,0.0,
20100305,0.0,
20100308,-1.5917242876215738,
20100309,-4.012158985255445,
20100310,-6.988225491534406,
20100311,-8.163144029026471,
20100312,-11.28610919427172,
20100315,-17.169944012810387,
20100316,-22.339089781195227,
20100317,-26.67440176889587,
20100318,-28.786765022417246,
20100319,-30.988954420856416,
20100322,-32.35256209284803,
20100323,-33.004059609486035,
20100324,-33.844513517655614,
20100325,-34.90916471413929,
20100326,-38.08241796177978,
20100329,-40.5456813850072,
20100330,-43.991209555720594,
20100331,-47.013918383538424,
20100401,-51.235283139379945,
20100402,-56.41857986282307,
20100406,-60.92711765642654,
20100407,-68.97650329389599,
20100408,-75.474177987209,
20100409,-85.00496246503921,
20100412,-66.25910518996896,
20100413,-49.28348373012319,
20100414,-34.05232573719462,
20100415,-19.29925055012594,
20100416,-6.569262265859792,
20100419,0.8688749330579912,
20100420,-1.7988854185440095,
20100421,-6.118856885776801,
20100422,-11.065465584099448,
20100423,-15.382303298754342,
20100426,-18.74712394901358,
20100427,-19.519031339808986,
20100428,-21.62678578787008,
20100429,-27.534469600873436,
20100430,-34.21455246533246,
20100504,-39.685529408232036,
20100505,-42.073296219967844,
20100506,-45.14409200647854,
20100507,-34.7679501131039,
20100510,-24.396943457929588,
20100511,-16.785953815773254,
20100512,-11.592363853531655,
20100513,-7.014055406131345,
20100514,-2.3631534723094565,
20100517,0.5786878422968673,
20100518,0.8476844821281403,
20100519,3.3289892914088086,
20100520,1.1824245975579324,
