Factor,Parameters,Mode,SharpRatio,POT
HistoricalVolatility,{'N': 10},RAW,0.5142,85.8701
HistoricalVolatility,{'N': 10},STATE_MACHINE,0.4766,68.3121
HistoricalVolatility,{'N': 20},RAW,0.4353,146.042
HistoricalVolatility,{'N': 20},STATE_MACHINE,0.4777,68.4121
HistoricalVolatility,{'N': 30},RAW,0.3819,77.0233
HistoricalVolatility,{'N': 30},STATE_MACHINE,0.4792,68.5712
HistoricalVolatility,{'N': 40},RAW,0.384,75.4563
HistoricalVolatility,{'N': 40},STATE_MACHINE,0.4787,68.4969
HistoricalVolatility,{'N': 50},RAW,0.3919,76.4335
HistoricalVolatility,{'N': 50},STATE_MACHINE,0.48,68.8793
HistoricalVolatility,{'N': 60},RAW,0.3892,74.2689
HistoricalVolatility,{'N': 60},STATE_MACHINE,0.4701,67.6084
