Factor,Parameters,Mode,SharpRatio,POT
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",RAW,-0.0721,-7.2918
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",STATE_MACHINE,0.388,8.1655
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",RAW,-0.081,-10.0981
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",STATE_MACHINE,0.1772,5.1011
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",RAW,-0.0029,-0.4544
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",STATE_MACHINE,0.2402,8.6554
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",RAW,0.1049,21.783
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",STATE_MACHINE,0.1641,6.9417
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",RAW,0.2184,62.0462
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",STATE_MACHINE,0.3117,16.7711
