Factor,Parameters,Mode,SharpRatio,POT
BuyingSellingPressure,{'N': 10},RAW,0.37,16.1268
BuyingSellingPressure,{'N': 10},STATE_MACHINE,0.3893,12.0878
BuyingSellingPressure,{'N': 20},RAW,0.4113,26.2573
BuyingSellingPressure,{'N': 20},STATE_MACHINE,0.4424,18.9463
BuyingSellingPressure,{'N': 30},RAW,0.5846,44.7618
BuyingSellingPressure,{'N': 30},STATE_MACHINE,0.6102,31.7721
BuyingSellingPressure,{'N': 40},RAW,0.6467,55.3615
BuyingSellingPressure,{'N': 40},STATE_MACHINE,0.6686,38.9729
BuyingSellingPressure,{'N': 50},RAW,0.6487,60.5494
BuyingSellingPressure,{'N': 50},STATE_MACHINE,0.5061,34.1035
BuyingSellingPressure,{'N': 60},RAW,0.63,63.7108
BuyingSellingPressure,{'N': 60},STATE_MACHINE,0.4285,30.1657
