trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100326,0.0,0.0,0.0,,
20100329,0.0,0.0,0.0,,
20100330,0.0,0.0,0.0,,
20100331,0.0,0.0,0.0,,
20100401,0.0,0.0,0.0,,
20100402,0.0,0.0,0.0,,
20100406,2.91304927612133e-07,5.079970480911313e-07,6.120337572481623e-07,,
20100407,5.312239009792935e-07,8.431391505256463e-07,1.0630787854817558e-06,,
20100408,7.274180318353007e-07,1.112915642869293e-06,1.442740448408862e-06,,
20100409,8.837068574079193e-07,1.3328357570615268e-06,1.821119291881676e-06,,
20100412,1.0467837091743638e-06,1.5378181479859298e-06,2.164122998635161e-06,,
20100413,1.1798132949877834e-06,1.6985013885555595e-06,2.4757150905952352e-06,,
20100414,1.333421978329799e-06,1.8196736270554498e-06,2.7202100723028684e-06,,
20100415,1.4410401304141054e-06,1.8950999024875186e-06,2.9067245893428914e-06,,
20100416,1.5324648239930747e-06,1.993473622494335e-06,3.082959462740995e-06,,
20100419,1.6525570432115365e-06,2.020745279271887e-06,3.156390207868386e-06,,
20100420,1.7250590217116092e-06,2.0475734004277903e-06,3.229542203652546e-06,,
20100421,1.7846167922199825e-06,2.0762826455063804e-06,3.298361781597621e-06,,
20100422,1.8382273550930938e-06,2.095137165586327e-06,3.3581512831396155e-06,,
20100423,1.8726986754002208e-06,2.0948377952933722e-06,3.4088451741678434e-06,,
20100426,1.914596350194174e-06,2.1053643797146225e-06,3.4906796007055264e-06,,
20100427,1.9556886788241673e-06,2.112867084286123e-06,3.5626165466507992e-06,,
20100428,1.9823761484596367e-06,2.108286973210674e-06,3.5396727395201367e-06,,
20100429,2.0071429302618538e-06,2.098462356957149e-06,3.525226995151083e-06,,
20100430,2.0513840525695955e-06,2.0842375168443953e-06,3.5127218377632717e-06,,
20100504,2.057889715245672e-06,2.071110613356883e-06,3.5082814843907974e-06,,
20100505,2.0500277414070442e-06,2.0511339518507114e-06,3.4986351907493453e-06,,
20100506,1.991066593757579e-06,2.0671737385683673e-06,3.5702664026187332e-06,,
20100507,1.913152383221989e-06,2.0115324786063083e-06,3.490413278583891e-06,,
20100510,1.8253213138959362e-06,1.9488421979686296e-06,3.39626340684829e-06,,
20100511,1.7529760416920312e-06,1.8986247917392929e-06,3.3301589567006408e-06,,
20100512,1.6822690486420037e-06,1.8436634803572437e-06,3.268830873629217e-06,,
20100513,1.6248534730073184e-06,1.7973873005862392e-06,3.2201573999923913e-06,,
20100514,1.570376851903e-06,1.7607563798128183e-06,3.180902009684175e-06,,
20100517,1.509317132772848e-06,1.6966190529943344e-06,3.106020043535024e-06,,
20100518,1.4614942056594594e-06,1.6426122130911228e-06,3.0347959049637707e-06,,
20100519,1.4254295886998755e-06,1.5925927872736412e-06,2.970038790895528e-06,,
20100520,1.3909039914547731e-06,1.5453635354716134e-06,2.908179804838231e-06,,
20100521,1.3607445555485683e-06,1.4980771357210928e-06,2.8485238728364994e-06,,
20100524,1.3432202041959451e-06,1.462639565367603e-06,2.805006268326109e-06,,
20100525,1.3255800246478504e-06,1.4353645445689427e-06,2.7809816354196503e-06,,
20100526,1.306062548419521e-06,1.4091920743321685e-06,2.758407291642075e-06,,
20100527,1.2872262656730696e-06,1.3922651522971544e-06,2.7523163933802026e-06,,
20100528,1.2718588944821051e-06,1.3751826157060345e-06,2.7412430328968935e-06,,
20100531,1.258676651080576e-06,1.3645454137409288e-06,2.7402591614379446e-06,,
20100601,1.2499514329558834e-06,1.3513397534778513e-06,2.7335047374639643e-06,,
20100602,1.2433103304294677e-06,1.3407595996908416e-06,2.7319067190954123e-06,,
20100603,1.2528622886217106e-06,1.3366529444082288e-06,2.7381605763211894e-06,,
20100604,1.2740679821917696e-06,1.3615628205664603e-06,2.8080304500587334e-06,,
20100607,1.3074150003950756e-06,1.3770502527907127e-06,2.8314274271263656e-06,,
20100608,1.3299693355652018e-06,1.3886536572130354e-06,2.849634894300206e-06,,
20100609,1.3727470013816706e-06,1.4014877117693785e-06,2.869437585627737e-06,,
20100610,1.3975348601865611e-06,1.4136285566982852e-06,2.8934797181558433e-06,,
20100611,1.4317233178363484e-06,1.4300607006887083e-06,2.917369552446713e-06,,
20100617,1.486499268948916e-06,1.4888092408619315e-06,3.0073281039593207e-06,,
20100618,1.5298728802597321e-06,1.546803723535832e-06,3.1230836927329392e-06,,
