Factor,Parameters,Mode,SharpRatio,POT
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",RAW,0.16,4.899
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",STATE_MACHINE,0.0658,1.2836
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",RAW,0.2457,10.117
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",STATE_MACHINE,0.1333,3.4857
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",RAW,0.2392,11.9661
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",STATE_MACHINE,0.0553,1.6808
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",RAW,0.2565,15.5113
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",STATE_MACHINE,0.1784,6.4889
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",RAW,0.2886,22.0435
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",STATE_MACHINE,0.2932,13.7077
