Factor,Parameters,Mode,SharpRatio,POT
DownsideUpsideVolatility,{'N': 10},RAW,0.3514,10.9938
DownsideUpsideVolatility,{'N': 10},STATE_MACHINE,0.2309,6.0347
DownsideUpsideVolatility,{'N': 20},RAW,0.2473,10.9896
DownsideUpsideVolatility,{'N': 20},STATE_MACHINE,0.1997,7.4339
DownsideUpsideVolatility,{'N': 30},RAW,0.2981,16.4583
DownsideUpsideVolatility,{'N': 30},STATE_MACHINE,0.2461,10.8451
DownsideUpsideVolatility,{'N': 40},RAW,0.4443,27.9044
DownsideUpsideVolatility,{'N': 40},STATE_MACHINE,0.503,25.6562
DownsideUpsideVolatility,{'N': 50},RAW,0.3801,26.0324
DownsideUpsideVolatility,{'N': 50},STATE_MACHINE,0.4803,26.3666
DownsideUpsideVolatility,{'N': 60},RAW,0.2273,16.7629
DownsideUpsideVolatility,{'N': 60},STATE_MACHINE,0.2909,17.0838
