trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,0.0,0.0,0.0,,
20100202,0.0,0.0,0.0,,
20100203,0.0,0.0,0.0,,
20100204,0.0,0.0,0.0,,
20100205,0.0,0.0,0.0,,
20100208,0.0,0.0,0.0,,
20100209,0.0,0.0,0.0,,
20100210,0.0,0.0,0.0,,
20100211,0.0,0.0,0.0,,
20100212,0.0,0.0,0.0,,
20100222,0.0,0.0,0.0,,
20100223,0.0,0.0,0.0,,
20100224,0.0,0.0,0.0,,
20100225,0.0,0.0,0.0,,
20100226,0.0,0.0,0.0,,
20100301,0.0,0.0,0.0,,
20100302,0.0,0.0,0.0,,
20100303,0.0,0.0,0.0,,
20100304,0.0,0.0,0.0,,
20100305,0.0,0.0,0.0,,
20100308,-17.573540178209715,-22.04633029465612,-16.243195535183457,,
20100309,-32.370489271283134,-40.15361844837157,-29.485060895610253,,
20100310,-45.53393105184011,-58.13872386404288,-41.72796667526331,,
20100311,-56.827399811069974,-72.9518148151171,-51.46093499686031,,
20100312,-65.14392349904118,-84.11836153632434,-59.13120845089972,,
20100315,-72.4181938130176,-94.52659448346492,-65.90565117413247,,
20100316,-77.18022255845608,-103.06460857997875,-71.44355237873512,,
20100317,-81.27548689616401,-58.46512203112239,-41.04659398846641,,
20100318,-47.5445986313645,-21.8704963614541,-16.106202587327193,,
20100319,-21.009226447547135,8.117907628342662,4.394014913079948,,
20100322,1.4457665085766724,35.382713765876,23.61854214009397,,
20100323,22.22024246665113,60.04956807373006,40.44890760316855,,
20100324,39.21280133944604,82.05992984372631,54.70250533248259,,
20100325,53.378917946603536,101.50356080366325,66.86556157299343,,
20100326,65.1850709245439,116.89006171010601,76.86579941468398,,
20100329,75.99010786712404,130.70068726117884,85.56863685015085,,
20100330,38.58530900915359,139.32358097583096,92.89447949058386,,
20100331,7.896682154603028,148.26598354265857,99.99063486068337,,
20100401,32.23262126554696,160.13184316527307,107.40251104390647,,
20100402,0.6426552140864258,172.45206584554478,120.67121794476346,,
20100406,26.695715673271163,182.9573867453816,131.73242197602187,,
20100407,47.65256444688944,184.10922881781653,137.26563038130035,,
20100408,64.50566235650325,184.63081217407023,142.4810279768799,,
20100409,78.33876207862635,185.20120387117234,150.7146041191081,,
20100412,92.36635717971942,188.29822309483268,159.19151578103344,,
20100413,103.80038118425753,190.2567967742351,167.42643807585327,,
20100414,117.44671344539641,191.43530439984315,174.27109403793855,,
20100415,128.56497458814573,192.36011591614087,181.1339113537784,,
20100416,137.326440772696,196.5220449389746,188.73076297509036,,
20100419,147.66626249567017,192.43341623381468,187.0952648914086,,
20100420,152.82421280102923,125.77264837390602,185.92488564910386,,
20100421,156.84057574525866,71.26746619115083,184.7311108103292,,
20100422,95.5126741619457,26.736192952234468,183.59177022289225,,
20100423,47.2199866475227,-8.510102684535251,181.02737725947048,,
20100426,7.096779667883493,-38.256360661485566,179.1690184171745,,
20100427,-25.417230464365787,-62.613897015796674,177.65840586840682,,
20100428,-50.62716365929901,-81.50138353130514,172.48319296438856,,
20100429,-71.26391006503323,-96.46634597869836,168.07258092532916,,
20100430,-25.788589200514814,-108.27908558890601,164.15502533895892,,
20100504,9.292444319034782,-117.60678972362291,107.91109379059094,,
20100505,37.89959437993865,-124.8507605570913,61.900188116467895,,
20100506,5.010604131146249,-132.67947418208317,21.71636208872655,,
20100507,-19.978641165422797,-133.78328325125472,-5.047042734406846,,
20100510,-38.28086978597691,-132.61043109202274,-25.050978132210922,,
20100511,-53.094773504651094,-131.32216186485883,-41.36436014312925,,
20100512,-64.54908664256489,-129.69352444077944,-54.41718656283742,,
20100513,-73.96954198427001,-128.35902607784257,-64.95932827888242,,
20100514,-80.88680960069848,-126.94850288973875,-73.04377624273357,,
20100517,-85.43509533359492,-123.19377141307179,-77.69147961276012,,
20100518,-89.28593369932304,-120.03430322630592,-80.8814491328907,,
20100519,-93.14487768939757,-117.55719988430141,-83.57737167227518,,
20100520,-96.26207114768627,-115.19603161320647,-85.36590739963547,,
20100521,-98.76042962094124,-112.95450493348096,-86.41298888099887,,
20100524,-101.64847104192305,-111.66595081696363,-87.6616923372032,,
20100525,-103.74155674548551,-110.30365753442177,-88.56587794414027,,
20100526,-105.2489775684681,-108.76170467256209,-89.14543025673964,,
20100527,-106.63823052317862,-107.76161198633817,-89.9654877116138,,
20100528,-107.80193596388847,-106.98859012444132,-90.72882935636055,,
20100531,-108.80689336468349,-106.31705995981524,-91.15377697990935,,
20100601,-109.85958410500727,-105.8024095770134,-91.53492029989904,,
20100602,-111.06120485006805,-105.14220225279118,-91.50311986632173,,
20100603,-113.36226026351562,-105.16039713613017,-91.65425064484516,,
20100604,-116.35303036495115,-107.19439146948137,-93.83768846435403,,
20100607,-119.34067391286726,-107.71449340793637,-93.54971755431461,,
