trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,0.0,0.0,0.0,,
20100202,0.0,0.0,0.0,,
20100203,0.0,0.0,0.0,,
20100204,0.0,0.0,0.0,,
20100205,0.0,0.0,0.0,,
20100208,0.0,0.0,0.0,,
20100209,0.0,0.0,0.0,,
20100210,0.0,0.0,0.0,,
20100211,0.0,0.0,0.0,,
20100212,0.0,0.0,0.0,,
20100222,0.0,0.0,0.0,,
20100223,0.0,0.0,0.0,,
20100224,0.0,0.0,0.0,,
20100225,0.0,0.0,0.0,,
20100226,0.0,0.0,0.0,,
20100301,0.0,0.0,0.0,,
20100302,0.0,0.0,0.0,,
20100303,0.0,0.0,0.0,,
20100304,0.0,0.0,0.0,,
20100305,0.0,0.0,0.0,,
20100308,0.0,0.0,0.0,,
20100309,0.0,0.0,0.0,,
20100310,0.0,0.0,0.0,,
20100311,0.0,0.0,0.0,,
20100312,0.0,0.0,0.0,,
20100315,0.0,0.0,0.0,,
20100316,0.0,0.0,0.0,,
20100317,0.0,0.0,0.0,,
20100318,0.0,0.0,0.0,,
20100319,0.0,0.0,0.0,,
20100322,0.0,0.0,0.0,,
20100323,0.0,0.0,0.0,,
20100324,0.0,0.0,0.0,,
20100325,0.0,0.0,0.0,,
20100326,0.0,0.0,0.0,,
20100329,0.0,0.0,0.0,,
20100330,0.0,0.0,0.0,,
20100331,0.0,0.0,0.0,,
20100401,0.0,0.0,0.0,,
20100402,0.0,0.0,0.0,,
20100406,8.054239623254604,-44.77029741010532,14.406312346567436,,
20100407,10.190710199861842,-89.21387360176477,16.860233973586354,,
20100408,14.134297353417923,-114.83836149155782,11.267994694336675,,
20100409,14.743396606553542,-145.80136106802104,1.8846244665616851,,
20100412,12.737304705633884,-183.6937934903067,-10.842830918717839,,
20100413,8.130931278184246,-205.83422156592601,-18.49018474658403,,
20100414,-0.2874644906773954,-217.05492578570136,-21.786457917676817,,
20100415,-5.3867547110840945,-226.4597465293588,-22.48641675017064,,
20100416,-13.080212576039663,-244.04225821874772,-25.775503266307823,,
20100419,-15.198867845978864,-243.55319541649496,-25.292371197222103,,
20100420,-20.592530054480772,-247.17589268807873,-26.506485646638577,,
20100421,-23.068333449063893,-252.94205778634503,-29.243266160394807,,
20100422,-27.300398278392883,-256.79933611539326,-30.42694669430792,,
20100423,-33.4774045218078,-275.71327163123556,-32.69025924307344,,
20100426,-40.639499239194116,-294.0793910613104,-35.77707051649818,,
20100427,-44.55892539082935,-325.82020189204,-44.01782817851026,,
20100428,-45.54944809886803,-338.3791698775782,-43.65352945445537,,
20100429,-47.41007958443352,-338.126033217135,-39.73503464507005,,
20100430,-57.79330621287186,-350.36919255309186,-39.230818810062146,,
20100504,-56.8960427353536,-353.8464708582377,-36.439109161045025,,
20100505,-66.48627157526046,-373.6820405791885,-36.73864213743077,,
20100506,-58.706420351845104,-379.5120654130181,-33.87222016883924,,
20100507,-43.18552827624837,-354.69580772437615,-27.096804459017353,,
20100510,-37.26159081028045,-345.91992636281293,-23.653061904726965,,
20100511,-28.179073862296942,-324.3729262785886,-18.693537036826644,,
20100512,-27.530709821152602,-327.58809646711035,-16.44612061998703,,
20100513,-32.156010274385395,-312.79496631553565,-10.604819826440227,,
20100514,-30.875757784343705,-285.6643538353127,-3.2539545408533788,,
20100517,-22.677109154840032,-227.0503887807819,5.278367781164163,,
20100518,-20.768915632535506,-199.62615190971854,9.76586571082056,,
20100519,-14.534425041259498,-157.8738020340778,14.892689779021913,,
20100520,-13.790506672697173,-143.11272506814802,16.565625108842127,,
20100521,-19.297693584421303,-155.85871702285246,15.690559918867061,,
20100524,-29.152318500152898,-140.82392323622574,15.008716066601952,,
20100525,-31.134251379527058,-94.23757975418954,16.043202626572583,,
20100526,-36.542180421669485,-85.57453810576973,14.950326995021813,,
20100527,-44.68180537570461,-124.59545156759225,12.758205779743774,,
20100528,-47.28455729774282,-111.41071325954982,10.983455300292704,,
20100531,-44.45356697476692,104.21922066791464,10.913144091017488,,
20100601,-37.48008687309417,-3221.1889778633995,12.433279192356187,,
20100602,-35.781816086388396,-2856.3915484442737,12.068444640921136,,
20100603,-38.16754228091529,-2675.9943227534686,12.897904131024177,,
20100604,-43.604653111525955,-2300.5612848413975,12.358660571554008,,
20100607,-43.30187581309131,-2123.376395959407,13.634650468770243,,
20100608,-44.98189414256138,-1867.325877452342,13.68709063543141,,
20100609,-42.11934548988905,-1553.7510206818954,16.985777385620533,,
20100610,-39.445826763198255,-1329.1532051544898,21.457656817843255,,
20100611,-34.04006294927264,-1161.1908632156271,25.14465146716761,,
20100617,-32.5877361198655,-999.9912052950172,27.66939931084151,,
20100618,-36.44096297398611,-842.0111037802025,29.132073676621925,,
20100621,-44.73221576178542,-678.2615703460255,28.490521513701836,,
