Factor,Parameters,Mode,SharpRatio,POT
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",RAW,0.6742,67.2085
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",STATE_MACHINE,0.9192,54.6135
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",RAW,0.5612,77.9783
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",STATE_MACHINE,0.7938,67.1018
DualMACrossover,"{'fast_n': 10, 'slow_n': 60}",RAW,0.5223,84.5349
DualMACrossover,"{'fast_n': 10, 'slow_n': 60}",STATE_MACHINE,0.7775,74.1669
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",RAW,0.4283,58.8809
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",STATE_MACHINE,0.7292,63.6168
DualMACrossover,"{'fast_n': 20, 'slow_n': 60}",RAW,0.4073,67.6548
DualMACrossover,"{'fast_n': 20, 'slow_n': 60}",STATE_MACHINE,0.7279,74.8165
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",RAW,0.3227,52.363
DualMACrossover,"{'fast_n': 30, 'slow_n': 60}",STATE_MACHINE,0.5106,52.0056
