trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,0.0,,,,
20100107,0.0,,,,
20100108,0.0,,,,
20100111,0.0,,,,
20100112,0.0,,,,
20100113,0.0,,,,
20100114,0.0,,,,
20100115,-3.656587538502405,,,,
20100118,-6.393514716002503,,,,
20100119,-8.495522517512663,,,,
20100120,-10.359722550591853,,,,
20100121,-10.53137717166096,,,,
20100122,-11.025839369722151,,,,
20100125,-13.733571153433353,,,,
20100126,-16.010419083577922,,,,
20100127,-14.358231552524401,,,,
20100128,-12.867946775420501,,,,
20100129,-10.800185287520094,,,,
20100201,-9.333674596770006,,,,
20100202,-11.052928809345504,,,,
20100203,-12.431800607497925,,,,
20100204,-14.008023608433312,,,,
20100205,-15.222601341742688,,,,
20100208,-16.381546043996988,,,,
20100209,-17.152729873018767,,,,
20100210,-18.336832162811184,,,,
20100211,-19.18105772287917,,,,
20100212,-18.63003011245924,,,,
20100222,-18.17938238269561,,,,
20100223,-15.458535137171872,,,,
20100224,-12.993859110166134,,,,
20100225,-10.163791256043151,,,,
20100226,-7.994095724507603,,,,
20100301,-5.943022808583693,,,,
20100302,-4.763955306628627,,,,
20100303,-3.8271932365397983,,,,
20100304,-3.11564497569614,,,,
20100305,-4.3616578782479305,,,,
20100308,-4.905788405264561,,,,
20100309,-7.651904990447288,,,,
20100310,-9.918652428975124,,,,
20100311,-11.348763800143342,,,,
20100312,-12.537295614214338,,,,
20100315,-13.664207128206588,,,,
20100316,-3.3373831784935533,,,,
20100317,4.785613918833482,,,,
20100318,9.544214390798379,,,,
20100319,13.806866127713581,,,,
20100322,17.648571334273736,,,,
20100323,20.300405418783377,,,,
20100324,22.52737955252714,,,,
20100325,24.6409370591641,,,,
20100326,26.457682300861933,,,,
20100329,27.889710016505088,,,,
20100330,20.98856526841115,,,,
20100331,15.319307224413249,,,,
20100401,11.101852964650824,,,,
20100402,8.252732393229127,,,,
20100406,6.854996094237352,,,,
20100407,5.877786805249263,,,,
20100408,3.8212049622115996,,,,
20100409,2.8781349391581736,,,,
20100412,1.8246576843717255,,,,
20100413,1.038601016551764,,,,
20100414,2.744122076808051,,,,
