trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,0.0,,,,
20100107,0.0,,,,
20100108,0.0,,,,
20100111,0.0,,,,
20100112,0.0,,,,
20100113,0.0,,,,
20100114,0.0,,,,
20100115,0.0,,,,
20100118,0.0,,,,
20100119,0.0,,,,
20100120,0.0,,,,
20100121,0.0,,,,
20100122,0.0,,,,
20100125,0.0,,,,
20100126,0.0,,,,
20100127,0.0,,,,
20100128,0.0,,,,
20100129,0.0,,,,
20100201,0.0,,,,
20100202,0.0,,,,
20100203,0.0,,,,
20100204,0.0,,,,
20100205,0.0,,,,
20100208,0.0,,,,
20100209,0.0,,,,
20100210,0.0,,,,
20100211,0.0,,,,
20100212,0.0,,,,
20100222,0.0,,,,
20100223,0.0,,,,
20100224,0.0,,,,
20100225,0.0,,,,
20100226,0.0,,,,
20100301,0.0,,,,
20100302,0.0,,,,
20100303,0.0,,,,
20100304,0.0,,,,
20100305,0.0,,,,
20100308,0.0,,,,
20100309,0.0,,,,
20100310,0.0,,,,
20100311,0.0,,,,
20100312,0.0,,,,
20100315,0.0,,,,
20100316,0.0,,,,
20100317,0.0,,,,
20100318,0.0,,,,
20100319,0.0,,,,
20100322,0.0,,,,
20100323,0.0,,,,
20100324,0.0,,,,
20100325,0.0,,,,
20100326,0.0,,,,
20100329,0.0,,,,
20100330,0.0,,,,
20100331,0.0,,,,
20100401,0.0,,,,
20100402,0.0,,,,
20100406,0.0,,,,
20100407,0.0,,,,
20100408,0.0,,,,
20100409,0.0,,,,
20100412,0.0,,,,
20100413,0.0,,,,
20100414,0.0,,,,
20100415,0.0,,,,
20100416,0.0,,,,
20100419,0.0,,,,
20100420,0.0,,,,
20100421,0.0,,,,
20100422,0.0,,,,
20100423,0.0,,,,
20100426,0.0,,,,
20100427,0.0,,,,
20100428,0.0,,,,
20100429,0.0,,,,
20100430,0.0,,,,
20100504,0.0,,,,
20100505,0.0,,,,
20100506,0.0,,,,
20100507,0.0,,,,
20100510,0.0,,,,
20100511,0.0,,,,
20100512,0.0,,,,
20100513,0.0,,,,
20100514,0.0,,,,
20100517,0.0,,,,
20100518,0.0,,,,
20100519,0.0,,,,
20100520,0.0,,,,
20100521,0.0,,,,
20100524,0.0,,,,
20100525,0.0,,,,
20100526,0.0,,,,
20100527,0.0,,,,
20100528,0.0,,,,
20100531,0.0,,,,
20100601,0.0,,,,
20100602,6.618343243411015,,,,
20100603,6.426457749526813,,,,
20100604,0.973058939335293,,,,
20100607,10.062575310292488,,,,
20100608,5.440640981325272,,,,
20100609,1.9768659334958119,,,,
20100610,-2.569476874289733,,,,
20100611,-7.792011236001364,,,,
20100617,-14.521575189796533,,,,
20100618,-18.667178961376752,,,,
20100621,-14.233499308485959,,,,
20100622,-17.382847819113024,,,,
20100623,-12.779554454455123,,,,
20100624,-16.523545559106758,,,,
20100625,-21.365989632134024,,,,
20100628,-17.34032099691395,,,,
20100629,-15.70613325249343,,,,
20100630,-19.802290594483264,,,,
20100701,-22.776941139967743,,,,
20100702,-20.19064398612596,,,,
20100705,-21.340184179493853,,,,
20100706,-23.196532336015117,,,,
20100707,-27.87195714000427,,,,
20100708,-29.700542573608477,,,,
20100709,-28.427220242717457,,,,
20100712,-34.2046347350958,,,,
20100713,-43.06834007569261,,,,
20100714,-52.96102119781178,,,,
20100715,-61.027029157677205,,,,
20100716,-67.47510741303576,,,,
20100719,-73.23681732127973,,,,
20100720,-76.45075457830822,,,,
20100721,-80.45360616553636,,,,
20100722,-84.05555979207186,,,,
20100723,-85.76509964938231,,,,
20100726,-88.18504306291803,,,,
20100727,-89.46323969707919,,,,
20100728,-88.95805873621609,,,,
20100729,-88.87515827229726,,,,
20100730,-87.56625501214968,,,,
20100802,-86.20824945095173,,,,
20100803,-85.05984186843355,,,,
20100804,-84.07916041134013,,,,
20100805,-83.49609032918761,,,,
20100806,-83.02221599120604,,,,
20100809,-82.1358777832722,,,,
20100810,-81.54616748202633,,,,
20100811,-81.22715376894438,,,,
20100812,-79.74641754578231,,,,
20100813,-78.45862553080312,,,,
20100816,-78.1416087942571,,,,
20100817,-78.34394822884443,,,,
20100818,-78.54875250428849,,,,
20100819,-78.75717455637128,,,,
20100820,-78.50526525071818,,,,
20100823,-77.69044597468148,,,,
20100824,-77.81635124791998,,,,
20100825,-79.02150726116594,,,,
20100826,-79.7208577272565,,,,
20100827,-81.91615021457181,,,,
20100830,-82.78818947808574,,,,
20100831,-83.6403891675158,,,,
20100901,-84.04115837778964,,,,
20100902,-84.26335385477857,,,,
20100903,-84.30554529068606,,,,
20100906,-78.40660954732819,,,,
20100907,-73.60760183974948,,,,
20100908,-69.58030788932527,,,,
20100909,-65.89811526243558,,,,
20100910,-62.7975878161849,,,,
20100913,-60.26047496217475,,,,
20100914,-57.94036513748572,,,,
20100915,-56.04565204935793,,,,
20100916,-54.35225557601458,,,,
20100917,-53.12599257827676,,,,
20100920,-52.280755596196315,,,,
20100921,-51.39325702070108,,,,
20100927,-50.476683588903065,,,,
20100928,-49.77448167165526,,,,
20100929,-49.20085705343543,,,,
20100930,-48.94418738680113,,,,
20101008,-48.73508117126885,,,,
20101011,-48.4359975202766,,,,
20101012,-48.19370614227671,,,,
20101013,-47.98547203318431,,,,
20101014,-53.18475351355388,,,,
20101015,-57.14979521596991,,,,
20101018,-60.24491359364222,,,,
20101019,-64.5138078422596,,,,
20101020,-68.2799727468047,,,,
20101021,-71.26439954181247,,,,
20101022,-74.56717086492854,,,,
