Strategy/Factor Name,Robust Params,Rank,RAW_Sharpe,RAW_POT,SM_Sharpe,SM_POT
Kurtosis,{'N': 60},1,0.411,50.4825,0.2521,22.5178
Kurtosis,{'N': 50},2,0.2094,23.1333,0.008,0.6306
Kurtosis,{'N': 40},3,0.0813,7.9715,-0.079,-5.4899
OvernightVsIntraday,{'N': 10},1,0.8348,60.5631,1.1022,47.4718
OvernightVsIntraday,{'N': 20},2,0.7351,74.7668,1.1088,70.606
OvernightVsIntraday,{'N': 30},3,0.5422,64.2627,0.9792,72.3096
Skewness,{'N': 20},1,0.2483,13.7958,0.3059,13.262
Skewness,{'N': 10},2,0.1749,6.1274,0.1004,2.7246
Skewness,{'N': 30},3,0.1684,11.0901,0.3168,16.288
NoiseFader,{'N': 10},1,-0.7534,-23.8491,-0.917,-41.3357
NoiseFader,{'N': 40},2,-0.7908,-54.3792,-0.8245,-66.4489
NoiseFader,{'N': 50},3,-0.8316,-62.6905,-0.8402,-72.6829
ShortTermReversal,{'N': 60},1,-0.4515,-74.3708,-0.833,-79.1713
ShortTermReversal,{'N': 50},2,-0.5112,-77.3272,-0.8402,-72.6829
ShortTermReversal,{'N': 40},3,-0.5208,-74.2353,-0.8245,-66.4489
AmihudIlliquidity,{'N': 60},1,-0.7627,-203.7182,0.1145,22.4297
AmihudIlliquidity,{'N': 50},2,-0.8056,-212.9403,0.11,21.5029
AmihudIlliquidity,{'N': 10},3,-0.8296,-158.2368,0.0845,16.4761
BuyingSellingPressure,{'N': 10},1,0.9434,55.3866,0.9596,43.0682
BuyingSellingPressure,{'N': 20},2,0.8945,75.9234,0.947,59.8852
BuyingSellingPressure,{'N': 40},3,0.7868,88.5503,0.7707,64.5745
BollingerBands,{'N': 30},1,0.887,48.2038,0.887,48.2038
BollingerBands,{'N': 40},2,0.7837,50.2036,0.7837,50.2036
BollingerBands,{'N': 60},3,0.7331,58.4556,0.7331,58.4556
DonchianChannel,{'N': 30},1,1.0195,73.4774,0.9598,64.8965
DonchianChannel,{'N': 20},2,1.0021,60.8132,0.9769,54.2162
