trade_date,"{'fast_n': 5, 'slow_n': 20}","{'fast_n': 10, 'slow_n': 40}","{'fast_n': 10, 'slow_n': 60}","{'fast_n': 20, 'slow_n': 40}","{'fast_n': 20, 'slow_n': 60}","{'fast_n': 30, 'slow_n': 60}"
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,0.0,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0,0.0
20100201,0.02067957074960032,0.0,0.0,0.0,0.0,0.0
20100202,1.0335052971086174,0.0,0.0,0.0,0.0,0.0
20100203,-0.21244451636289885,0.0,0.0,0.0,0.0,0.0
20100204,0.7755239840427771,0.0,0.0,0.0,0.0,0.0
20100205,0.08422972960198476,0.0,0.0,0.0,0.0,0.0
20100208,-0.31238887165326407,0.0,0.0,0.0,0.0,0.0
20100209,-0.47577944313455006,0.0,0.0,0.0,0.0,0.0
20100210,-0.7354241250035363,0.0,0.0,0.0,0.0,0.0
20100211,-0.5809411942988629,0.0,0.0,0.0,0.0,0.0
20100212,-1.2372618648296567,0.0,0.0,0.0,0.0,0.0
20100222,0.9765311265133275,0.0,0.0,0.0,0.0,0.0
20100223,-0.804625857453128,0.0,0.0,0.0,0.0,0.0
20100224,0.37418875403827706,0.0,0.0,0.0,0.0,0.0
20100225,0.2835899221842699,0.0,0.0,0.0,0.0,0.0
