trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,0.0,,,,
20100107,0.0,,,,
20100108,0.0,,,,
20100111,0.0,,,,
20100112,0.0,,,,
20100113,0.0,,,,
20100114,0.0,,,,
20100115,0.0,,,,
20100118,-16.375040985683,,,,
20100119,-29.59514548455873,,,,
20100120,-40.54212608424642,,,,
20100121,-49.793306943753905,,,,
20100122,-57.18019388688851,,,,
20100125,-63.64611562325294,,,,
20100126,-69.39909295161078,,,,
20100127,-39.126896835916675,,,,
20100128,-14.268501841238917,,,,
20100129,6.182179742414183,,,,
20100201,23.193904274330986,,,,
20100202,3.4205150257616803,,,,
20100203,-12.773406266432678,,,,
20100204,-27.496632019504077,,,,
20100205,-39.46819494738698,,,,
20100208,-49.97816964836414,,,,
20100209,-58.07651153765036,,,,
20100210,-65.19657887599118,,,,
20100211,-70.74259292045373,,,,
20100212,-74.84133219280683,,,,
20100222,-77.98895638337923,,,,
20100223,-80.14752237212016,,,,
20100224,-81.82398234553733,,,,
20100225,-82.9344588564369,,,,
20100226,-84.44970549272472,,,,
20100301,-85.69692687532601,,,,
20100302,-86.24308753785692,,,,
20100303,-87.33694005797291,,,,
20100304,-54.626378160705165,,,,
20100305,-61.302303204031226,,,,
20100308,-33.68710487209821,,,,
20100309,-5.935975067626747,,,,
20100310,16.893360313010877,,,,
20100311,38.153127209799734,,,,
20100312,55.63152752765674,,,,
20100315,70.0786640187942,,,,
20100316,77.16243831450574,,,,
20100317,83.19973260955211,,,,
20100318,88.05055412497683,,,,
20100319,93.37872462473803,,,,
20100322,98.96312904122625,,,,
20100323,103.93926502734458,,,,
20100324,108.07549660294603,,,,
20100325,112.81444737363611,,,,
20100326,116.63881962843804,,,,
20100329,119.81589021506439,,,,
20100330,123.27040131321041,,,,
20100331,126.26458351161759,,,,
20100401,77.89601723343418,,,,
20100402,38.37437316590852,,,,
20100406,6.366508712933602,,,,
20100407,-19.751376356141645,,,,
20100408,-40.097822627057205,,,,
20100409,-56.37944540848551,,,,
20100412,-22.627507939236448,,,,
20100413,5.022146262767357,,,,
20100414,36.48155309361656,,,,
20100415,61.08468574477005,,,,
