Factor,Parameters,Mode,SharpRatio,POT
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",RAW,0.0473,2.4554
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",STATE_MACHINE,0.5064,13.4076
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",RAW,0.1718,11.5938
MACD,"{'fast_n': 8, 'slow_n': 17, 'signal_n': 9}",STATE_MACHINE,0.6316,23.9569
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",RAW,0.2472,20.4691
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",STATE_MACHINE,0.6449,29.6824
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",RAW,0.2932,29.3457
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",STATE_MACHINE,0.7735,43.2663
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",RAW,0.3012,38.2
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",STATE_MACHINE,0.6895,50.0368
