Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
Kurtosis,{'N': 40},1,RAW,Yes,High,0.3983,110.0968
Kurtosis,{'N': 40},1,STATE_MACHINE,Yes,High,0.3279,16.3666
Kurtosis,{'N': 30},2,RAW,Yes,High,0.3583,124.5915
Kurtosis,{'N': 30},2,STATE_MACHINE,Yes,High,0.3507,14.4138
Kurtosis,{'N': 50},3,RAW,Yes,High,0.3373,132.2734
Kurtosis,{'N': 50},3,STATE_MACHINE,Yes,High,0.3305,19.563
OvernightVsIntraday,{'N': 50},1,RAW,Yes,High,0.1851,13.9695
OvernightVsIntraday,{'N': 50},1,STATE_MACHINE,Yes,High,0.4042,18.8911
OvernightVsIntraday,{'N': 40},2,RAW,Yes,High,0.1659,11.7243
OvernightVsIntraday,{'N': 40},2,STATE_MACHINE,Yes,High,0.4301,19.2021
OvernightVsIntraday,{'N': 30},3,RAW,Yes,High,0.1073,6.8926
OvernightVsIntraday,{'N': 30},3,STATE_MACHINE,Yes,High,0.373,15.142
Skewness,{'N': 40},1,RAW,Yes,High,0.3474,62.3793
Skewness,{'N': 40},1,STATE_MACHINE,Yes,High,0.1902,7.8566
Skewness,{'N': 50},2,RAW,Yes,High,0.3369,79.2156
Skewness,{'N': 50},2,STATE_MACHINE,Yes,High,0.2551,11.3806
Skewness,{'N': 30},3,RAW,Yes,High,0.333,59.1501
Skewness,{'N': 30},3,STATE_MACHINE,Yes,High,0.197,7.3553
NoiseFader,{'N': 10},1,RAW,Yes,High,-0.3569,-6.5652
NoiseFader,{'N': 10},1,STATE_MACHINE,Yes,High,-0.4853,-12.3316
NoiseFader,{'N': 60},2,RAW,Yes,High,-0.4076,-17.3629
NoiseFader,{'N': 60},2,STATE_MACHINE,Yes,High,-0.4545,-24.0731
NoiseFader,{'N': 50},3,RAW,Yes,High,-0.5023,-20.8236
NoiseFader,{'N': 50},3,STATE_MACHINE,Yes,High,-0.5582,-29.0338
ShortTermReversal,{'N': 60},1,RAW,Yes,High,-0.1887,-18.6431
ShortTermReversal,{'N': 60},1,STATE_MACHINE,Yes,High,-0.4545,-24.0731
ShortTermReversal,{'N': 50},2,RAW,Yes,High,-0.2715,-24.8415
ShortTermReversal,{'N': 50},2,STATE_MACHINE,Yes,High,-0.5582,-29.0338
ShortTermReversal,{'N': 10},3,RAW,Yes,High,-0.3225,-18.1341
ShortTermReversal,{'N': 10},3,STATE_MACHINE,Yes,High,-0.4853,-12.3316
AmihudIlliquidity,{'N': 10},1,RAW,Yes,High,0.0337,13.8109
AmihudIlliquidity,{'N': 10},1,STATE_MACHINE,Yes,High,-0.0183,-2.1852
AmihudIlliquidity,{'N': 20},2,RAW,Yes,High,-0.089,-52.7581
AmihudIlliquidity,{'N': 20},2,STATE_MACHINE,Yes,High,-0.0804,-10.015
AmihudIlliquidity,{'N': 30},3,RAW,Yes,High,-0.1668,-64.1829
AmihudIlliquidity,{'N': 30},3,STATE_MACHINE,Yes,High,-0.0893,-11.1197
BuyingSellingPressure,{'N': 40},1,RAW,Yes,High,0.6384,31.1062
BuyingSellingPressure,{'N': 40},1,STATE_MACHINE,Yes,High,0.5469,20.8047
BuyingSellingPressure,{'N': 30},2,RAW,Yes,High,0.5908,26.3109
BuyingSellingPressure,{'N': 30},2,STATE_MACHINE,Yes,High,0.5791,20.4876
BuyingSellingPressure,{'N': 50},3,RAW,Yes,High,0.4733,24.9083
BuyingSellingPressure,{'N': 50},3,STATE_MACHINE,Yes,High,0.453,17.7338
BollingerBands,{'N': 50},1,RAW,Yes,High,0.5062,25.2417
BollingerBands,{'N': 50},1,STATE_MACHINE,Yes,High,0.5062,25.2417
BollingerBands,{'N': 60},2,RAW,Yes,High,0.505,27.154
BollingerBands,{'N': 60},2,STATE_MACHINE,Yes,High,0.505,27.154
BollingerBands,{'N': 30},3,RAW,Yes,High,0.482,18.7046
BollingerBands,{'N': 30},3,STATE_MACHINE,Yes,High,0.482,18.7046
DonchianChannel,{'N': 40},1,RAW,Yes,High,0.727,34.0741
DonchianChannel,{'N': 40},1,STATE_MACHINE,Yes,High,0.728,31.0187
DonchianChannel,{'N': 30},2,RAW,Yes,High,0.7229,30.1498
DonchianChannel,{'N': 30},2,STATE_MACHINE,Yes,High,0.725,27.239
DonchianChannel,{'N': 50},3,RAW,Yes,High,0.6812,34.5951
DonchianChannel,{'N': 50},3,STATE_MACHINE,Yes,High,0.6734,30.918
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",1,RAW,Yes,High,0.4329,35.2226
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",1,STATE_MACHINE,Yes,High,0.6963,37.7648
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",2,RAW,Yes,High,0.4164,35.9736
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",2,STATE_MACHINE,Yes,High,0.7605,40.024
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",3,RAW,Yes,High,0.346,22.803
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",3,STATE_MACHINE,Yes,High,0.7018,25.8413
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,RAW,Yes,High,0.4157,32.8686
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,STATE_MACHINE,Yes,High,0.6775,32.6496
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,RAW,Yes,High,0.2981,18.7867
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,STATE_MACHINE,Yes,High,0.4723,17.3967
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",3,RAW,Yes,High,0.2055,6.8964
MACD,"{'fast_n': 6, 'slow_n': 13, 'signal_n': 5}",3,STATE_MACHINE,Yes,High,-0.0361,-0.7244
MovingAverageBias,{'N': 40},1,RAW,Yes,High,0.4158,34.9291
MovingAverageBias,{'N': 40},1,STATE_MACHINE,Yes,High,0.76,34.6531
MovingAverageBias,{'N': 50},2,RAW,Yes,High,0.3969,35.5624
MovingAverageBias,{'N': 50},2,STATE_MACHINE,Yes,High,0.7278,35.9053
MovingAverageBias,{'N': 30},3,RAW,Yes,High,0.3963,30.1967
MovingAverageBias,{'N': 30},3,STATE_MACHINE,Yes,High,0.7577,31.0008
RSI,{'N': 20},1,RAW,Yes,High,0.6148,48.2443
RSI,{'N': 20},1,STATE_MACHINE,Yes,High,0.7658,30.9998
RSI,{'N': 30},2,RAW,Yes,High,0.5969,62.7717
RSI,{'N': 30},2,STATE_MACHINE,Yes,High,0.7735,35.9734
RSI,{'N': 10},3,RAW,Yes,High,0.5456,27.4493
RSI,{'N': 10},3,STATE_MACHINE,Yes,High,0.5321,15.6424
TimeSeriesMomentum,{'N': 30},1,RAW,Yes,High,0.4191,34.1599
TimeSeriesMomentum,{'N': 30},1,STATE_MACHINE,Yes,High,0.7731,36.0362
TimeSeriesMomentum,{'N': 40},2,RAW,Yes,High,0.3894,34.1357
TimeSeriesMomentum,{'N': 40},2,STATE_MACHINE,Yes,High,0.6927,35.3328
TimeSeriesMomentum,{'N': 20},3,RAW,Yes,High,0.37,27.5687
TimeSeriesMomentum,{'N': 20},3,STATE_MACHINE,Yes,High,0.7651,31.0135
ATR,{'N': 50},1,RAW,Yes,High,0.1864,26.9145
ATR,{'N': 50},1,STATE_MACHINE,Yes,High,0.0116,1.4211
ATR,{'N': 60},2,RAW,Yes,High,0.1842,26.4047
ATR,{'N': 60},2,STATE_MACHINE,Yes,High,0.0078,0.9654
ATR,{'N': 20},3,RAW,Yes,High,0.1763,28.9094
ATR,{'N': 20},3,STATE_MACHINE,Yes,High,0.0196,2.3946
DownsideUpsideVolatility,{'N': 20},1,RAW,Yes,High,0.4819,46.9367
DownsideUpsideVolatility,{'N': 20},1,STATE_MACHINE,Yes,High,0.5302,20.0894
DownsideUpsideVolatility,{'N': 30},2,RAW,Yes,High,0.4759,62.9903
DownsideUpsideVolatility,{'N': 30},2,STATE_MACHINE,Yes,High,0.554,24.5046
DownsideUpsideVolatility,{'N': 10},3,RAW,Yes,High,0.4391,25.5183
DownsideUpsideVolatility,{'N': 10},3,STATE_MACHINE,Yes,High,0.3647,10.1139
HistoricalVolatility,{'N': 20},1,RAW,Yes,High,0.1772,38.7365
HistoricalVolatility,{'N': 20},1,STATE_MACHINE,Yes,High,-0.0804,-10.015
HistoricalVolatility,{'N': 10},2,RAW,Yes,High,0.1603,21.6077
HistoricalVolatility,{'N': 10},2,STATE_MACHINE,Yes,High,-0.0183,-2.1852
HistoricalVolatility,{'N': 50},3,RAW,Yes,High,0.1494,21.4178
HistoricalVolatility,{'N': 50},3,STATE_MACHINE,Yes,High,-0.0787,-9.8051
IntradayAmplitude,{'N': 50},1,RAW,Yes,High,0.1997,29.2491
IntradayAmplitude,{'N': 50},1,STATE_MACHINE,Yes,High,0.0116,1.4211
IntradayAmplitude,{'N': 60},2,RAW,Yes,High,0.1942,28.2342
IntradayAmplitude,{'N': 60},2,STATE_MACHINE,Yes,High,0.0078,0.9654
IntradayAmplitude,{'N': 40},3,RAW,Yes,High,0.194,28.7139
IntradayAmplitude,{'N': 40},3,STATE_MACHINE,Yes,High,0.0083,1.0148
VIXFix,{'N': 60},1,RAW,Yes,High,-0.043,-4.7066
VIXFix,{'N': 60},1,STATE_MACHINE,Yes,High,-0.0077,-0.8976
VIXFix,{'N': 10},2,RAW,Yes,High,-0.0467,-3.5595
VIXFix,{'N': 10},2,STATE_MACHINE,Yes,High,-0.0073,-0.8602
VIXFix,{'N': 20},3,RAW,Yes,High,-0.1115,-9.9189
VIXFix,{'N': 20},3,STATE_MACHINE,Yes,High,-0.0073,-0.8616
CMF,{'N': 40},1,RAW,Yes,High,0.8121,37.3129
CMF,{'N': 40},1,STATE_MACHINE,Yes,High,0.5679,19.7
CMF,{'N': 30},2,RAW,Yes,High,0.7648,32.1126
CMF,{'N': 30},2,STATE_MACHINE,Yes,High,0.6287,20.3393
CMF,{'N': 50},3,RAW,Yes,High,0.7088,34.1783
CMF,{'N': 50},3,STATE_MACHINE,Yes,High,0.492,17.4812
OBV,{'N': 40},1,RAW,Yes,High,0.0973,9.2332
OBV,{'N': 40},1,STATE_MACHINE,Yes,High,0.237,5.6252
OBV,{'N': 20},2,RAW,Yes,High,-0.1311,-9.8174
OBV,{'N': 20},2,STATE_MACHINE,Yes,High,0.2106,3.6913
OBV,{'N': 10},3,RAW,Yes,High,-0.1657,-13.59
OBV,{'N': 10},3,STATE_MACHINE,Yes,High,0.195,2.4538
OpenInterestROC,{'N': 30},1,RAW,Yes,High,0.3479,48.5491
