Factor,Parameters,Mode,SharpRatio,POT
DonchianChannel,{'N': 10},RAW,0.4941,12.5309
DonchianChannel,{'N': 10},STATE_MACHINE,0.5241,11.4699
DonchianChannel,{'N': 20},RAW,0.5956,20.5983
DonchianChannel,{'N': 20},STATE_MACHINE,0.5838,17.8937
DonchianChannel,{'N': 30},RAW,0.7229,30.1498
DonchianChannel,{'N': 30},STATE_MACHINE,0.725,27.239
DonchianChannel,{'N': 40},RAW,0.727,34.0741
DonchianChannel,{'N': 40},STATE_MACHINE,0.728,31.0187
DonchianChannel,{'N': 50},RAW,0.6812,34.5951
DonchianChannel,{'N': 50},STATE_MACHINE,0.6734,30.918
DonchianChannel,{'N': 60},RAW,0.6132,32.7137
DonchianChannel,{'N': 60},STATE_MACHINE,0.595,28.4593
