,AL.SHF,CU.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,54.549140106455326,108.46183203711917
20100108,36.62141177876292,75.07644429952447
20100111,30.764012667351047,64.24526252416052
20100112,27.38606481352058,56.737187723555294
20100113,25.98323371025483,52.52822392729863
20100114,24.04828692927089,47.17377678590815
20100115,23.051989913322927,43.66585953795423
20100118,22.645807507563354,41.618245795413465
20100119,22.625718081162614,40.52449138370926
20100120,22.86646984372473,39.94294834706903
20100121,23.128927376136488,39.55059331541224
20100122,23.54655774659906,39.57907912788673
20100125,23.876396842392435,39.04776333574502
20100126,14.216275652896307,24.19720362142584
20100127,6.400795614507418,12.239150541762362
20100128,-0.0238081582410239,2.4579802426230786
20100129,-4.888922230420158,-4.721547883089908
20100201,-8.884167445486103,-10.14456494292813
20100202,-12.184960376196052,-14.574878186092706
20100203,-14.994970639166317,-18.278200532846324
20100204,-17.520192445604707,-20.93483723486454
20100205,-19.60658787562209,-22.753603783918063
20100208,-21.340380171080337,-23.901985158648216
20100209,-23.711635230768,-25.074742999433266
20100210,-25.535259614594104,-25.888657795199627
20100211,-28.04980006679465,-26.40133150741039
20100212,-30.246830722685797,-26.85721924901343
20100222,-31.88434949783776,-27.075758189065656
20100223,-33.1506967846992,-26.69327845572025
20100224,-34.20140025632777,-26.422361231420176
20100225,-35.20948582374077,-26.20280041577507
20100226,-36.05053034350589,-26.021921633464725
20100301,-37.13561414690267,-26.005383729527807
20100302,-38.05055580865869,-16.936353246281104
20100303,-38.69033883896667,-9.618522932420497
20100304,-39.13653836917667,-3.6397209586669046
20100305,-41.675728299256,1.47175356198206
20100308,-55.51515610104462,10.716771447557036
20100309,-67.02386885469119,18.53075747715677
20100310,-75.93345386422652,24.883176548576696
20100311,-62.31045920774969,30.39376194540054
20100312,-51.1714487678212,35.36226986512746
20100315,-42.07605729729634,40.83924236020596
20100316,-34.617491990999596,33.32367601873827
20100317,-28.52097205415299,38.63604206193906
20100318,-23.535341378155145,43.135118528732804
20100319,-19.451414529136315,46.718467373129165
20100322,-16.111040238845163,49.77956595095265
20100323,-13.379303951945616,54.13286301062456
20100324,-36.10482603329869,57.702925903864546
20100325,-55.37738084667617,60.81892914664114
20100326,-70.70643552521794,63.42412013470252
20100329,-82.211796661208,65.34297354038833
20100330,-91.9243012823017,68.62761834481796
20100331,-102.53609290996488,73.0656263959408
20100401,-111.84424967241671,76.60442873257955
20100402,-119.15523502993517,79.20895956730119
20100406,-97.70833725630021,81.29511734543644
20100407,-51.18830182138371,83.31554318918253
20100408,-12.367384375531202,85.0810163170078
20100409,-10.348554951097636,85.78552789189848
20100412,-8.700519271401838,87.43711508969187
20100413,20.51045850868827,88.77750143253269
20100414,47.19866549923965,91.24340977695854
20100415,68.8338434173469,93.30890780426554
20100416,87.21111708303918,96.62406063310709
20100419,103.36125161704528,99.85379252698331
20100420,84.3725523634569,81.5696202152182
