strategyFile,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_0.8_ZC_0.2_T_5_VOL_20_trend.csv,0.15277843262109972,-40.235811975439205,1253,16.025920677072502,3.600709534736331
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_0.8_ZC_0.4_T_10_VOL_20_trend.csv,0.2540129715025371,-36.879749395928926,960,16.088052528123978,6.282041950074009
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_0.8_ZC_0.4_T_1_VOL_20_trend.csv,0.21802324794426048,-38.795165749609154,918,14.587150515614102,5.0293598055334465
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_0.8_ZC_0.4_T_5_VOL_20_trend.csv,0.23678907889880105,-38.405598256265186,916,15.291304927467245,5.6076505647806165
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_1.0_ZC_0.2_T_10_VOL_20_trend.csv,0.20615383771292145,-40.496385664272694,929,16.81645028829883,5.248851239237576
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_1.0_ZC_0.2_T_1_VOL_20_trend.csv,0.17063795988921018,-34.90093883359312,916,15.522611758891346,4.118964377261269
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_1.0_ZC_0.2_T_5_VOL_20_trend.csv,0.18767400393596897,-38.90553072490276,931,16.215215772226514,4.64404423846836
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_1.0_ZC_0.4_T_10_VOL_20_trend.csv,0.29833238174292653,-30.660340437366955,1461,16.22803168758677,7.697506219044863
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_1.0_ZC_0.4_T_1_VOL_20_trend.csv,0.24260727517250738,-33.317195734491406,1531,14.781010971486065,5.90640164929691
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_40_ATR_15_SLP_5_ZO_1.0_ZC_0.4_T_5_VOL_20_trend.csv,0.2884812170606136,-33.17805089981169,1495,15.470281503496691,7.189643616880619
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.6_ZC_0.2_T_10_VOL_20_trend.csv,0.3537911435193969,-33.6208779944088,914,17.611544718264213,8.87522060427609
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.6_ZC_0.2_T_1_VOL_20_trend.csv,0.32565745262534024,-35.35559458361594,1177,16.28709849283255,7.545928362921863
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.6_ZC_0.2_T_5_VOL_20_trend.csv,0.33487902871805914,-34.08611790332226,913,16.955649971781188,8.009240124436099
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.6_ZC_0.4_T_10_VOL_20_trend.csv,0.3103048962935972,-31.953975707470548,914,17.212727068388755,7.891176381631207
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.6_ZC_0.4_T_1_VOL_20_trend.csv,0.2893881171375622,-30.363197425589092,808,15.489768046602553,6.718194269642742
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.6_ZC_0.4_T_5_VOL_20_trend.csv,0.2893850022040032,-34.56118281342094,1177,16.2896923945293,6.947397527126278
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.8_ZC_0.2_T_10_VOL_20_trend.csv,0.3654040176917606,-34.43323653173269,914,17.760508670397744,9.43005790710732
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.8_ZC_0.2_T_1_VOL_20_trend.csv,0.31718422575784244,-36.43208912146561,1213,16.594673269734503,7.746762797055676
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.8_ZC_0.2_T_5_VOL_20_trend.csv,0.3267932700231013,-35.36389266682974,1143,17.176103513366513,8.140809903376086
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.8_ZC_0.4_T_10_VOL_20_trend.csv,0.31196134638665224,-32.06104174878894,915,17.27156068944957,8.130509396494125
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.8_ZC_0.4_T_1_VOL_20_trend.csv,0.2838788771998377,-32.01407125971498,1177,15.850141794011483,6.9644439551110295
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_0.8_ZC_0.4_T_5_VOL_20_trend.csv,0.2814174879050452,-35.578549010253134,1176,16.457842616518136,7.021325340623349
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_1.0_ZC_0.2_T_10_VOL_20_trend.csv,0.39673868854098576,-34.15036764184222,774,17.931052093475024,10.598370144516048
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_1.0_ZC_0.2_T_1_VOL_20_trend.csv,0.3177086464232447,-37.25546328546629,1215,16.690235699347156,8.069161703207945
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_1.0_ZC_0.2_T_5_VOL_20_trend.csv,0.34671728832705173,-35.456853985404564,774,17.33713595638167,8.988564977193155
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_1.0_ZC_0.4_T_10_VOL_20_trend.csv,0.3408775544348127,-30.68845227440734,774,17.387586614951115,9.18470911887233
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_1.0_ZC_0.4_T_1_VOL_20_trend.csv,0.2753216821975247,-34.91080477182416,1498,15.959258972471373,7.037066210337362
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_10_S_50_ATR_15_SLP_5_ZO_1.0_ZC_0.4_T_5_VOL_20_trend.csv,0.29673298056000136,-37.5686502180219,1460,16.590876719038423,7.701470102839745
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_8_S_30_ATR_15_SLP_5_ZO_0.6_ZC_0.2_T_10_VOL_20_trend.csv,-0.04388154768395235,-46.33419120334777,2158,14.67175944604062,-0.9124608846294672
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_8_S_30_ATR_15_SLP_5_ZO_0.6_ZC_0.2_T_1_VOL_20_trend.csv,0.013580127623769657,-48.66144278793211,2492,13.266752286584524,0.25644707619120677
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_8_S_30_ATR_15_SLP_5_ZO_0.6_ZC_0.2_T_5_VOL_20_trend.csv,-0.05798561550187438,-53.32009530301667,2158,13.873635703319778,-1.1279805515498165
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_8_S_30_ATR_15_SLP_5_ZO_0.6_ZC_0.4_T_10_VOL_20_trend.csv,0.07768189204190716,-43.41866534490737,1549,14.02916047997604,1.6582841306735476
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_8_S_30_ATR_15_SLP_5_ZO_0.6_ZC_0.4_T_1_VOL_20_trend.csv,0.155283407820871,-38.26573329005684,1608,12.248480506192463,2.962531501194108
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_8_S_30_ATR_15_SLP_5_ZO_0.6_ZC_0.4_T_5_VOL_20_trend.csv,0.0879512408196545,-42.702424294915886,2492,13.072940122699832,1.7409222912325364
MovingAverageV4_1_Agriculture_fast_slow_gap_over_atr_F_8_S_30_ATR_15_SLP_5_ZO_0.8_ZC_0.2_T_10_VOL_20_trend.csv,-0.04697177484178816,-49.070521726036525,2158,14.75612382633823,-1.0058663535846863
