strategyFile,strategy_name,window,z_open,z_close,max_hold,zscore_method,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV3_3_mean_reversion_M_10_ZO_1.4_ZC_0.2_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.4,0.2,15,price_ratio_over_vol,-0.18680435554432742,-104.96735100055847,3845,8.836688495432133,-2.6424984933455944
MovingAverageV3_3_mean_reversion_M_10_ZO_1.4_ZC_0.4_H_10_price_ratio_over_vol.csv,mean_reversion,10,1.4,0.4,10,price_ratio_over_vol,-0.20271874750126806,-104.24541291255453,3845,6.238044349452312,-2.5186293370209656
MovingAverageV3_3_mean_reversion_M_10_ZO_1.6_ZC_0.4_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.6,0.4,15,price_ratio_over_vol,-0.2148912328622618,-114.67158803004162,3850,6.941213112201195,-2.891448930600843
MovingAverageV3_3_mean_reversion_M_10_ZO_1.6_ZC_0.4_H_10_price_ratio_over_vol.csv,mean_reversion,10,1.6,0.4,10,price_ratio_over_vol,-0.21489174443352946,-107.0281788902007,3845,6.267182255946301,-2.8385916825684117
MovingAverageV3_3_mean_reversion_M_10_ZO_1.6_ZC_0.2_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.6,0.2,15,price_ratio_over_vol,-0.21612779716606836,-101.29785866449586,3849,8.786917655148697,-3.2836546551121453
MovingAverageV3_3_mean_reversion_M_10_ZO_1.4_ZC_0.4_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.4,0.4,15,price_ratio_over_vol,-0.22740375450671563,-119.7101738206843,3850,6.867486241155028,-2.8389033961730057
MovingAverageV3_3_mean_reversion_M_10_ZO_1.6_ZC_0.0_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.6,0.0,15,price_ratio_over_vol,-0.24785646264335348,-112.8774065618805,3850,12.662798982188292,-4.9030276725931685
MovingAverageV3_3_mean_reversion_M_10_ZO_1.8_ZC_0.4_H_10_price_ratio_over_vol.csv,mean_reversion,10,1.8,0.4,10,price_ratio_over_vol,-0.252043325198502,-107.75860965348252,3606,6.277619258128041,-3.5091035620952384
MovingAverageV3_3_mean_reversion_M_10_ZO_1.8_ZC_0.0_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.8,0.0,5,price_ratio_over_vol,-0.26057248128036226,-91.81237580099607,3606,5.338846588218152,-3.3241018168198027
MovingAverageV3_3_mean_reversion_M_10_ZO_1.8_ZC_0.4_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.8,0.4,5,price_ratio_over_vol,-0.2634114233548428,-94.29519469925441,3559,4.831697564521994,-3.2556869708598994
MovingAverageV3_3_mean_reversion_M_10_ZO_1.8_ZC_0.0_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.8,0.0,15,price_ratio_over_vol,-0.2681103176468594,-116.38981336580011,3850,12.358369892700468,-5.50176639692145
MovingAverageV3_3_mean_reversion_M_10_ZO_1.6_ZC_0.0_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.6,0.0,5,price_ratio_over_vol,-0.2695654519892242,-88.12628636124641,3606,5.588202004061389,-3.3478219454224596
MovingAverageV3_3_mean_reversion_M_10_ZO_1.4_ZC_0.0_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.4,0.0,5,price_ratio_over_vol,-0.2726135845384348,-94.81777762039673,3848,5.890373585490624,-3.298734757448473
MovingAverageV3_3_mean_reversion_M_10_ZO_1.8_ZC_0.4_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.8,0.4,15,price_ratio_over_vol,-0.2782618940799186,-126.75131009263688,3608,7.032194283258116,-4.025817560775393
MovingAverageV3_3_mean_reversion_M_10_ZO_1.8_ZC_0.2_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.8,0.2,15,price_ratio_over_vol,-0.2820654099931221,-118.9288941752687,3605,8.78101512480282,-4.5317373936323975
MovingAverageV3_3_mean_reversion_M_10_ZO_1.6_ZC_0.4_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.6,0.4,5,price_ratio_over_vol,-0.28449018669309495,-97.62878652899137,3849,4.968206477067238,-3.386460629231239
MovingAverageV3_3_mean_reversion_M_15_ZO_1.8_ZC_0.2_H_15_price_ratio_over_vol.csv,mean_reversion,15,1.8,0.2,15,price_ratio_over_vol,-0.28523356667902444,-134.2165192999295,3850,10.015544291576152,-5.223393361789678
MovingAverageV3_3_mean_reversion_M_10_ZO_1.8_ZC_0.0_H_10_price_ratio_over_vol.csv,mean_reversion,10,1.8,0.0,10,price_ratio_over_vol,-0.2874230887023886,-113.81182500151583,3850,8.788898450946645,-4.717508388968299
MovingAverageV3_3_mean_reversion_M_10_ZO_1.4_ZC_0.4_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.4,0.4,5,price_ratio_over_vol,-0.287762361855333,-104.68280531675563,3849,5.115806607185918,-3.2865755230240143
MovingAverageV3_3_mean_reversion_M_10_ZO_1.8_ZC_0.2_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.8,0.2,5,price_ratio_over_vol,-0.2971932370051909,-99.36629217298234,3849,5.076412686839226,-3.7345014684456457
MovingAverageV3_3_mean_reversion_M_15_ZO_1.6_ZC_0.2_H_15_price_ratio_over_vol.csv,mean_reversion,15,1.6,0.2,15,price_ratio_over_vol,-0.31249213014977173,-141.06801661457698,3850,10.033063890030597,-5.511552758447662
MovingAverageV3_3_mean_reversion_M_10_ZO_1.6_ZC_0.2_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.6,0.2,5,price_ratio_over_vol,-0.31281940412513376,-100.06765350155753,3849,5.264661056258699,-3.8058854816984806
MovingAverageV3_3_mean_reversion_M_10_ZO_1.4_ZC_0.2_H_5_price_ratio_over_vol.csv,mean_reversion,10,1.4,0.2,5,price_ratio_over_vol,-0.3202817002844041,-105.013675785132,3849,5.483270578871643,-3.76367186421239
MovingAverageV3_3_mean_reversion_M_10_ZO_1.4_ZC_0.0_H_15_price_ratio_over_vol.csv,mean_reversion,10,1.4,0.0,15,price_ratio_over_vol,-0.32046370536398944,-125.46875682979632,3850,13.085360371609816,-6.3269045935737935
