strategyFile,zscore_method,window,z_open,z_close,max_hold,signal_mode,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.6_H_25_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.6,25,trend,0.5720549393859564,-32.549563341709245,875,7.934157105030891,14.952533236888033
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.6_H_30_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.6,30,trend,0.5656464919803516,-33.32253161416659,875,7.971352785145887,14.844641620863444
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.6_H_20_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.6,20,trend,0.5618717380815703,-35.15852446276688,875,7.814931650893795,14.469507632075649
MovingAverageV3_2_M_20_ZO_2.0_ZC_0.0_H_10_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,20,2.0,0.0,10,trend,0.5497978017621579,-38.903093179972444,875,9.92809403088269,15.007249577394125
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.8_H_25_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.8,25,trend,0.549483425678703,-36.90709375067274,875,7.102497398543183,13.759915728692677
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.6_H_15_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.6,15,trend,0.5489914746404676,-33.709561022549025,875,7.539962023131366,14.03129750795338
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.8_H_30_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.8,30,trend,0.5456262348731649,-37.180328936970426,875,7.119555786916536,13.697984457781565
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.8_H_20_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.8,20,trend,0.5448198051957642,-37.22939088882205,875,7.044214162348877,13.520016695366357
MovingAverageV3_2_M_40_ZO_1.2_ZC_0.4_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,40,1.2,0.4,5,trend,0.5416521879418124,-40.40785774178042,875,10.741228302988482,13.10479025241782
MovingAverageV3_2_M_25_ZO_2.0_ZC_0.0_H_10_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,25,2.0,0.0,10,trend,0.5412178874402828,-38.23028932607848,875,10.87961841308298,15.620968681317569
MovingAverageV3_2_M_15_ZO_1.8_ZC_0.6_H_15_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,1.8,0.6,15,trend,0.5397064177204872,-30.965415629474734,875,7.386350574712642,12.329033103766472
MovingAverageV3_2_M_25_ZO_2.0_ZC_0.8_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,25,2.0,0.8,5,trend,0.5388725701195475,-31.73821599004374,875,6.942258967862383,12.150801416770348
MovingAverageV3_2_M_20_ZO_1.6_ZC_0.2_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,20,1.6,0.2,5,trend,0.5375179981857074,-35.77403116526331,875,6.938712096860602,10.418712076431138
MovingAverageV3_2_M_20_ZO_2.0_ZC_0.2_H_10_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,20,2.0,0.2,10,trend,0.5367827287342748,-39.03010719905028,875,9.225516760857785,14.382154636285728
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.8_H_15_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.8,15,trend,0.5358836639544118,-36.64145258819329,875,6.879548949256791,13.082834678117285
MovingAverageV3_2_M_20_ZO_1.4_ZC_0.6_H_20_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,20,1.4,0.6,20,trend,0.5352761960713254,-36.82715958401684,875,8.606837140832017,11.296737942996856
MovingAverageV3_2_M_40_ZO_1.2_ZC_0.8_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,40,1.2,0.8,5,trend,0.5332227874103354,-41.34762878907918,875,9.592052188636021,11.944714149712949
MovingAverageV3_2_M_20_ZO_2.0_ZC_0.2_H_15_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,20,2.0,0.2,15,trend,0.5328811110078797,-38.06118059887035,875,10.929393518896418,15.447952042851187
MovingAverageV3_2_M_40_ZO_1.8_ZC_0.4_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,40,1.8,0.4,5,trend,0.5316770150631294,-34.33148113454445,875,9.815533363017618,13.988898988282168
MovingAverageV3_2_M_40_ZO_2.0_ZC_0.2_H_30_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,40,2.0,0.2,30,trend,0.5316557590923476,-36.63804535202367,859,17.339800443458977,20.533091901566827
MovingAverageV3_2_M_40_ZO_1.2_ZC_0.2_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,40,1.2,0.2,5,trend,0.5316018293719459,-40.16717716123857,875,11.051623602418019,13.003506921368938
MovingAverageV3_2_M_15_ZO_2.0_ZC_0.6_H_10_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,2.0,0.6,10,trend,0.5303627482466416,-37.73620264099338,875,6.860738255033557,12.708689350576389
MovingAverageV3_2_M_40_ZO_1.2_ZC_0.6_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,40,1.2,0.6,5,trend,0.5279649672822071,-40.681209291254106,875,10.276463262764628,12.40586797645339
MovingAverageV3_2_M_20_ZO_1.4_ZC_0.6_H_10_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,20,1.4,0.6,10,trend,0.527957159566943,-37.536371682467006,875,8.017990690863448,10.690833602789848
MovingAverageV3_2_M_15_ZO_1.8_ZC_0.6_H_30_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,1.8,0.6,30,trend,0.5276076571983985,-31.38591686751289,875,7.752022356228857,12.327799691844811
MovingAverageV3_2_M_15_ZO_1.8_ZC_0.6_H_20_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,15,1.8,0.6,20,trend,0.5264075998646889,-35.01770493507017,875,7.634491822429908,12.161227374529219
MovingAverageV3_2_M_20_ZO_1.6_ZC_0.4_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,20,1.6,0.4,5,trend,0.5262196639045782,-35.217134173212074,875,6.78843063738618,10.116452729808438
MovingAverageV3_2_M_20_ZO_1.4_ZC_0.2_H_5_trend_price_minus_ma_over_atr.csv,price_minus_ma_over_atr,20,1.4,0.2,5,trend,0.5258100220353028,-40.36048072446917,875,7.230555289153163,9.737619421623867
