sector,strategyFile,window,z_open,z_close,max_hold,signal_mode,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.8_ZC_0.2_H_15_trend.csv,50,1.8,0.2,15,trend,0.39157473140706806,-34.13799040318047,1533,12.576312576312578,13.503689925107977
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_2.0_ZC_0.6_H_30_trend.csv,40,2.0,0.6,30,trend,0.38818283685468064,-31.62746388906308,1147,13.012875536480689,14.640894808566342
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.0_H_20_trend.csv,45,1.6,0.0,20,trend,0.38406052394241913,-30.301231809341203,915,17.245800671892496,13.632265135960091
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.2_H_20_trend.csv,45,1.6,0.2,20,trend,0.38290028552406363,-26.64240501166113,917,14.45486391808138,13.086464610208795
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.4_H_5_trend.csv,50,1.2,0.4,5,trend,0.378724465468045,-28.024895266229674,1426,9.447936786654964,8.689509413371391
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.4_ZC_0.0_H_5_trend.csv,45,1.4,0.0,5,trend,0.3772569510167474,-31.414307625890743,1291,8.26060166727075,8.169659287317277
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.6_H_5_trend.csv,50,1.2,0.6,5,trend,0.37686521901336556,-29.223686371741316,1427,9.131519667302028,8.484367407611117
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.8_ZC_0.6_H_15_trend.csv,50,1.8,0.6,15,trend,0.3751984029197853,-36.5893335086356,1712,11.300000000000002,12.536050615447884
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.8_ZC_0.4_H_15_trend.csv,50,1.8,0.4,15,trend,0.37472575033468614,-36.44597089496737,1712,11.955703883495145,12.848396346722087
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_1.8_ZC_0.6_H_30_trend.csv,40,1.8,0.6,30,trend,0.37337493832061097,-33.1105426611182,1147,12.64946114577425,12.80003538325625
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.8_H_5_trend.csv,50,1.2,0.8,5,trend,0.3726416270171933,-32.17218064478605,1427,8.575517763933323,8.09493147217688
Agriculture,MovingAverageV3_1_sector_Agriculture_M_10_ZO_1.2_ZC_0.0_H_15_trend.csv,10,1.2,0.0,15,trend,0.37255227921105716,-38.97991936727934,1812,14.043505874880914,7.852890444837052
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_2.0_ZC_0.8_H_30_trend.csv,50,2.0,0.8,30,trend,0.3721278660391792,-33.459223866309344,1328,12.92888888888889,14.992771046760947
