strategyFile,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV1_M_20_N_10_T_10.csv,0.3981523982959545,-51.6525096409632,933,13.277955053106613,9.658403646211811
MovingAverageV1_M_20_N_10_T_15.csv,0.3973337958526416,-42.344147481960235,940,14.329688853731119,11.129576655347076
MovingAverageV1_M_20_N_10_T_20.csv,0.33270843194379257,-39.562203281555135,1038,15.656766894176968,10.84059363962299
MovingAverageV1_M_20_N_10_T_5.csv,0.36951907218215696,-61.69261188456085,875,13.213429303499137,8.25289304008197
MovingAverageV1_M_20_N_15_T_10.csv,0.4179891407700034,-37.10010172474085,1132,13.218851930020405,10.248228119701011
MovingAverageV1_M_20_N_15_T_15.csv,0.3781803188119825,-35.475711165698854,940,14.201623181264713,10.608799679797343
MovingAverageV1_M_20_N_15_T_20.csv,0.34781438320008234,-40.96414089014148,1009,15.65220271028079,11.299109420236729
MovingAverageV1_M_20_N_15_T_5.csv,0.42090082273783197,-51.52191054216243,940,12.397106785410578,8.884901634270129
MovingAverageV1_M_20_N_5_T_10.csv,0.4135238375579283,-54.87885845078492,875,13.271403271659596,10.24329865208709
MovingAverageV1_M_20_N_5_T_15.csv,0.44225700900229603,-45.50691236752358,924,14.26584659225838,12.465254481140828
MovingAverageV1_M_20_N_5_T_20.csv,0.39364607692251175,-41.05822179319796,931,15.656918014274492,12.86158929340893
MovingAverageV1_M_20_N_5_T_5.csv,0.43543333191744205,-52.00181068827514,875,12.468297169457166,9.394605734748522
MovingAverageV1_M_30_N_10_T_10.csv,0.4534072329090299,-37.412642679615104,921,17.013392797173672,13.970912286841639
MovingAverageV1_M_30_N_10_T_15.csv,0.4528931218016997,-37.12222409058622,926,17.486855675314963,15.095507953029953
MovingAverageV1_M_30_N_10_T_20.csv,0.4504093567614143,-42.44890422361119,963,18.1842841429722,16.28456804028648
MovingAverageV1_M_30_N_10_T_5.csv,0.3974865573400504,-46.44112958216438,875,16.922141942343476,11.448622812179524
MovingAverageV1_M_30_N_15_T_10.csv,0.4415368201229751,-37.296192088052564,931,17.181743498579184,13.647319609690602
MovingAverageV1_M_30_N_15_T_15.csv,0.42743868711888533,-41.93829123846261,914,17.440107267578572,14.103120487744146
MovingAverageV1_M_30_N_15_T_20.csv,0.45364585133285495,-44.445223870438014,805,18.224450177306494,16.259668162134336
MovingAverageV1_M_30_N_15_T_5.csv,0.47978386301959647,-39.679685623037884,924,17.387532133676086,14.149268797452399
MovingAverageV1_M_30_N_20_T_10.csv,0.353706896480008,-40.69120062802234,914,16.939977228584816,10.865675484164296
MovingAverageV1_M_30_N_20_T_15.csv,0.37406801099307935,-46.46247350418045,965,17.451206800586952,12.409665025456208
MovingAverageV1_M_30_N_20_T_20.csv,0.4299461190688962,-47.120479564201005,794,18.215415966349973,15.438498891746313
MovingAverageV1_M_30_N_20_T_5.csv,0.4282654783127326,-36.6615225881537,922,16.88765914351853,12.32189857895161
MovingAverageV1_M_30_N_5_T_10.csv,0.49291023489146746,-39.5648091622501,875,16.53071239820956,15.037204341850062
MovingAverageV1_M_30_N_5_T_15.csv,0.5045893883957029,-36.76071209510775,869,17.409871066705353,17.050808749370464
MovingAverageV1_M_30_N_5_T_20.csv,0.49078805774953915,-36.732120736707586,862,18.128873481701024,17.974378246557396
MovingAverageV1_M_30_N_5_T_5.csv,0.4420918936374348,-44.534488402946636,875,15.300727386318004,11.696965409650375
MovingAverageV1_M_40_N_10_T_10.csv,0.49815392112110324,-36.85269065814826,856,19.69423671802265,17.795953180051985
MovingAverageV1_M_40_N_10_T_15.csv,0.4952839345456996,-38.54073681980786,819,20.230392102612917,18.87312211943569
MovingAverageV1_M_40_N_10_T_20.csv,0.4794176341276538,-41.08020530379595,783,20.75388894989202,19.246594185606423
MovingAverageV1_M_40_N_10_T_5.csv,0.49648249295903674,-41.58693877758854,875,19.488738306219307,16.675386778028624
MovingAverageV1_M_40_N_15_T_10.csv,0.5147323105324052,-37.0283335386848,856,20.311714137118745,18.749715590839394
MovingAverageV1_M_40_N_15_T_15.csv,0.5047705159545072,-41.507335412290544,777,20.449463953193696,19.12616779166554
MovingAverageV1_M_40_N_15_T_20.csv,0.5059085547425959,-41.71149826692491,785,20.777715616032925,19.953817816872263
MovingAverageV1_M_40_N_15_T_5.csv,0.5418351990230876,-34.60971838848772,853,20.37563018029564,18.92669130532043
