strategyFile,cross_section_method,window,z_open,z_close,max_hold,signal_mode,zscore_method,vol_window,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_15_mean_reversion_VW_30_rank.csv,rank,15,1.2,0.2,15,mean_reversion,price_ratio_over_vol,30,-0.800088553104412,-214.80854605290378,3844,5.866324190269562,-5.977128953642689
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_15_mean_reversion_VW_30_zscore.csv,zscore,15,1.2,0.2,15,mean_reversion,price_ratio_over_vol,30,-0.8704806875694522,-227.82720593785717,3844,4.579669412013261,-5.212146244903833
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_trend_VW_10_rank.csv,rank,15,1.2,0.2,20,trend,price_ratio_over_vol,10,0.5100245262801391,-50.735765343987154,1238,5.907027520996523,3.6539903547185646
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_trend_VW_10_zscore.csv,zscore,15,1.2,0.2,20,trend,price_ratio_over_vol,10,0.5304435590360702,-57.826883185299025,1238,4.642315863780913,3.0341555997196696
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_trend_VW_20_rank.csv,rank,15,1.2,0.2,20,trend,price_ratio_over_vol,20,0.5282940593147706,-44.895631191758824,1238,6.148810728384774,3.9573868943916573
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_trend_VW_20_zscore.csv,zscore,15,1.2,0.2,20,trend,price_ratio_over_vol,20,0.5392604641275094,-51.745149522290674,1238,4.737531071276625,3.1613444436091314
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_trend_VW_30_rank.csv,rank,15,1.2,0.2,20,trend,price_ratio_over_vol,30,0.5317085076552716,-45.79038733779062,1238,6.187955598539205,3.9986377531174013
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_trend_VW_30_zscore.csv,zscore,15,1.2,0.2,20,trend,price_ratio_over_vol,30,0.5673734491042284,-52.430732652993356,1238,4.751092931947214,3.3278612132411807
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_mean_reversion_VW_10_rank.csv,rank,15,1.2,0.2,20,mean_reversion,price_ratio_over_vol,10,-0.5100245262801391,-147.86534464755567,3845,5.907027520996523,-3.6539903547185655
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_mean_reversion_VW_10_zscore.csv,zscore,15,1.2,0.2,20,mean_reversion,price_ratio_over_vol,10,-0.5304435590360702,-160.0247318031293,3874,4.642315863780913,-3.0341555997196696
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_mean_reversion_VW_20_rank.csv,rank,15,1.2,0.2,20,mean_reversion,price_ratio_over_vol,20,-0.5282940593147704,-152.8461004503413,3845,6.148810728384775,-3.957386894391656
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_mean_reversion_VW_20_zscore.csv,zscore,15,1.2,0.2,20,mean_reversion,price_ratio_over_vol,20,-0.5392604641275094,-162.3989988638338,3874,4.737531071276625,-3.1613444436091314
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_mean_reversion_VW_30_rank.csv,rank,15,1.2,0.2,20,mean_reversion,price_ratio_over_vol,30,-0.5317085076552716,-149.09509164826105,3845,6.187955598539205,-3.9986377531174013
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.2_H_20_mean_reversion_VW_30_zscore.csv,zscore,15,1.2,0.2,20,mean_reversion,price_ratio_over_vol,30,-0.5673734491042284,-158.06772851322765,3874,4.751092931947214,-3.3278612132411807
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_trend_VW_10_rank.csv,rank,15,1.2,0.4,10,trend,price_ratio_over_vol,10,0.7323872890071796,-29.359878302143017,1185,4.926522541523418,4.8474817189781465
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_trend_VW_10_zscore.csv,zscore,15,1.2,0.4,10,trend,price_ratio_over_vol,10,0.7937416366285547,-32.02764894858771,1031,4.386481474457435,4.786518050836906
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_trend_VW_20_rank.csv,rank,15,1.2,0.4,10,trend,price_ratio_over_vol,20,0.7351150648374598,-26.561548312957882,1004,5.056834886614418,5.013369587331954
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_trend_VW_20_zscore.csv,zscore,15,1.2,0.4,10,trend,price_ratio_over_vol,20,0.7983921523122967,-30.391189179861982,996,4.457916808020462,4.910566386471287
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_trend_VW_30_rank.csv,rank,15,1.2,0.4,10,trend,price_ratio_over_vol,30,0.7597969313679589,-28.47390240180141,1013,5.0919885232255995,5.222634453038099
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_trend_VW_30_zscore.csv,zscore,15,1.2,0.4,10,trend,price_ratio_over_vol,30,0.8306374219762199,-32.46946257935829,1004,4.474435241945275,5.1291476199979575
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_mean_reversion_VW_10_rank.csv,rank,15,1.2,0.4,10,mean_reversion,price_ratio_over_vol,10,-0.7323872890071798,-197.68267158762706,3845,4.9265225415234175,-4.8474817189781465
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_mean_reversion_VW_10_zscore.csv,zscore,15,1.2,0.4,10,mean_reversion,price_ratio_over_vol,10,-0.7937416366285547,-210.3571104425878,3845,4.386481474457435,-4.786518050836906
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_mean_reversion_VW_20_rank.csv,rank,15,1.2,0.4,10,mean_reversion,price_ratio_over_vol,20,-0.7351150648374599,-206.15749775664494,3845,5.056834886614418,-5.013369587331955
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_mean_reversion_VW_20_zscore.csv,zscore,15,1.2,0.4,10,mean_reversion,price_ratio_over_vol,20,-0.7983921523122967,-219.61962011347944,3845,4.457916808020462,-4.910566386471287
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_mean_reversion_VW_30_rank.csv,rank,15,1.2,0.4,10,mean_reversion,price_ratio_over_vol,30,-0.7597969313679588,-201.4137219859674,3845,5.0919885232255995,-5.222634453038099
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_10_mean_reversion_VW_30_zscore.csv,zscore,15,1.2,0.4,10,mean_reversion,price_ratio_over_vol,30,-0.8306374219762199,-216.54071214969852,3845,4.474435241945275,-5.1291476199979575
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_trend_VW_10_rank.csv,rank,15,1.2,0.4,15,trend,price_ratio_over_vol,10,0.8428994361491295,-24.676454392286786,1228,5.072725439983056,5.595114374493746
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_trend_VW_10_zscore.csv,zscore,15,1.2,0.4,15,trend,price_ratio_over_vol,10,0.8659566697388791,-34.74464874625872,1249,4.460112133202974,5.180833371152916
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_trend_VW_20_rank.csv,rank,15,1.2,0.4,15,trend,price_ratio_over_vol,20,0.8428792995463354,-21.917151487225965,817,5.226645287817328,5.7841260601353115
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_trend_VW_20_zscore.csv,zscore,15,1.2,0.4,15,trend,price_ratio_over_vol,20,0.8628534409963489,-31.12734117267067,828,4.543281965712303,5.274993790676364
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_trend_VW_30_rank.csv,rank,15,1.2,0.4,15,trend,price_ratio_over_vol,30,0.8822952148950873,-23.43893669735772,828,5.267750777823588,6.107722166453363
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_trend_VW_30_zscore.csv,zscore,15,1.2,0.4,15,trend,price_ratio_over_vol,30,0.9082176838305521,-32.689084097468736,895,4.561837875968991,5.57521271232984
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_mean_reversion_VW_10_rank.csv,rank,15,1.2,0.4,15,mean_reversion,price_ratio_over_vol,10,-0.84289943614913,-224.99467284778694,3844,5.0727254399830555,-5.595114374493748
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_mean_reversion_VW_10_zscore.csv,zscore,15,1.2,0.4,15,mean_reversion,price_ratio_over_vol,10,-0.8659566697388791,-230.47510285310065,3844,4.460112133202974,-5.180833371152916
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_mean_reversion_VW_20_rank.csv,rank,15,1.2,0.4,15,mean_reversion,price_ratio_over_vol,20,-0.8428792995463356,-233.39562170500696,3844,5.226645287817328,-5.7841260601353115
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_mean_reversion_VW_20_zscore.csv,zscore,15,1.2,0.4,15,mean_reversion,price_ratio_over_vol,20,-0.8628534409963489,-238.39577984265722,3844,4.543281965712303,-5.274993790676364
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_mean_reversion_VW_30_rank.csv,rank,15,1.2,0.4,15,mean_reversion,price_ratio_over_vol,30,-0.8822952148950873,-231.84929837316733,3844,5.267750777823588,-6.107722166453363
MovingAverageV3_7_M_15_ZO_1.2_ZC_0.4_H_15_mean_reversion_VW_30_zscore.csv,zscore,15,1.2,0.4,15,mean_reversion,price_ratio_over_vol,30,-0.9082176838305521,-238.08646999123107,3844,4.561837875968991,-5.57521271232984
