strategyFile,window,z_open,z_close,min_hold,max_hold,cooldown_days,signal_mode,zscore_method,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV3_4_M_25_ZO_1.6_ZC_0.4_MINH_5_H_20_CD_5_trend.csv,25,1.6,0.4,5,20,5,trend,price_ratio_over_vol,0.6056814822630264,-46.80538165772015,875,10.513711648112954,11.493258239402781
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.0_MINH_3_H_15_CD_5_trend.csv,30,1.2,0.0,3,15,5,trend,price_ratio_over_vol,0.6053459536011557,-56.158685443915985,875,10.989133233764226,10.990807287466449
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.0_MINH_5_H_15_CD_5_trend.csv,30,1.2,0.0,5,15,5,trend,price_ratio_over_vol,0.6053459536011557,-56.158685443915985,875,10.989133233764226,10.990807287466449
MovingAverageV3_4_M_30_ZO_1.8_ZC_0.6_MINH_5_H_20_CD_5_trend.csv,30,1.8,0.6,5,20,5,trend,price_ratio_over_vol,0.6033717705082607,-40.9112555863701,875,10.227176692983429,12.313065851043943
MovingAverageV3_4_M_30_ZO_1.8_ZC_0.0_MINH_3_H_20_CD_5_trend.csv,30,1.8,0.0,3,20,5,trend,price_ratio_over_vol,0.5958317985236935,-38.48110301591454,875,13.78645468998411,14.06644266842379
MovingAverageV3_4_M_30_ZO_1.8_ZC_0.0_MINH_5_H_20_CD_5_trend.csv,30,1.8,0.0,5,20,5,trend,price_ratio_over_vol,0.5958317985236935,-38.48110301591454,875,13.78645468998411,14.06644266842379
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.0_MINH_3_H_20_CD_3_trend.csv,30,1.2,0.0,3,20,3,trend,price_ratio_over_vol,0.5938381230699392,-36.00537094884885,810,13.811821471652594,12.547273353690697
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.0_MINH_5_H_20_CD_3_trend.csv,30,1.2,0.0,5,20,3,trend,price_ratio_over_vol,0.5938381230699392,-36.00537094884885,810,13.811821471652594,12.547273353690697
MovingAverageV3_4_M_25_ZO_1.8_ZC_0.0_MINH_3_H_20_CD_3_trend.csv,25,1.8,0.0,3,20,3,trend,price_ratio_over_vol,0.5916781842003171,-46.43510696162329,875,13.833194626084888,13.44218909796478
MovingAverageV3_4_M_25_ZO_1.8_ZC_0.0_MINH_5_H_20_CD_3_trend.csv,25,1.8,0.0,5,20,3,trend,price_ratio_over_vol,0.5916781842003171,-46.43510696162329,875,13.833194626084888,13.44218909796478
MovingAverageV3_4_M_25_ZO_2.0_ZC_0.0_MINH_3_H_20_CD_3_trend.csv,25,2.0,0.0,3,20,3,trend,price_ratio_over_vol,0.5912953431486198,-40.548419426209364,875,13.80289819476851,13.851253004669443
MovingAverageV3_4_M_25_ZO_2.0_ZC_0.0_MINH_5_H_20_CD_3_trend.csv,25,2.0,0.0,5,20,3,trend,price_ratio_over_vol,0.5912953431486198,-40.548419426209364,875,13.80289819476851,13.851253004669443
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.0_MINH_3_H_15_CD_3_trend.csv,30,1.2,0.0,3,15,3,trend,price_ratio_over_vol,0.5900802187312627,-47.97903923978154,875,10.95892311962254,10.765749847719258
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.0_MINH_5_H_15_CD_3_trend.csv,30,1.2,0.0,5,15,3,trend,price_ratio_over_vol,0.5900802187312627,-47.97903923978154,875,10.95892311962254,10.765749847719258
MovingAverageV3_4_M_25_ZO_1.2_ZC_0.2_MINH_3_H_20_CD_5_trend.csv,25,1.2,0.2,3,20,5,trend,price_ratio_over_vol,0.5876791399401362,-46.4944257575077,875,11.076794045185304,10.779847450650578
MovingAverageV3_4_M_25_ZO_1.6_ZC_0.2_MINH_5_H_20_CD_5_trend.csv,25,1.6,0.2,5,20,5,trend,price_ratio_over_vol,0.5850447291782362,-50.5522919990773,875,11.626040360278182,11.576266111137139
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.4_MINH_3_H_20_CD_3_trend.csv,30,1.2,0.4,3,20,3,trend,price_ratio_over_vol,0.5834788279542247,-41.52059117281652,875,9.889106443574224,10.060854185257387
MovingAverageV3_4_M_20_ZO_1.4_ZC_0.6_MINH_3_H_20_CD_3_trend.csv,20,1.4,0.6,3,20,3,trend,price_ratio_over_vol,0.58266826655273,-37.35914511652902,875,8.426280126940561,9.24029880187228
MovingAverageV3_4_M_25_ZO_1.4_ZC_0.4_MINH_5_H_20_CD_5_trend.csv,25,1.4,0.4,5,20,5,trend,price_ratio_over_vol,0.5819328872934946,-45.09938513937735,875,10.402150088717251,10.469987345478366
MovingAverageV3_4_M_20_ZO_1.4_ZC_0.8_MINH_3_H_20_CD_5_trend.csv,20,1.4,0.8,3,20,5,trend,price_ratio_over_vol,0.5812066410300704,-38.821177049506474,875,7.769417142857142,9.325780301518224
MovingAverageV3_4_M_20_ZO_1.4_ZC_0.6_MINH_3_H_20_CD_5_trend.csv,20,1.4,0.6,3,20,5,trend,price_ratio_over_vol,0.5785262855639827,-42.97124127998657,875,8.52230996099325,9.51168270821367
MovingAverageV3_4_M_30_ZO_1.6_ZC_0.6_MINH_5_H_20_CD_5_trend.csv,30,1.6,0.6,5,20,5,trend,price_ratio_over_vol,0.5779472966487235,-42.23594395585009,875,10.10081801763519,11.16819655878132
MovingAverageV3_4_M_20_ZO_1.8_ZC_0.8_MINH_3_H_20_CD_1_trend.csv,20,1.8,0.8,3,20,1,trend,price_ratio_over_vol,0.573173730421329,-43.91615448911742,875,8.027005489640516,9.936747391860212
