factor,sector,zscore,No zscore,State Machine,parameters
RSI,NonFerrous,0.5944,0.7182,0.678,N=40
RSI,Precious,0.5288,0.6742,0.65,N=40
ATR,Agriculture,0.0374,-0.0638,-0.0472,N=40
ATR,Energy,0.401,0.1668,0.3909,N=10
ATR,Ferrous,0.251,0.2889,0.14,N=60
ATR,NonFerrous,0.2454,0.3647,0.2845,N=60
ATR,Precious,-0.0452,-0.0848,-0.1668,N=60
HistoricalVolatility,Agriculture,0.3801,0.2093,0.4657,N=10
HistoricalVolatility,Energy,0.1768,0.0033,0.0423,N=10
HistoricalVolatility,Ferrous,0.2008,0.1183,0.1242,N=60
HistoricalVolatility,NonFerrous,0.3078,0.3283,0.2884,N=60
HistoricalVolatility,Precious,-0.1363,-0.1537,0.0093,N=60
IntradayAmplitude,Agriculture,0.1479,-0.0025,-0.0811,N=40
IntradayAmplitude,Energy,0.438,0.1823,0.3714,N=10
IntradayAmplitude,Ferrous,0.1674,0.1008,0.1531,N=10
IntradayAmplitude,NonFerrous,0.3266,0.3762,0.3154,N=60
IntradayAmplitude,Precious,-0.1305,-0.117,-0.0282,N=10
DownsideUpsideVolatility,Agriculture,0.4364,0.4192,0.4196,N=40
DownsideUpsideVolatility,Energy,0.562,0.4675,0.4823,N=40
DownsideUpsideVolatility,Ferrous,0.7366,0.8782,0.8184,N=20
DownsideUpsideVolatility,NonFerrous,0.5314,0.662,0.5939,N=40
DownsideUpsideVolatility,Precious,0.5687,0.668,0.6075,N=40
VolumeMomentum,Agriculture,-0.3397,0.1105,-0.1536,N=40
VolumeMomentum,Energy,-0.187,0.1936,0.1934,N=5
VolumeMomentum,Ferrous,-0.3196,0.3847,0.0272,N=60
VolumeMomentum,NonFerrous,0.0814,0.0993,-0.0465,N=5
VolumeMomentum,Precious,0.4223,0.5721,0.365,N=60
PriceVolumeCorrelation,Agriculture,0.2113,0.1897,0.3787,N=60
PriceVolumeCorrelation,Energy,0.2744,0.1374,0.0436,N=10
PriceVolumeCorrelation,Ferrous,0.6073,0.609,0.371,N=40
PriceVolumeCorrelation,NonFerrous,0.4377,0.4502,0.4267,N=40
PriceVolumeCorrelation,Precious,0.4191,0.3712,0.3178,N=20
OBV,Agriculture,-0.0508,0.309,0.2184,N=10
OBV,Energy,0.2515,0.0314,0.2441,N=10
OBV,Ferrous,0.0585,0.2885,0.1072,N=5
OBV,NonFerrous,-0.2617,0.2895,-0.1134,N=10
OBV,Precious,-0.378,0.1386,-0.0109,N=20
OpenInterestROC,Agriculture,0.0,0.0,-0.5185,N=5
OpenInterestROC,Energy,0.0,0.0,-0.4526,N=5
OpenInterestROC,Ferrous,0.0,0.0,-0.4351,N=5
OpenInterestROC,NonFerrous,-0.3237,-0.0819,-0.1001,N=20
OpenInterestROC,Precious,0.6335,0.5614,0.4825,N=60
Skewness,Agriculture,0.1277,0.0989,0.1171,N=40
Skewness,Energy,0.1019,0.3779,0.1539,N=40
Skewness,Ferrous,0.3456,0.3009,0.1764,N=40
Skewness,NonFerrous,0.2218,0.3372,0.2242,N=40
Skewness,Precious,0.693,0.6447,0.4205,N=10
Kurtosis,Agriculture,-0.2097,-0.0225,0.1007,N=40
Kurtosis,Energy,0.0315,0.3869,0.3651,N=40
Kurtosis,Ferrous,-0.0764,0.3217,0.0832,N=60
Kurtosis,NonFerrous,0.4254,0.0674,-0.1511,N=10
Kurtosis,Precious,0.4371,0.0772,-0.5458,N=60
OvernightVsIntraday,Agriculture,0.158,0.2145,0.051,N=60
OvernightVsIntraday,Energy,0.0441,0.0168,0.4184,N=40
OvernightVsIntraday,Ferrous,0.8434,0.7589,0.9395,N=20
OvernightVsIntraday,NonFerrous,0.1858,0.3392,0.5067,N=20
OvernightVsIntraday,Precious,0.3215,0.2913,0.2024,N=40
AmihudIlliquidity,Agriculture,0.1091,0.1256,0.1583,N=5
AmihudIlliquidity,Energy,-0.3064,-0.2852,-0.3627,N=60
AmihudIlliquidity,Ferrous,0.2055,0.3731,0.1568,N=40
AmihudIlliquidity,NonFerrous,-0.0555,-0.0764,-0.0179,N=10
AmihudIlliquidity,Precious,0.4552,0.4891,0.3145,N=60
BuyingSellingPressure,Agriculture,0.3347,0.6,0.4829,N=40
BuyingSellingPressure,Energy,0.5561,0.552,0.4041,N=40
BuyingSellingPressure,Ferrous,0.57,0.7785,0.6453,N=20
BuyingSellingPressure,NonFerrous,0.4835,0.6091,0.6063,N=40
BuyingSellingPressure,Precious,0.3347,0.676,0.8503,N=40
