,RB.SHF,HC.SHF,SS.SHF,JM.DCE,J.DCE,I.DCE,SF.ZCE,SM.ZCE
20100318,4.023233307954666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100319,6.250040226041355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100322,8.782055070961045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100323,11.565288547317166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100324,14.407184370099872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100325,17.225611028194482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100326,20.1405783399502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100329,22.91613664219658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100330,25.56146536935559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100331,28.030772962787903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100401,30.094440992221408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100402,31.86030640504145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100406,33.22772705715209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100407,34.262985786180295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100408,35.194645902882726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100409,35.76476152670982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100412,35.94234310717166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100413,36.01662827605536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100414,35.97468531016353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100415,37.07226031734628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100416,37.843169143413654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100419,38.67440609114946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100420,38.40296693541308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100421,37.85315526113412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100422,37.044469002770235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100423,36.22031744191102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100426,35.24888136379022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100427,34.07279304496646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100428,32.51879402011746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100429,29.206768536555614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100430,25.97117762271766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100504,22.50261922459014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100505,20.039743435185756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100506,17.719270722397447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100507,15.454177187296455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100510,13.081865838388305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100511,10.674792456459906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100512,8.175223579616079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100513,5.699000900167673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100514,3.4257036770619025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100517,1.0951182602510985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100518,-1.1355364148950484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100519,-3.587147272265474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100520,-6.206380552511273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100521,-8.807578973270521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100524,-11.242564534765942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100525,-13.240865647283368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100526,-14.958670125753537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100527,-16.313383950672755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100528,-17.37322587622789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100531,-18.06257651518148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100601,-18.66826866975798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100602,-18.99308131095344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100603,-19.024675957567712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100604,-18.87776812747546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100607,-18.631008455974722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100608,-18.395965118418975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100609,-18.117659822031897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100610,-17.789661519820747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100611,-17.381205717702734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100617,-16.905901671593735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100618,-16.62332272771439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100621,-16.21393672321558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100622,-15.604085008370314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100623,-14.961126199002425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100624,-14.199811436958349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100625,-13.649834604671774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100628,-13.072349978321618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100629,-12.494407124746887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100630,-11.930595610392837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100701,-11.431661827254059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100702,-10.667745277982995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100705,-9.936805807732213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100706,-9.372342750422053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100707,-8.867398516968404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100708,-8.392416213695038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100709,-8.091018089945878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100712,-7.7783887814092925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100713,-7.45355921297467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100714,-7.0622647912554175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100715,-6.61681171115562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100716,-6.053461583442166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100719,-5.361660530456858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100720,-4.422547434168511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100721,-3.1577251924455463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100722,-1.4910920529986533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100723,0.7969995456336119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100726,3.412878172447356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100727,6.5787055376717145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100728,9.870150701125407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100729,13.220420910203178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100730,16.83614022780716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100802,20.401102249575594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100803,23.93687597311772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100804,27.281922663415894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100805,30.283902046518467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100806,32.909805099233466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100809,35.10073914970234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100810,36.524281658861256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100811,37.67134482379605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100812,38.60861284864004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100813,38.63837718480783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100816,38.38765515188306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100817,37.91544899168044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100818,37.25466075663096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100819,36.360131028299534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100820,35.288508735258766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100823,33.9986412422468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100824,32.54624354701905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100825,31.101588992139185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100826,29.722558272598274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100827,28.66735601158717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100830,27.88771466286785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100831,26.85726810305343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100901,25.774252754864495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100902,24.725189125301593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100903,23.759808889183187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100906,22.986759488121727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100907,21.82525131775871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100908,20.77630179637795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100909,19.740677811180973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100910,18.78574441993126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100913,17.681326553262537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100914,16.728701432152334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100915,15.72533926751113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100916,14.729345629086225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100917,13.642016297582444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100920,12.536295894764796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100921,12.062318088558897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100927,11.389759287965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100928,10.555502565409139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100929,9.700236107364269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100930,8.746298441944784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101008,7.724298100736782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101011,6.714361501819372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101012,5.722417630116494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101013,4.767294685576702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101014,3.825528293688694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101015,2.8139141687031457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101018,1.8265514125308722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101019,0.9082094226385312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101020,-0.07734822695080575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101021,-1.222676886446275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101022,-2.534782058028549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101025,-4.12407686672735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101026,-5.51132860077575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101027,-7.00879257142072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101028,-8.577121929742907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101029,-10.10708195937066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101101,-11.73127127994801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101102,-13.322257563484731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101103,-14.723628010357281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101104,-15.820375317177282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101105,-16.41306121925259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101108,-16.079870881502107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101109,-15.60133707538579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101110,-14.276533332509324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101111,-12.545809121448578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101112,-10.452360773472087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101115,-8.310246565086464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101116,-6.144228202252776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101117,-4.039413147347324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101118,-2.173169904788631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101119,-0.6394818277051089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101122,0.3003438144656855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101123,0.8958433466902431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101124,0.7280577894773773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101125,0.34309189651946265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101126,-0.2996139226931384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101129,-0.8430931319585778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101130,-1.3911731080777339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101201,-1.9593429947453243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101202,-2.315381011820548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101203,-2.588333242978616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101206,-2.7826106913167177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101207,-2.9026649596623306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101208,-2.8639960563324722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101209,-2.9094361246220846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101210,-2.9835470304763128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101213,-3.076370441017235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101214,-2.99166381957704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101215,-2.6968877327115726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101216,-2.3103579659648203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101217,-1.8514736885206589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101220,-1.290368621998565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101221,-0.5940753881076142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101222,0.3097457962482845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101223,1.4025514264791725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101224,2.3680814336206746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101227,3.143470369332778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101228,3.214939450761957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101229,2.654814655904648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101230,1.6830029401395508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101231,0.5169747440798235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110104,-0.8561241730701794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110105,-2.3769242938533637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110106,-4.489288226287906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110107,-7.161846612814231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110110,-10.049611704057163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110111,-12.543073882195205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110112,-14.736034750997273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110113,-16.440381811303464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110114,-17.79925975196757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110117,-18.528064969644443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110118,-18.8561171795163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110119,-19.023486964345455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110120,-18.625861794512396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110121,-17.923219100435666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110124,-16.624227215611167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110125,-15.169073200788748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110126,-13.30469263109574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110127,-11.635160009596405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110128,-10.62654842545878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110131,-10.767308676203617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110201,-10.65743122031803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110209,-10.132604306272917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110210,-9.445943847305283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110211,-7.446300824788915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110214,-4.972209476290026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110215,-2.4356899970513024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110216,0.20532386714010584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110217,1.9600544140579368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110218,2.1988103635963956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110221,0.7376093312686992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110222,-2.56395259450706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110223,-7.636343166294751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110224,-13.927019081012764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110225,-21.961514312538515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110228,-31.121885358084384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110301,-40.226201081481236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110302,-49.164256127876605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110303,-56.674183172410245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110304,-61.749423248836145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110307,-64.20042096242338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110308,-65.50022660963836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110309,-65.39600627110707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110310,-64.26417381257731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110311,-62.71223159139004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110314,-60.66145318374167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110315,-57.886543195857406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110316,-55.0726277531842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110317,-52.08359573116256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110318,-49.317950478226436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110321,-46.59521426032208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110322,-43.57875024765937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110323,-40.74916219675683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110324,-37.784250922778114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110325,-34.63369914769695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110328,-31.437081609831576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110329,-29.168302548117804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110330,-27.21559387430694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110331,-25.617160520940107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110401,-23.95249818979139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110406,-22.40283982158945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110407,-20.74561066002878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110408,-18.995547781944456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110411,-17.41138527190839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110412,-15.826280921056847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110413,-14.224162936271886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110414,-12.702218699307599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110415,-11.198141760196686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110418,-9.793335523234237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110419,-8.45457460768898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110420,-7.250983006876399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110421,-6.370476912654592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110422,-5.538174019868957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110425,-4.794650489452276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110426,-4.016033281144416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110427,-3.2485037525754668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110428,-2.4894084653401003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110429,-1.7136084338262878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110503,-0.8333062908800828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110504,0.1880009446819122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110505,1.3950129979505217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110506,2.8874163047044172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110509,4.002128739763618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110510,5.008041969991195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110511,5.923295874767645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110512,6.693289371818575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110513,7.2779047754216775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110516,7.740132267706291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110517,8.135082511066782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110518,8.388168351578747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110519,8.586401314716795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110520,8.626694488610507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110523,9.057092088865568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110524,9.41738139082375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110525,9.746012930475846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110526,10.133000087651459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110527,10.640185724234637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20110530,11.193571360426635,0.0,0.0,0.0,11.128230239097139,0.0,0.0,0.0
20110531,11.764467826973206,0.0,0.0,0.0,9.98721009164629,0.0,0.0,0.0
20110601,12.441921907950585,0.0,0.0,0.0,8.826856067882396,0.0,0.0,0.0
20110602,13.071173085028281,0.0,0.0,0.0,7.528003707291666,0.0,0.0,0.0
20110603,13.643958578635202,0.0,0.0,0.0,5.75594681410678,0.0,0.0,0.0
