,CU.SHF,AL.SHF,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20100104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100106,180.47923569315475,90.76913905310575,240.78768194525335,0.0,0.0,0.0,0.0,0.0
20100107,129.97659972156384,63.649563727297114,213.5326898493641,0.0,0.0,0.0,0.0,0.0
20100108,113.34851909795839,54.66364955346976,164.9268224783024,0.0,0.0,0.0,0.0,0.0
20100111,102.25693005167342,49.53020721986275,137.83336428532076,0.0,0.0,0.0,0.0,0.0
20100112,95.8081825006747,47.11191117382201,122.1417339059634,0.0,0.0,0.0,0.0,0.0
20100113,88.69067052896476,44.399854456082984,94.8555894610492,0.0,0.0,0.0,0.0,0.0
20100114,83.7737332685317,42.79072893322898,75.04817569513652,0.0,0.0,0.0,0.0,0.0
20100115,80.51240100608915,41.86531210860089,59.81785865309082,0.0,0.0,0.0,0.0,0.0
20100118,78.33179964050198,41.383467812935386,47.70860617436577,0.0,0.0,0.0,0.0,0.0
20100119,76.78117101650497,41.200729165493954,38.07246001552236,0.0,0.0,0.0,0.0,0.0
20100120,65.06012191640316,36.142549669036875,8.920492808631668,0.0,0.0,0.0,0.0,0.0
20100121,63.71762255768194,36.68599468479398,-15.005091210002538,0.0,0.0,0.0,0.0,0.0
20100122,61.84384549196411,37.214573141724216,-26.367176772921976,0.0,0.0,0.0,0.0,0.0
20100125,61.22051053347144,38.13687167977206,-36.7479310182298,0.0,0.0,0.0,0.0,0.0
20100126,47.84105611756473,38.82755862828199,-47.33382218258857,0.0,0.0,0.0,0.0,0.0
20100127,35.9766554942619,31.166043618426404,-47.946818225760474,0.0,0.0,0.0,0.0,0.0
20100128,24.60458938631542,23.542873465359268,-47.98767397697332,0.0,0.0,0.0,0.0,0.0
20100129,13.22149433564852,15.632908189739448,-47.48080900502125,0.0,0.0,0.0,0.0,0.0
20100201,1.479712917746197,7.44758028811732,-46.85075715353605,0.0,0.0,0.0,0.0,0.0
20100202,-10.556089120765199,-1.0608199337772966,-46.362777518076854,0.0,0.0,0.0,0.0,0.0
20100203,-22.319822692418455,-9.851596000958729,-45.07433432433889,0.0,0.0,0.0,0.0,0.0
20100204,-34.052639436980705,-18.849735816677374,-43.5334059870652,0.0,0.0,0.0,0.0,0.0
20100205,-45.014860205864764,-27.881060009815645,-42.66997752622262,0.0,0.0,0.0,0.0,0.0
20100208,-56.33161283778992,-37.91994408192845,-41.83435351983921,0.0,0.0,0.0,0.0,0.0
20100209,-54.86584000114432,-47.958003450534285,-41.0214912515268,0.0,0.0,0.0,0.0,0.0
20100210,-53.08624531920658,-49.918298918063336,-40.17759731273968,0.0,0.0,0.0,0.0,0.0
20100211,-51.94991619866022,-52.27797062236816,-39.58776046483923,0.0,0.0,0.0,0.0,0.0
20100212,-51.00341854204085,-54.43299056448477,-39.181877732950056,0.0,0.0,0.0,0.0,0.0
20100222,-49.506707222514834,-56.46156472072611,-38.535938382716495,0.0,0.0,0.0,0.0,0.0
20100223,-47.94784784741684,-58.38427134730981,-37.87736572539576,0.0,0.0,0.0,0.0,0.0
20100224,-46.707097874400176,-60.22406288085368,-37.782092244677806,0.0,0.0,0.0,0.0,0.0
20100225,-45.77402396897285,-62.04965151863488,-37.71806597727332,0.0,0.0,0.0,0.0,0.0
20100226,-45.26216437632641,-64.2065949565439,-37.94305708616663,0.0,0.0,0.0,0.0,0.0
20100301,-44.183910519737104,-65.51875794842651,-37.937244266034526,0.0,0.0,0.0,0.0,0.0
20100302,-43.1446249717426,-66.83183058509107,-37.92547618745941,0.0,0.0,0.0,0.0,0.0
