,AU.SHF,AG.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,20.125942473545603,0.0
20100108,24.095313838686394,0.0
20100111,25.756274416387026,0.0
20100112,26.171081670008434,0.0
20100113,26.972246450863786,0.0
20100114,26.87742323036446,0.0
20100115,27.08616233602512,0.0
20100118,27.458113493003854,0.0
20100119,27.937486263336382,0.0
20100120,28.492831048624655,0.0
20100121,29.967202921564827,0.0
20100122,30.681169411506097,0.0
20100125,31.2000965273058,0.0
20100126,31.973423594037076,0.0
20100127,32.55150310038594,0.0
20100128,26.203947681610227,0.0
20100129,19.593909546623127,0.0
20100201,12.732904616520297,0.0
20100202,5.597709235652644,0.0
20100203,-1.9731537259396064,0.0
20100204,-9.630733823752415,0.0
20100205,-17.308245694291653,0.0
20100208,-24.274431650125123,0.0
20100209,-31.809795821278858,0.0
20100210,-39.37559213192521,0.0
20100211,-39.893945396632446,0.0
20100212,-40.420085938410715,0.0
20100222,-40.796264587505924,0.0
20100223,-40.65641675102099,0.0
20100224,-40.25061494834557,0.0
20100225,-39.87101652035059,0.0
20100226,-39.51448686262095,0.0
20100301,-39.825039737250165,0.0
20100302,-39.67261036396702,0.0
20100303,-39.62052680029723,0.0
20100304,-39.16749149126181,0.0
20100305,-31.03971026024945,0.0
20100308,-22.922816526780355,0.0
20100309,-15.217280512053117,0.0
20100310,-7.441408484387354,0.0
20100311,0.3536079318362178,0.0
20100312,8.086045518936343,0.0
20100315,17.14964665281287,0.0
20100316,26.128696564453566,0.0
20100317,35.17145182187714,0.0
20100318,43.87812307030707,0.0
20100319,44.91304582386784,0.0
20100322,45.9289705389589,0.0
20100323,47.41349013988536,0.0
20100324,48.844049026468014,0.0
20100325,50.32608331933741,0.0
20100326,40.826166213695515,0.0
20100329,29.667757482365474,0.0
20100330,18.698857312035766,0.0
20100331,7.720175075984487,0.0
20100401,-3.811110709233933,0.0
20100402,-15.245786654020053,0.0
20100406,-26.51223793734069,0.0
20100407,-25.516306679385718,0.0
20100408,-24.176241368567524,0.0
20100409,-22.93431046572704,0.0
20100412,-10.060736900111555,0.0
20100413,3.112262305835331,0.0
20100414,16.17955315656911,0.0
20100415,29.290072629753784,0.0
20100416,43.95171895444367,0.0
20100419,58.84636138797703,0.0
20100420,72.19493889090548,0.0
20100421,73.5889149903992,0.0
20100422,74.57406138731857,0.0
20100423,75.61498666770336,0.0
20100426,76.35622784744191,0.0
20100427,76.48662638759197,0.0
20100428,76.68458194380732,0.0
20100429,76.62419049503268,0.0
20100430,75.91517088125698,0.0
20100504,74.90475810396697,0.0
20100505,75.3666460067223,0.0
20100506,74.89234804947782,0.0
20100507,74.60329697764963,0.0
20100510,72.86438517350805,0.0
20100511,70.75209230967054,0.0
20100512,69.21722019059973,0.0
20100513,67.44685227249306,0.0
20100514,65.89950705518298,0.0
20100517,64.21362154677045,0.0
20100518,62.586340365694724,0.0
20100519,60.970056982961516,0.0
