,A.DCE,B.DCE,M.DCE,Y.DCE,P.DCE,C.DCE,CS.DCE,JD.DCE,LH.DCE,CF.ZCE,SR.ZCE,OI.ZCE,RM.ZCE,CY.ZCE,AP.ZCE,UR.ZCE
20100319,96.09127872625793,98.13454942848603,69.42445917239682,189.3089019333809,142.57474829388633,208.20895439958312,0.0,0.0,0.0,154.52481251703776,41.4473636081174,0.0,0.0,0.0,0.0,0.0
20100322,106.76517879000521,119.8943277338988,76.5527063661876,197.39347376442385,143.70340953212627,257.96367504958477,0.0,0.0,0.0,160.845834696079,29.68768413632036,0.0,0.0,0.0,0.0,0.0
20100323,119.5757799032755,142.11356021825387,85.74469196474867,205.9154153087828,144.13627556526788,311.42355503649867,0.0,0.0,0.0,164.81834331304873,17.10374087359984,0.0,0.0,0.0,0.0,0.0
20100324,132.17498782543998,165.57737485090948,94.82680312102733,212.40094768727795,142.7001571657266,361.81989239866533,0.0,0.0,0.0,168.74913314185272,4.591008919625186,0.0,0.0,0.0,0.0,0.0
20100325,144.57882418278814,190.13788143044985,104.34345440847657,219.42255713312312,141.8784940442493,409.29609805934444,0.0,0.0,0.0,173.34683851927232,-4.93443727279058,0.0,0.0,0.0,0.0,0.0
20100326,157.64767984333966,208.9913199544999,115.14848444957283,226.4262610073096,141.45990956673228,455.925272318473,0.0,0.0,0.0,179.58289854503377,-12.300640783049205,0.0,0.0,0.0,0.0,0.0
20100329,174.73969955301214,224.05401324354165,127.75581947019298,233.45094455035093,141.6202249423192,492.4576763982388,0.0,0.0,0.0,183.81437605741255,-17.02949005020304,0.0,0.0,0.0,0.0,0.0
20100330,192.1109790619408,239.5553591877271,141.65194173731211,239.1217807167105,142.6072862927508,521.5996653510214,0.0,0.0,0.0,187.65015070271866,-20.096560031764092,0.0,0.0,0.0,0.0,0.0
20100331,209.2897663147975,253.72445711293904,155.4617404389423,246.56211038826274,144.23901594329178,542.0382409708488,0.0,0.0,0.0,190.80656826588682,-21.870578843519752,0.0,0.0,0.0,0.0,0.0
20100401,232.05543735170687,264.5643157784251,169.91644099180442,258.4329820180068,146.90440586743804,562.334596678387,0.0,0.0,0.0,193.9751611522296,-23.706192504043756,0.0,0.0,0.0,0.0,0.0
20100402,253.49969562460487,275.71133335910065,183.36246995595718,273.04339022131387,154.01172460857862,579.334806023596,0.0,0.0,0.0,196.16248854989857,-24.74479966610657,0.0,0.0,0.0,0.0,0.0
20100406,273.13989421372025,285.69217355627654,195.68539520644285,286.4536634367479,159.4540730376832,589.707430694224,0.0,0.0,0.0,194.38418164655224,-25.510409633129235,0.0,0.0,0.0,0.0,0.0
20100407,289.62963293477395,293.10941583509543,205.48100754105795,293.08389547952993,163.21008305103675,589.4927224342259,0.0,0.0,0.0,194.76982182487606,-24.728064369741702,0.0,0.0,0.0,0.0,0.0
20100408,305.55494415115993,299.3179318450098,214.3694153509999,298.54674207608355,168.1948143334373,571.4127491005754,0.0,0.0,0.0,194.9841662658031,-22.369513885158703,0.0,0.0,0.0,0.0,0.0
20100409,321.1339792302992,304.6772120018055,222.24203001331315,303.86167528081216,176.72012373840283,547.5080277768691,0.0,0.0,0.0,194.0393798151729,-18.537135009823146,0.0,0.0,0.0,0.0,0.0
20100412,343.89160071057177,314.2471531749492,232.30539368329877,312.99874759458544,187.96138302854985,515.1797540716084,0.0,0.0,0.0,190.55606399300666,-13.214693134530046,0.0,0.0,0.0,0.0,0.0
20100413,363.70235179686074,328.0985718115552,240.92276435898026,320.5416266995192,200.2728042392742,484.251377549141,0.0,0.0,0.0,187.38704833524596,-6.366348741552558,0.0,0.0,0.0,0.0,0.0
20100414,390.01147115431235,341.5271363428293,252.29738046684824,328.44433230883294,212.6006230550789,451.17395674170166,0.0,0.0,0.0,183.56054289579717,2.0729489454035805,0.0,0.0,0.0,0.0,0.0
20100415,412.5218175434974,355.10951404563286,262.5831771772745,333.5097877081829,225.32760025884937,417.07741708414153,0.0,0.0,0.0,179.43301724764237,11.182208728953643,0.0,0.0,0.0,0.0,0.0
20100416,428.71882087420283,365.6901402606054,271.0071056890869,336.7529773427744,238.60203674902837,378.20645860252506,0.0,0.0,0.0,174.59599365367237,22.017691393466134,0.0,0.0,0.0,0.0,0.0
20100419,439.6122761024649,368.4586923357956,281.5536633011482,328.86674853441434,240.54789166542804,339.12865554823946,0.0,0.0,0.0,171.7084007654649,31.04165473187179,0.0,0.0,0.0,0.0,0.0
20100420,446.9261210942901,366.71187932730953,288.29029917799846,318.5799634371025,241.392544861368,299.9691407139427,0.0,0.0,0.0,166.4706891475765,39.76544715921328,0.0,0.0,0.0,0.0,0.0
20100421,452.6184606889718,365.04681876974917,294.1734556583862,311.88008037716554,242.28776084704265,265.062487898409,0.0,0.0,0.0,158.98425038850766,49.025420174176155,0.0,0.0,0.0,0.0,0.0
20100422,457.6266971784422,361.7943479560275,300.7300697851964,303.4985988879043,240.7282531843285,247.06611731502852,0.0,0.0,0.0,151.12614764551415,58.253719633613855,0.0,0.0,0.0,0.0,0.0
20100423,460.7582957497589,356.72228939992675,305.606449642333,292.525136306998,234.25362768659124,232.93959895158088,0.0,0.0,0.0,144.05604956998656,66.31896368788728,0.0,0.0,0.0,0.0,0.0
20100426,456.1217866842665,353.9943589205785,308.3695909123848,278.5174181025734,225.67173339668994,221.1445578183841,0.0,0.0,0.0,137.79088321471224,71.29042259638808,0.0,0.0,0.0,0.0,0.0
20100427,447.9986259214652,351.22945529155675,310.09155780014964,264.71317629889694,216.09813368508162,212.37253198144543,0.0,0.0,0.0,132.0155282109377,73.06732313555003,0.0,0.0,0.0,0.0,0.0
20100428,430.0929898379729,344.9497693952349,304.9648658278012,250.0166205997226,203.45340625003166,203.91397613351157,0.0,0.0,0.0,126.92326161413662,72.02313365724443,0.0,0.0,0.0,0.0,0.0
20100429,412.36966630160043,335.6400877205726,299.04968072781776,234.47036105185376,188.89749394200908,195.16439021455602,0.0,0.0,0.0,122.49172297811171,68.385943167308,0.0,0.0,0.0,0.0,0.0
20100430,391.1839164682094,324.74949215732795,295.0765280644058,215.47305356387545,172.35885644303818,186.29226135996555,0.0,0.0,0.0,118.85812107842374,62.20610008392073,0.0,0.0,0.0,0.0,0.0
20100504,372.25587338742866,317.9808045264743,285.9818049620262,203.5029768773868,161.7028238386759,176.2103143082822,0.0,0.0,0.0,114.31852266036972,54.198081358533045,0.0,0.0,0.0,0.0,0.0
20100505,350.8388346614146,312.9661638146388,279.33339993207153,191.87479372655275,151.2869924337147,165.90904361606528,0.0,0.0,0.0,110.63132265968306,43.14925316089724,0.0,0.0,0.0,0.0,0.0
20100506,327.6384914864376,303.2722228790678,268.4442484452213,180.71257390438524,141.26053513322634,154.7927256847187,0.0,0.0,0.0,106.61833571889409,28.03707595008246,0.0,0.0,0.0,0.0,0.0
20100507,300.009472626767,285.70985060432355,253.82122536809553,166.13501367547806,127.61231770353307,145.54483283015873,0.0,0.0,0.0,100.62816319815198,9.22690222281399,0.0,0.0,0.0,0.0,0.0
20100510,271.7228981063352,266.92949474208024,238.61490729387387,151.04592440728774,113.28626628244835,136.65696264435152,0.0,0.0,0.0,93.52364390040762,-10.03989311287666,0.0,0.0,0.0,0.0,0.0
20100511,242.28797806969746,244.47540901347148,221.59974404094964,134.20530669145506,96.72310339012989,129.2701668070377,0.0,0.0,0.0,84.88573442321484,-29.84708713140076,0.0,0.0,0.0,0.0,0.0
20100512,214.4289505991666,219.27012947261557,204.49932400560058,116.64658152418224,78.2596848469021,122.02765648578819,0.0,0.0,0.0,74.98853891936614,-47.91395449736587,0.0,0.0,0.0,0.0,0.0
20100513,188.39933589921566,195.43610680330744,189.36711521427918,99.73578481231488,60.660653159194155,115.64093491544324,0.0,0.0,0.0,64.46658274440298,-64.2569671967448,0.0,0.0,0.0,0.0,0.0
20100514,163.04298203647335,171.77899498527768,173.84488144421067,82.75493474996685,41.35090887769071,110.23966390834705,0.0,0.0,0.0,52.81162179737517,-78.88767293904687,0.0,0.0,0.0,0.0,0.0
20100517,137.4138356157135,145.98673050854595,154.36953868198538,64.16016949673893,18.94840309552498,105.29263531461197,0.0,0.0,0.0,39.955049024307534,-92.9586175043673,0.0,0.0,0.0,0.0,0.0
20100518,112.73974172130306,119.65089678834674,136.67265067439547,44.82504413621863,-5.318338072620202,101.99519682789116,0.0,0.0,0.0,27.966170946451854,-104.07866559272796,0.0,0.0,0.0,0.0,0.0
20100519,91.00057431367841,92.93762967760186,118.42478143017668,24.15910172954434,-32.20702674402828,100.92559861822738,0.0,0.0,0.0,18.949593485798875,-112.61210803824297,0.0,0.0,0.0,0.0,0.0
20100520,70.30758287723224,68.919180800709,103.59931921189346,2.657288297720909,-59.99222052640222,103.89138565149672,0.0,0.0,0.0,11.627097752812295,-117.4217801886568,0.0,0.0,0.0,0.0,0.0
20100521,52.981408402285524,52.36968250219975,90.83905112462728,-15.21116458597778,-83.19164110290691,108.97186281320796,0.0,0.0,0.0,5.327759308239255,-118.33849159566682,0.0,0.0,0.0,0.0,0.0
20100524,36.3242849577414,36.875715172705675,79.38742386597104,-32.54837039848039,-105.18900702499045,114.93108114197946,0.0,0.0,0.0,-1.7670977279221174,-116.46290628927332,0.0,0.0,0.0,0.0,0.0
20100525,19.213594005180063,21.61550142824583,67.35531792730463,-49.74133410367515,-126.03705313329229,120.20764484371345,0.0,0.0,0.0,-10.888807219370648,-112.06510549541686,0.0,0.0,0.0,0.0,0.0
20100526,2.063496868186088,7.031716812225025,54.85175650084557,-66.31552951994088,-144.96510041565733,126.14345920113333,0.0,0.0,0.0,-20.350025800830867,-106.44538194507345,0.0,0.0,0.0,0.0,0.0
20100527,-15.513462526414447,-6.4568764205595786,41.57825923122001,-82.38316722620955,-161.5194188876388,131.68813993445124,0.0,0.0,0.0,-31.53368628047993,-99.99264954137172,0.0,0.0,0.0,0.0,0.0
20100528,-32.54243219095069,-18.902083907290102,28.324485719364297,-97.2295841636653,-174.2946558476005,132.28968365934733,0.0,0.0,0.0,-45.90160651234686,-92.91613601818918,0.0,0.0,0.0,0.0,0.0
20100531,-47.95836022846633,-28.643876946041765,15.153889432813354,-110.27883937029632,-182.90939933281226,129.55336484366123,0.0,0.0,0.0,-64.17767315292191,-85.11841612463516,0.0,0.0,0.0,0.0,0.0
20100601,-63.61818747564141,-37.53980128345644,1.034794702776138,-122.02324145190248,-188.27161827240687,122.39055671761427,0.0,0.0,0.0,-86.22966427250103,-77.30083157443597,0.0,0.0,0.0,0.0,0.0
20100602,-79.20450238302473,-45.728047113944,-13.616450160963115,-131.09976757501326,-188.66658402210388,106.56423686302128,0.0,0.0,0.0,-112.91764424197285,-67.76898511241605,0.0,0.0,0.0,0.0,0.0
20100603,-94.23464375402416,-52.97312455196327,-28.82175070387069,-138.81506881887304,-186.80084899702746,80.24166930250627,0.0,0.0,0.0,-143.15719693223127,-58.08670671232354,0.0,0.0,0.0,0.0,0.0
20100604,-109.72214618976719,-61.07496294776384,-44.28491040867954,-146.35126343568422,-185.47889551012875,45.186054666354075,0.0,0.0,0.0,-174.70943715223183,-47.78552413209067,0.0,0.0,0.0,0.0,0.0
20100607,-126.32700151165304,-69.26902210062035,-61.562785650009914,-152.4192116201637,-182.5008527900282,-1.539635359109775,0.0,0.0,0.0,-204.86987560597095,-39.27534652617332,0.0,0.0,0.0,0.0,0.0
20100608,-141.82592077914933,-77.0895630397259,-79.25334118034364,-157.4295196139862,-179.13389191662296,-58.35616260916472,0.0,0.0,0.0,-229.30600623862856,-30.048687367053304,0.0,0.0,0.0,0.0,0.0
20100609,-158.22325608102017,-85.11462016933612,-99.43701936084463,-162.24194070111213,-176.70845656781097,-127.75636533578168,0.0,0.0,0.0,-245.98198642820384,-20.07964892890115,0.0,0.0,0.0,0.0,0.0
20100610,-173.92444761721438,-93.36191692333088,-120.55847019468415,-166.3860996565042,-175.08283916441923,-204.38359949700452,0.0,0.0,0.0,-258.2800440163918,-10.019502171622651,0.0,0.0,0.0,0.0,0.0
20100611,-189.34717117551443,-101.7875897899115,-143.21729904638875,-170.3105075525567,-174.73989056641147,-272.48419230499445,0.0,0.0,0.0,-263.74443129665605,1.81633125196092,0.0,0.0,0.0,0.0,0.0
20100617,-205.86597808940488,-114.34333223738956,-165.85101870751092,-173.9339864706609,-175.84546517680832,-336.6980610688906,0.0,0.0,0.0,-261.57194176459205,17.723877116474224,0.0,0.0,0.0,0.0,0.0
20100618,-219.2915585159407,-126.2538520769727,-185.85146405744229,-175.68831928599778,-177.22043245992649,-399.26459765440023,0.0,0.0,0.0,-256.56794819649315,35.5805763132151,0.0,0.0,0.0,0.0,0.0
20100621,-225.09788264720115,-136.94904242395114,-196.10357586547025,-174.1866017104149,-177.03281683804016,-441.4475527974179,0.0,0.0,0.0,-247.81420169288376,53.983819444103446,0.0,0.0,0.0,0.0,0.0
20100622,-226.54553342693256,-144.18260259398963,-202.25192307388562,-170.6607188952743,-176.5144103185291,-474.07027879999015,0.0,0.0,0.0,-235.77991371195859,73.3500621724894,0.0,0.0,0.0,0.0,0.0
20100623,-224.27911299088473,-149.13235279407075,-205.16005448945597,-164.91118246978738,-174.25006294794687,-498.6151423042949,0.0,0.0,0.0,-218.35224844851183,92.86692328604632,0.0,0.0,0.0,0.0,0.0
20100624,-218.0803796038118,-152.59297219321232,-203.91193905278033,-157.9955920699757,-171.4545934912498,-507.7297075948585,0.0,0.0,0.0,-198.61624720567485,114.43472998797358,0.0,0.0,0.0,0.0,0.0
20100625,-210.7465063546975,-155.64808036874848,-200.09024735834458,-150.06822022754207,-167.34473259459784,-499.3297840999576,0.0,0.0,0.0,-179.90495551057043,137.76364077011561,0.0,0.0,0.0,0.0,0.0
20100628,-200.4169197932256,-157.6339397536725,-191.6654773291362,-141.17613368573365,-161.66188802566336,-476.42654280376445,0.0,0.0,0.0,-165.82728034737116,160.85871870519776,0.0,0.0,0.0,0.0,0.0
20100629,-188.45621191220738,-159.22510353140152,-180.25177699710127,-132.03212076942572,-154.7809072018587,-445.237229300159,0.0,0.0,0.0,-152.53801624248877,179.86683128965066,0.0,0.0,0.0,0.0,0.0
20100630,-175.3884554434605,-159.85278138667155,-165.63988150860337,-123.00473531919995,-147.50028634939605,-417.1190359585101,0.0,0.0,0.0,-140.82862148548332,198.2641592769056,0.0,0.0,0.0,0.0,0.0
20100701,-160.03686717824945,-156.4381325334513,-149.3506032066678,-114.28162411613559,-139.7262003914109,-386.59485328863155,0.0,0.0,0.0,-131.36700217209236,213.12191753303085,0.0,0.0,0.0,0.0,0.0
20100702,-144.65297826114826,-152.12320297079185,-132.43789685252472,-106.97308727290604,-132.00539729094663,-350.13186756556786,0.0,0.0,0.0,-121.31915302229326,225.80618558761898,0.0,0.0,0.0,0.0,0.0
20100705,-133.92288629656235,-147.4453650618728,-122.77492492496985,-104.20024519565331,-128.13637495588327,-325.661163197943,0.0,0.0,0.0,-113.0710025567178,236.72410874664587,0.0,0.0,0.0,0.0,0.0
20100706,-125.94565691065539,-145.0123051638778,-114.42391877349635,-103.65400480333592,-125.76548222478125,-300.48182931536894,0.0,0.0,0.0,-105.31931948130882,246.43557997074157,0.0,0.0,0.0,0.0,0.0
20100707,-119.65869078438445,-142.6106235624004,-107.04857437896221,-105.09404418081219,-124.76486226146122,-274.99793168558034,0.0,0.0,0.0,-101.44298437159111,254.35749625897998,0.0,0.0,0.0,0.0,0.0
20100708,-114.07384178064531,-140.9644875548694,-99.75091201301294,-109.57363913555568,-128.2380396219886,-251.21377358939407,0.0,0.0,0.0,-100.7947927919109,261.10615779036823,0.0,0.0,0.0,0.0,0.0
20100709,-106.10752901968146,-136.96266452012418,-89.48846367108514,-112.92998248424126,-129.7423968786456,-227.96341619591013,0.0,0.0,0.0,-102.83529260467526,264.48385980242824,0.0,0.0,0.0,0.0,0.0
20100712,-97.15402473674963,-131.64492331535752,-77.81143347731512,-115.64664209537443,-130.83726636525603,-201.53295479243724,0.0,0.0,0.0,-110.55368151800153,265.57391429128234,0.0,0.0,0.0,0.0,0.0
20100713,-88.32546457438113,-125.15982806963287,-65.25530185112767,-117.22279448805018,-130.8832807742863,-172.08187526387073,0.0,0.0,0.0,-122.03444584989242,269.4463282959066,0.0,0.0,0.0,0.0,0.0
20100714,-78.16721892439217,-117.18631279343774,-51.14965259374313,-116.42128215246203,-127.74047396601183,-141.14738767186972,0.0,0.0,0.0,-136.11120057411958,270.76617730626197,0.0,0.0,0.0,0.0,0.0
20100715,-65.2769088127434,-106.49985956048258,-34.656527335950095,-113.75571182240306,-121.5538537104832,-111.38527534551204,0.0,0.0,0.0,-151.9889776317031,270.42340441072423,0.0,0.0,0.0,0.0,0.0
20100716,-49.905884359610056,-93.58797137510513,-16.60667893464623,-106.59880020551778,-110.45643769665557,-81.31426023545612,0.0,0.0,0.0,-169.05400975409674,270.1169835051677,0.0,0.0,0.0,0.0,0.0
20100719,-29.897206216001035,-78.3140933639595,6.062003546392255,-95.70247720522516,-94.92109988583482,-48.636880509889245,0.0,0.0,0.0,-182.90472040495024,272.69494642381176,0.0,0.0,0.0,0.0,0.0
20100720,-5.928202365442746,-59.98716508630148,29.4104674823182,-81.38770932598743,-75.53016245201206,-14.71604052380838,0.0,0.0,0.0,-195.63156844785036,273.31565108716353,0.0,0.0,0.0,0.0,0.0
20100721,21.12009983112157,-38.71657381881198,53.29321246550885,-63.47453401243814,-52.73159098521389,18.353694109513516,0.0,0.0,0.0,-210.76642363365744,273.2023882587414,0.0,0.0,0.0,0.0,0.0
20100722,48.59954033203297,-13.800873308629969,76.91246849651932,-40.265694797954026,-23.558695763354482,50.24060053450188,0.0,0.0,0.0,-223.04620286207583,270.99761605746454,0.0,0.0,0.0,0.0,0.0
20100723,76.27141611595239,12.981477930498574,98.47776247025021,-14.545723591368423,6.829248225992342,78.8697004693611,0.0,0.0,0.0,-231.70926529732932,268.3859683238555,0.0,0.0,0.0,0.0,0.0
20100726,105.38889831473439,41.94960298098526,119.33021014999062,14.752756324788677,40.16080009954151,105.77900821518537,0.0,0.0,0.0,-233.36096143308805,265.1697944437227,0.0,0.0,0.0,0.0,0.0
20100727,128.6337605022932,71.54030079982344,133.4042893680998,45.24901321690264,73.31870311662637,130.29493573159843,0.0,0.0,0.0,-231.01409048364,264.88280683671616,0.0,0.0,0.0,0.0,0.0
20100728,151.410867297473,106.10229479264274,145.775348850979,77.63827779435539,106.37415297445008,154.69675094556692,0.0,0.0,0.0,-225.69414226497884,264.3081174936552,0.0,0.0,0.0,0.0,0.0
20100729,173.82354531692152,142.62175484329236,156.755607859622,114.96368284287027,140.24840561527327,178.05155201830445,0.0,0.0,0.0,-218.8249238092523,264.55814135908696,0.0,0.0,0.0,0.0,0.0
20100730,195.57973152133795,180.7602219584375,166.43205292765168,153.17936684071518,171.82320920632634,196.9936170656427,0.0,0.0,0.0,-209.04200117617893,265.50124407384135,0.0,0.0,0.0,0.0,0.0
20100802,213.37239844622496,215.13191412634697,171.5249772362078,190.48293422926042,199.6228045328465,211.50056378234885,0.0,0.0,0.0,-197.8845769190538,265.7347918264366,0.0,0.0,0.0,0.0,0.0
20100803,226.9644262022842,252.90640259970988,176.36420139753338,229.65436861357867,226.1218478480937,222.66128394366896,0.0,0.0,0.0,-183.71814435489551,267.182272725215,0.0,0.0,0.0,0.0,0.0
20100804,239.55208257617755,281.8771615117415,181.3156752802486,269.5678313640164,250.3821998961816,233.36176918231968,0.0,0.0,0.0,-162.6861714885794,267.31745622422955,0.0,0.0,0.0,0.0,0.0
