,CU.SHF,AL.SHF,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20100104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100107,47.558178697048696,23.918623761262936,63.450089213973854,0.0,0.0,0.0,0.0,0.0
20100108,34.250202424961586,16.772330147045253,56.2681118551673,0.0,0.0,0.0,0.0,0.0
20100111,29.868528119609053,14.404447158213243,43.45995407856787,0.0,0.0,0.0,0.0,0.0
20100112,26.945777633263457,13.051731058241769,36.32054260381222,0.0,0.0,0.0,0.0,0.0
20100113,25.246464760928504,12.414484590202044,32.185632796801,0.0,0.0,0.0,0.0,0.0
20100114,23.370925422960198,11.699829092446873,24.99544646605331,0.0,0.0,0.0,0.0,0.0
20100115,22.07526068914328,11.275807576243308,19.775984405568828,0.0,0.0,0.0,0.0,0.0
20100118,21.215865302565987,11.0319505001321,15.762635519662682,0.0,0.0,0.0,0.0,0.0
20100119,20.641253885283948,10.904979455350116,12.57172000487181,0.0,0.0,0.0,0.0,0.0
20100120,20.23264691778666,10.856825897870229,10.03249404232228,0.0,0.0,0.0,0.0,0.0
20100121,17.144027080282182,9.523942347857627,2.3506437703444543,0.0,0.0,0.0,0.0,0.0
20100122,16.790264365377475,9.667145830918347,-3.953999507977091,0.0,0.0,0.0,0.0,0.0
20100125,16.2965043813683,9.806431819212522,-6.948028674252947,0.0,0.0,0.0,0.0,0.0
20100126,16.132249057312556,10.0494671939804,-9.683466706846637,0.0,0.0,0.0,0.0,0.0
20100127,12.606621959342515,10.231470476489871,-12.472960477299136,0.0,0.0,0.0,0.0,0.0
20100128,9.480227486264564,8.212580610686585,-12.634491388319384,0.0,0.0,0.0,0.0,0.0
20100129,6.483568341298545,6.203795018343091,-12.64525730889479,0.0,0.0,0.0,0.0,0.0
20100201,3.4840029538125883,4.119435891817572,-12.511693052492715,0.0,0.0,0.0,0.0,0.0
20100202,0.3899199322970872,1.9625158143127863,-12.345667756417749,0.0,0.0,0.0,0.0,0.0
20100203,-2.7816406182086024,-0.27953722090083927,-12.217079985007047,0.0,0.0,0.0,0.0,0.0
20100204,-5.881508263350539,-2.5959992642106235,-11.877561638680685,0.0,0.0,0.0,0.0,0.0
20100205,-8.973228999060527,-4.967103838392988,-11.471510798859958,0.0,0.0,0.0,0.0,0.0
20100208,-11.86188958231709,-7.346952845391745,-11.243988309221962,0.0,0.0,0.0,0.0,0.0
20100209,-14.843973044009218,-9.992304488127035,-11.023792586060258,0.0,0.0,0.0,0.0,0.0
20100210,-14.457726469843815,-12.637438812805732,-10.80959482051666,0.0,0.0,0.0,0.0,0.0
20100211,-13.988784535516228,-13.153997306561017,-10.587219883100431,0.0,0.0,0.0,0.0,0.0
20100212,-13.689349848938297,-13.775795643354144,-10.431791663855055,0.0,0.0,0.0,0.0,0.0
20100222,-13.439937751657629,-14.343666086229542,-10.32483729085422,0.0,0.0,0.0,0.0,0.0
20100223,-13.045538561531773,-14.878216733301013,-10.154625471594901,0.0,0.0,0.0,0.0,0.0
20100224,-12.634762704465729,-15.384870171730528,-9.9810846429142,0.0,0.0,0.0,0.0,0.0
20100225,-12.307812023915375,-15.869674610210954,-9.955979077702377,0.0,0.0,0.0,0.0,0.0
20100226,-12.061937226399545,-16.35073643612932,-9.939107482170442,0.0,0.0,0.0,0.0,0.0
20100301,-11.927056834860958,-16.91911374039665,-9.998395008078338,0.0,0.0,0.0,0.0,0.0
20100302,-11.642925591754185,-17.26488250325702,-9.996863268775948,0.0,0.0,0.0,0.0,0.0
