sector,signal,mode,uses_zscore,n_total,best_sharpe,plateau_threshold,plateau_count,plateau_ratio,plateau_mean_sharpe,plateau_mean_mdd,plateau_mean_mdd_days,plateau_mean_pot,plateau_mean_hold,param_F,param_S,param_ATR,param_SLP,param_T,param_VOL
NonFerrous,V5_2,ZW_60,Yes,23,0.697100,0.627400,16,0.695700,0.659700,-23.611500,491.900000,15.392700,9.600000,5~20,60~120,15,,1,20
NonFerrous,V5_2,noZ,No,23,0.829600,0.746600,7,0.304300,0.811600,-26.037400,571.400000,23.077700,10.200000,5~20,40~60,15,,1,20
NonFerrous,V5_3,ZW_60,Yes,6,0.557300,0.501600,4,0.666700,0.543200,-28.186200,811.000000,7.971200,5.400000,5,60~120,15,,1,20
NonFerrous,V5_3,noZ,No,6,0.636100,0.572500,2,0.333300,0.617600,-24.341300,675.500000,12.573000,6.400000,5,60~80,15,,1,20
NonFerrous,V5_4,ZW_60,Yes,6,0.658100,0.592300,1,0.166700,0.658100,-33.742800,922.000000,12.460100,7.300000,5,40,15,3,1,20
NonFerrous,V5_4,noZ,No,6,0.828600,0.745700,1,0.166700,0.828600,-19.750000,735.000000,20.228800,8.200000,5,40,15,3,1,20
Other,V5_1,ZW_60,Yes,23,0.843900,0.759500,2,0.087000,0.822000,-28.303700,88.500000,329.967800,8.400000,5~10,20,,,1,20
Other,V5_1,noZ,No,23,0.770700,0.693600,2,0.087000,0.755100,-27.578300,97.500000,296.291400,9.500000,5~10,20,,,1,20
Other,V5_2,ZW_60,Yes,23,0.827100,0.744400,2,0.087000,0.818900,-22.352200,106.500000,369.353300,9.000000,5~10,20,15,,1,20
Other,V5_2,noZ,No,23,0.673700,0.606300,2,0.087000,0.653000,-31.454000,245.000000,301.260900,9.200000,5~10,20,15,,1,20
Other,V5_3,ZW_60,Yes,6,0.741000,0.666900,2,0.333300,0.713600,-27.024700,102.500000,231.604600,6.000000,5,20~40,15,,1,20
Other,V5_3,noZ,No,6,0.662100,0.595900,1,0.166700,0.662100,-21.538500,106.000000,206.527800,5.500000,5,20,15,,1,20
Other,V5_4,ZW_60,Yes,6,0.728200,0.655400,1,0.166700,0.728200,-30.702200,220.000000,305.032200,8.500000,5,20,15,3,1,20
Other,V5_4,noZ,No,6,0.494300,0.444300,1,0.166700,0.494300,-50.147300,290.000000,218.800600,8.800000,5,20,15,3,1,20
Precious,V5_1,ZW_60,Yes,23,0.390700,0.340700,5,0.217400,0.364400,-42.295100,1185.400000,13.638700,10.500000,5~20,20~80,,,1,20
Precious,V5_1,noZ,No,23,0.691200,0.622100,3,0.130400,0.667600,-36.840200,1365.000000,43.360300,18.900000,20,40~120,,,1,20
Precious,V5_2,ZW_60,Yes,23,0.399200,0.349200,3,0.130400,0.376900,-44.253200,1220.700000,14.925200,11.300000,5~10,60~80,15,,1,20
Precious,V5_2,noZ,No,23,0.690900,0.621800,3,0.130400,0.650400,-40.940300,1827.000000,42.920100,16.600000,10~20,60~120,15,,1,20
Precious,V5_3,ZW_60,Yes,6,0.519200,0.467300,2,0.333300,0.497300,-44.096900,1106.500000,11.850100,6.400000,5,60~80,15,,1,20
Precious,V5_3,noZ,No,6,0.650000,0.585000,4,0.666700,0.623500,-37.792100,2010.200000,24.684800,9.000000,5,60~120,15,,1,20
Precious,V5_4,ZW_60,Yes,6,0.440200,0.390200,1,0.166700,0.440200,-47.190800,1122.000000,14.083100,8.900000,5,40,15,3,1,20
Precious,V5_4,noZ,No,6,0.727200,0.654500,2,0.333300,0.721100,-34.173500,1792.500000,35.967300,12.400000,5,40~120,15,3,1,20
StockIndex,V5_1,ZW_60,Yes,23,0.457400,0.407400,2,0.087000,0.440900,-36.110000,946.500000,23.398100,10.600000,5~10,80,,,1,20
StockIndex,V5_1,noZ,No,23,0.375200,0.325200,3,0.130400,0.353800,-41.819100,883.700000,20.001100,11.600000,5~10,20~80,,,1,20
StockIndex,V5_2,ZW_60,Yes,23,0.335200,0.285200,5,0.217400,0.317800,-42.401300,1588.200000,13.886900,8.700000,5~10,20~60,15,,1,20
StockIndex,V5_2,noZ,No,23,0.344200,0.294200,2,0.087000,0.321100,-36.948800,1228.500000,13.525100,8.000000,5~10,20,15,,1,20
StockIndex,V5_3,ZW_60,Yes,6,0.576300,0.518600,2,0.333300,0.549200,-27.020500,907.000000,15.649100,5.000000,5,20~40,15,,1,20
StockIndex,V5_3,noZ,No,6,0.495100,0.445100,1,0.166700,0.495100,-24.705000,1212.000000,14.270500,4.800000,5,20,15,,1,20
StockIndex,V5_4,ZW_60,Yes,6,0.491400,0.441400,1,0.166700,0.491400,-31.570700,830.000000,18.695900,7.300000,5,20,15,3,1,20
StockIndex,V5_4,noZ,No,6,0.418200,0.368200,3,0.500000,0.401700,-42.661400,859.700000,21.215800,10.800000,5,20~120,15,3,1,20
