ts_code,name,sector,multiplier
CU.SHF,铜,有色金属,5
AL.SHF,铝,有色金属,5
ZN.SHF,锌,有色金属,5
PB.SHF,铅,有色金属,5
NI.SHF,镍,有色金属,1
SN.SHF,锡,有色金属,1
AO.SHF,氧化铝,有色金属,20
AD.SHF,铝合金,有色金属,5
AU.SHF,黄金,贵金属,1000
AG.SHF,白银,贵金属,15
RB.SHF,螺纹钢,黑色系,10
HC.SHF,热轧卷板,黑色系,10
SS.SHF,不锈钢,黑色系,5
SC.SHF,原油,能源化工,1000
FU.SHF,燃料油,能源化工,10
LU.SHF,低硫燃料油,能源化工,10
BU.SHF,沥青,能源化工,10
RU.SHF,天然橡胶,能源化工,10
SP.SHF,纸浆,农林牧渔,10
OP.SHF,天然橡胶期权,能源化工,10
EC.SHF,集运欧线,其他品种,50
A.DCE,黄大豆1号,农林牧渔,10
B.DCE,黄大豆2号,农林牧渔,10
M.DCE,豆粕,农林牧渔,10
Y.DCE,豆油,农林牧渔,10
P.DCE,棕榈油,农林牧渔,10
C.DCE,玉米,农林牧渔,10
CS.DCE,玉米淀粉,农林牧渔,10
JD.DCE,鸡蛋,农林牧渔,5
LH.DCE,生猪,农林牧渔,16
LG.DCE,LPG,能源化工,20
JM.DCE,焦煤,黑色系,60
J.DCE,焦炭,黑色系,100
I.DCE,铁矿石,黑色系,100
L.DCE,聚乙烯,能源化工,5
V.DCE,PVC,能源化工,5
PP.DCE,聚丙烯,能源化工,5
EG.DCE,乙二醇,能源化工,10
EB.DCE,苯乙烯,能源化工,5
PG.DCE,液化石油气,能源化工,20
BZ.DCE,丁二烯,能源化工,5
CF.ZCE,棉花,农林牧渔,5
SR.ZCE,白糖,农林牧渔,10
OI.ZCE,菜籽油,农林牧渔,10
RM.ZCE,菜粕,农林牧渔,10
CY.ZCE,棉纱,农林牧渔,5
AP.ZCE,苹果,农林牧渔,10
PTA.ZCE,PTA,能源化工,5
MA.ZCE,甲醇,能源化工,10
FG.ZCE,玻璃,建材化工,20
SF.ZCE,硅铁,黑色系,5
SM.ZCE,锰硅,黑色系,5
UR.ZCE,尿素,农林牧渔,20
SA.ZCE,纯碱,建材化工,20
PF.ZCE,涤纶短纤,能源化工,5
PX.ZCE,对二甲苯,能源化工,5
SH.ZCE,烧碱,能源化工,30
PL.ZCE,PET瓶片,能源化工,5
IF.CFX,沪深300股指,股指期货,300
IC.CFX,中证500股指,股指期货,200
IM.CFX,中证1000股指,股指期货,200
T.CFX,10年期国债,利率期货,10000
TS.CFX,2年期国债,利率期货,20000
TF.CFX,5年期国债,利率期货,10000
