,A.DCE,AG.SHF,AP.ZCE,AU.SHF,B.DCE,BU.SHF,BZ.DCE,C.DCE,CF.ZCE,CS.DCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,HC.SHF,I.DCE,J.DCE,JD.DCE,JM.DCE,L.DCE,LH.DCE,LU.INE,M.DCE,MA.ZCE,OI.ZCE,P.DCE,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RB.SHF,RM.ZCE,RU.SHF,SA.ZCE,SC.INE,SF.ZCE,SH.ZCE,SM.ZCE,SP.SHF,SR.ZCE,SS.SHF,TA.ZCE,UR.ZCE,V.DCE,Y.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,-6.996047514975174,-28.07194891018601,-167.1344806103193,11.20089084984736,36.579424087216495,4.634825484294401,0.0,6.706244135150319,0.9512753588547397,-24.740309004316032,0.0,0.0,-16.184849269309087,0.0,3.789084447166646,3.8647644176206932,-8.064504259523336,-0.2821820704416683,16.391391872181412,-10.184661800251163,0.0,0.0,-56.59118635794665,4.795283589729304,-12.282631247506753,-7.344457195483367,0.0,0.0,0.0,-0.2977286758370655,0.0,-3.712948863706345,-13.002690672617863,7.102566614551525,0.0,0.0,-19.890481197569095,0.0,6.536863470315595,0.0,-10.81532471582053,0.0,-0.4681073430284387,0.0,-0.33388253124441997,-8.497273815577307
20180104,-3.1476406053911337,-26.41296180881831,-184.62779053528948,7.138976409596655,35.81874716370251,5.625695269092004,0.0,6.7512750109556485,1.5825297518238073,-13.77476010576553,0.0,0.0,-11.440268125576628,0.0,4.651260392129545,4.614590366041757,-6.58508485934649,1.4477083892074323,18.81437528746748,-11.31704896248565,0.0,0.0,-36.160656650994135,5.880142158868399,-11.805726810436239,-8.78976629646493,0.0,0.0,0.0,-0.35051231784471976,0.0,-4.558524741806702,-7.185201430290265,6.859683114415167,0.0,0.0,-24.194891213840663,0.0,7.106143905471797,0.0,-10.83618552950948,0.0,-0.4750283967018292,0.0,-0.4098284211837707,-9.100886367086382
20180105,-6.353967074971865,-27.978898086589574,-186.34915537023298,9.187470089537566,32.09136567031044,6.361511856174424,0.0,5.722949888424912,2.64726118354373,-11.377032750514392,0.0,0.0,-10.47195671239,0.0,5.238470451464259,5.023745766721086,-5.753673059712436,1.524495497531993,15.270700673519123,-11.938821436776642,0.0,0.0,-27.637731286873006,6.4764073426012825,-11.773459820632409,-10.684692774574614,0.0,0.0,0.0,-0.38186266290751475,0.0,-5.2322748506894845,-4.6353138331029955,3.944971406422021,0.0,0.0,-23.90753015566192,0.0,7.7943655972470225,0.0,-10.460364206399277,0.0,-0.4985412058701475,0.0,-0.4555384476426692,-9.503422376289206
20180108,-8.453048987958544,-34.80288491726824,-165.22789534900386,10.029413264933064,33.664176996420146,6.9038241194751855,0.0,4.788190169348745,4.1526524730776435,-9.930824748843495,0.0,0.0,-8.65478121215734,0.0,5.7981858716176475,5.0219635768616735,-5.571575021698018,1.3399713193576726,13.385367673000754,-12.551974769811626,0.0,0.0,-20.84751299428876,6.690298503678214,-9.831789505657355,-10.32647290712787,0.0,0.0,0.0,-0.41661898943066394,0.0,-5.850836377279812,-2.500113682624049,2.496644547735867,0.0,0.0,-22.48694373983392,0.0,7.941797229181205,0.0,-9.639585830301451,0.0,-0.5283268834840998,0.0,-0.49226303256978465,-8.622596435987546
20180109,-7.868873527099567,-38.9270705872898,-124.11248414217755,9.522412156712782,29.796256945571585,7.476704588454857,0.0,4.914558103383922,5.527131793424685,-8.480105533723666,0.0,0.0,-7.7392131246113225,0.0,6.3576340275596745,5.190965011192339,-5.486848077550622,0.48792584675635053,12.05716865583695,-13.064425893622818,0.0,0.0,-18.743566108093088,6.8580944695071855,-8.956974041797814,-9.737774011085847,0.0,0.0,0.0,-0.4427436304740113,0.0,-6.451750406818943,-2.352432563227311,4.7900245222504525,0.0,0.0,-20.838816899915468,0.0,7.990646605853175,0.0,-11.484496548988258,0.0,-0.5577150293028705,0.0,-0.5096997825598161,-8.060038219467978
20180110,-7.184791756579036,-33.95803797135784,-99.52448384619538,11.206325123045817,23.246303480831088,7.8712977024063076,0.0,4.896516254208324,7.514747828823875,-7.514244462681841,0.0,0.0,-7.282270205398687,0.0,6.893299384478728,5.355961441377969,-5.309164547379989,-0.09910315221803814,10.64388481897564,-13.447301574721749,0.0,0.0,-17.46907325461773,7.083206749550553,-8.803267411419334,-8.95227175406808,0.0,0.0,0.0,-0.4680972095344568,0.0,-6.982801564756763,-2.666057352537172,6.511314942955877,0.0,0.0,-20.08142457411901,0.0,8.222657074576466,0.0,-12.30760895560891,0.0,-0.5738562410940935,0.0,-0.5226660536143728,-8.307764967965745
20180111,-5.219966033927735,-29.22161914185926,-82.4610898010468,12.26059619941527,18.144113423410513,8.182795976373777,0.0,5.002469639436378,10.34695479761747,-6.463293304646447,0.0,0.0,-7.017755580617218,0.0,7.414388018938376,5.547511352798591,-5.279551564157695,-0.021059662418185392,9.74877161645323,-13.928639581964916,0.0,0.0,-15.34922921864629,7.346803107095807,-8.076421475066628,-8.084552427583372,0.0,0.0,0.0,-0.49594111959299036,0.0,-7.482956028308342,-3.359913641420374,7.650604129293739,0.0,0.0,-19.730127074766298,0.0,8.437800516618626,0.0,-12.809034506344103,0.0,-0.5957336282379588,0.0,-3.3454937676617376,-7.929392236884178
20180112,-4.415485351457268,-14.036207816038416,-71.23396139202096,13.292025459911182,14.709741369487563,8.516973239047873,0.0,6.340268882123164,11.819607359233027,-5.641403675116008,0.0,0.0,-6.924123644890794,0.0,7.778529496599893,5.566567161610156,-5.307569279641199,0.7199237915457254,8.899404210645148,-14.470715733472556,0.0,0.0,-12.238501946987906,5.5860167870647635,-7.318961380086114,-7.6616971407751775,0.0,0.0,0.0,-0.5250550208583723,0.0,-7.7861399874940105,-3.3383862277201954,8.505327536681104,0.0,0.0,-19.63026993528617,0.0,8.154394803998736,0.0,-14.157341383820324,0.0,-3.4571304734398263,0.0,-5.265317110227566,-7.607052598228609
20180115,-3.752856024800373,-2.6810322149850405,-63.8975764089099,17.069499659759582,13.453984442174562,8.667613972936957,0.0,6.9572607379008895,12.25631299172025,-5.0236513518535135,0.0,0.0,-6.902576839522745,0.0,8.16287642762563,5.595386877823752,-5.353562473962656,1.2175498769221411,8.278743021707138,-14.810477192920038,0.0,0.0,-9.589623186536217,4.282693314416359,-6.602891852030941,-7.635509784336707,0.0,0.0,0.0,-0.5497686658369898,0.0,-8.117153115440013,-3.1165562207181905,9.143193915994335,0.0,0.0,-19.755008965376376,0.0,8.038631571827544,0.0,-14.744034817521959,0.0,-2.848973447410107,0.0,-6.786201580302488,-7.262142319100929
