,AG.SHF,AU.SHF
20180102,0.0,0.0
20180103,-208.9168520894612,83.35918765150869
20180104,-196.57035046309935,53.12963782477811
20180105,-208.2243499332235,68.374922450639
20180108,-259.0097746262709,74.6408257694502
20180109,-289.70275894203854,70.86762584399666
20180110,-252.72226088785166,83.39963055961059
20180111,-217.47291944732768,91.24571902424702
20180112,-104.46016276184531,98.92181429448236
20180115,-19.95275826759115,127.03450505230603
20180116,37.375039125104124,154.99289148084932
20180117,70.90321382648665,158.9857459605444
20180118,93.44267425498248,161.59697777205437
20180119,87.88437163324194,156.38826695486304
20180122,75.63996556412839,128.86379339413952
20180123,65.35792126629413,108.56501777897726
20180124,75.88657456594174,117.44003091901948
20180125,70.79902902716768,120.23324276492016
20180126,71.8446465928691,126.8275939269218
20180129,67.79222454379403,130.86765065080738
20180130,62.4591490686563,126.32293462091941
20180131,49.11847849219138,107.92085458441797
20180201,37.18011043875617,83.98698620056022
20180202,29.642310096353206,56.483966733488664
20180205,32.158168502291176,43.37452673165309
20180206,32.122593113900145,29.490534306247454
20180207,35.63704898062294,28.225656688737477
20180208,44.45144578825355,41.722501658373886
20180209,28.559158021663762,48.218263236939485
20180212,31.844208661549196,61.10540098225677
20180213,36.50576846075022,75.73822079416519
20180214,42.75217378634575,90.10493746661365
20180222,48.280734232348685,94.75379843317388
20180223,56.06519842363263,97.69471118812855
20180226,58.22377965023352,101.67098715795775
20180227,59.5907688327221,105.06837435078735
20180228,56.895589314049914,102.50927570023082
20180301,49.959199737105244,97.66751930299448
20180302,47.783526641966695,99.66440228669771
20180305,43.04117890365169,100.20748350522238
20180306,45.148046393349176,114.26092380193688
20180307,37.356809935717024,115.2954755896859
20180308,40.458812352560706,124.34458243020347
20180309,44.241620637017796,131.30258126280916
20180312,51.4969162225136,132.95431336681736
20180313,43.08548353712052,114.76097362470497
20180314,47.18267443811508,114.44474338846433
20180315,39.66885811540357,100.12373099512008
20180316,37.67435654438749,96.95127963352292
20180319,41.9138841791673,95.08798424588089
20180320,49.23544863945966,101.49301364882561
20180321,71.0399248995068,112.16968063215383
20180322,82.24025030216193,117.36859177118721
20180323,91.0940219789624,116.83026906481373
20180326,90.8999689185697,112.48446722056738
20180327,97.25797891903183,96.87975411186721
20180328,84.39318045995365,65.32809861055922
20180329,78.50222257502631,47.016448262253405
20180330,68.33166270401897,30.201460643657352
20180402,63.59740240979215,12.045170038355772
20180403,51.08253694587745,3.716649763718631
20180404,50.04679172572536,25.017880660866037
20180409,45.85746881347683,41.52973542709209
20180410,38.57493261853601,46.65465053633657
20180411,39.57307685204762,62.186242365641235
20180412,38.90864959478432,79.81014157983303
20180413,34.34376511319824,78.60208085533493
20180416,4.632431466222131,75.40144703516297
20180417,13.171402407733556,82.43209859423104
20180418,15.585341167205224,80.22113899970539
20180419,24.915915422542547,86.42188973154522
20180420,12.863772423150232,87.58238078522854
20180423,12.037018172561492,99.80818314839289
20180424,7.038915125834322,111.2496558581333
20180425,-3.5310407309357044,104.36854553154483
20180426,-11.516779138896364,89.0098154178007
20180427,-16.39629947141964,85.26194325417032
20180502,-20.873238260034803,88.24163636988649
20180503,-31.17492562568506,82.71020868619426
20180504,-32.28856741273689,104.93964843859261
20180507,-40.555162814858974,130.10076644090628
20180508,-51.912998520103805,140.38473425184205
20180509,-62.95981970285306,82.96952572471386
20180510,-73.72737028046993,31.447409277778704
20180511,-80.58671872953707,-4.893701251944115
20180514,-80.85549418473161,16.444315843269308
20180515,-82.00724218552963,35.92586681187976
20180516,-75.02826362707194,77.44390877223013
20180517,-68.77249288936721,102.44098281181401
20180518,-66.46486544095416,63.578210357364874
20180521,-73.54166824598063,1.6339553572761492
20180522,-75.19915148609816,-65.07395101440528
20180523,-83.93504607852049,-123.98139847213326
20180524,-83.49965112357675,-138.27938506198925
20180525,-88.45495880708064,-144.63833499076398
20180528,-82.27290743823286,-131.27397004755858
20180529,-93.85358570208346,-72.32246434443303
20180530,-107.0037346264385,-36.90512004767756
20180531,-114.7242800102236,5.577299472075432
20180601,-119.09821790018225,33.650926566608135
20180604,-137.2212599223255,37.56166051807165
20180605,-128.08456800423775,13.54029876430915
20180606,-127.55971354042529,-14.942730524300716
20180607,-125.84764509329047,-60.61088779466297
20180608,-128.7502691967399,-85.66103632716032
20180611,-125.88066199116871,-97.11875980552347
20180612,-148.45863677632744,-122.39537573391223
20180613,-184.5395832318851,-164.34460605761208
20180614,-203.32190296012254,-192.05060170817015
20180615,-204.06549068428347,-215.04720699976968
20180619,-183.11214686407712,-210.13856651406672
20180620,-163.94795575492975,-209.70799522998385
20180621,-138.35554407324616,-185.44660572725493
20180622,-117.48396263602426,-168.6542541847264
20180625,-110.18787080824275,-169.887743849149
20180626,-101.79266316443349,-200.24183818963002
20180627,-95.13395608194813,-211.43416686329778
20180628,-92.21690885907898,-236.53449388498956
20180629,-88.03652144364675,-246.15679062019572
20180702,-83.64364761296922,-245.47373370049385
20180703,-75.45883175884131,-211.88741553279505
20180704,-67.85360470961723,-203.66922328707727
20180705,-53.35394303102258,-195.1891464802485
20180706,-44.00448976687104,-202.3573746815503
20180709,-32.98912005290943,-209.53426366285723
20180710,-36.522900465850576,-218.4228543379673
20180711,-34.72113486144093,-201.6004773483065
20180712,-36.96666036020673,-176.98444215411146
20180713,-46.45605116704159,-178.3665549108565
20180716,-51.36570134289973,-179.30012013964546
20180717,-40.98953698848146,-170.53754913804505
