trade_date,AD.SHF,AL.SHF,AO.SHF,CU.SHF,NI.SHF,PB.SHF,SN.SHF,ZN.SHF
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,0.0,-42.81783374937529,0.0,103.82575297964402,-14.761104768180346,-18.73890208399829,-31.573896161909616,-55.71086446700862
20180104,0.0,-49.47661246384223,0.0,70.20122834239356,-18.02096971907126,-22.98136236350663,-38.67228611344901,-53.45156354290557
20180105,0.0,-48.82592077087462,0.0,61.83674861756598,-19.585578100891844,-26.765462215473224,-44.95557113241455,-57.27050922615656
20180108,0.0,-47.424151449040664,0.0,59.59691452931044,-21.30931119883216,-29.25896963990884,-46.71177528090067,-59.07221733526754
20180109,0.0,-47.018336369450644,0.0,56.65635358815469,-22.988145355160402,-30.941328811210344,-49.43551337888214,-57.903406074124334
20180110,0.0,-47.807649660663316,0.0,55.844591948559206,-24.554485645911775,-31.157113177616125,-51.561467376321524,-52.977536768601894
20180111,0.0,-46.530147313402324,0.0,54.78857574979427,-26.076085627628057,-31.85511543169262,-54.04757040232394,-49.883820913152995
20180112,0.0,-45.734004009939746,0.0,54.393021766090655,-25.811060652921807,-32.43823312397903,-56.720235129105035,-48.25705219899029
20180115,0.0,-45.50139701099414,0.0,54.30934876187541,-25.92077825585249,-33.23957925043118,-58.88346650412152,-47.49551285051549
20180116,0.0,-42.53482441603739,0.0,52.94868924053129,-25.137856503001796,-32.75237499429746,-61.24721890279276,-45.87663660954541
20180117,0.0,-40.51067253994651,0.0,51.191707718727656,-24.65194821913093,-31.798940204318374,-63.653230539628616,-45.0119182284043
20180118,0.0,-39.19185440686616,0.0,50.04245974262322,-24.471996541521765,-31.20480767510601,-64.80530540627149,-44.630750123552474
20180119,0.0,-37.889345312863405,0.0,49.41229226994039,-24.520594731609563,-30.700145693411496,-61.928975594569614,-44.60876127231443
20180122,0.0,-37.043613522631425,0.0,48.98578483085777,-24.413314644041733,-30.446639308605473,-59.880885302343984,-44.850528452754936
20180123,0.0,-36.58030712249395,0.0,48.94975797511592,-24.37954184462144,-30.052963955221912,-58.589607528032666,-45.34279924746647
20180124,0.0,-36.41162026870653,0.0,47.67194949434779,-24.358670717665127,-29.66668019833446,-57.80099280081894,-44.87794501866188
20180125,0.0,-36.05802560305951,0.0,45.068061735433574,-22.83359060189109,-29.5082718076712,-57.46613463517644,-43.774005609342964
20180126,0.0,-35.76986952886364,0.0,43.07446396403889,-21.674745766680957,-29.39274369657219,-57.49616593900253,-43.00234576997136
20180129,0.0,-35.64534845046656,0.0,41.577802134189426,-20.79302234297212,-29.133222594689553,-54.20827791287719,-40.46851638213505
20180130,0.0,-35.419291521748626,0.0,40.164802513010045,-20.03975191144083,-28.78423343525858,-51.45069588051159,-38.27560960038614
20180131,0.0,-35.241755068300215,0.0,38.99471282977166,-19.39925114771834,-28.665224462136873,-49.40324610360436,-36.50742356529426
20180201,0.0,-35.0523064620364,0.0,38.168015738397344,-18.87012326153667,-28.510932519646488,-47.55737624442494,-35.08991771137449
20180202,0.0,-34.92080160637077,0.0,37.2506855590015,-18.351486458838394,-28.37900703684854,-45.975280179851254,-33.91199186495777
20180205,0.0,-34.96249930372273,0.0,36.444037706137976,-17.806723688248283,-28.24161135024273,-44.697342302348346,-32.95248827245424
20180206,0.0,-34.84913484976475,0.0,35.87134877870654,-17.351598767100924,-28.257138921426492,-43.64439212163481,-32.16287423228813
20180207,0.0,-34.64806833219125,0.0,35.40786426003454,-16.982205054070203,-28.186823367825273,-42.6863908350898,-31.70291348731093
20180208,0.0,-34.83025026825205,0.0,34.87657682991338,-16.63940165709259,-28.096449171888203,-41.396586217805286,-31.32100120436506
