trade_date,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20180102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103,-155.86075951511017,0.12208394120118782,81.15038538687513,54.112762308000626,27.636578154872684,87.60030325174166,-16.02512470607389,0.0,223.3848113997539,-20.16572333219609,-15.926274659974654,92.31020672728482,-16.667145977831424,0.0,-16.0495000996489
20180104,-152.7691621792779,0.14236799342012263,99.57724149946702,40.05843885526196,33.140773440422386,52.149533540029246,-19.669152012974564,0.0,162.89292902157297,-23.927647342808736,-19.455071457960514,75.35936145426696,-17.38301752805921,0.0,-19.643581140069468
20180105,-135.6590459439647,0.1498069788015072,111.82131675420389,37.62220337017905,33.39380019868298,42.40559386187705,-22.887772858882833,0.0,151.95400563867446,-26.5182927925612,-21.746866244065732,67.67559071039129,-17.075349986091013,0.0,-21.477053542704425
20180108,-131.08188872384042,0.14343087285354605,117.26007863550525,32.22979760402526,34.818889484417255,35.35371525793006,-22.520892021347017,0.0,133.76068133329494,-25.54697124984233,-21.54848802589942,62.381131999888396,-16.804190311613358,0.0,-20.8653825993385
20180109,-113.22958164106426,0.11612491884379518,113.09809202911345,29.79784087265164,36.84895126722833,31.892964603331446,-22.82188083106813,0.0,122.62356214048467,-25.69710387503031,-21.810451268547013,57.3191330458307,-17.09445382505914,0.0,-21.11548404718126
20180110,-101.94550938001166,0.09810451308410832,90.86237415598751,28.81514326147788,38.898102582930214,30.22438896683622,-23.45513022381583,0.0,113.400888127256,-26.223905435043648,-21.96209631323371,54.43126340755305,-16.89276945278728,0.0,-21.77206826469465
20180111,-87.64637491961633,0.08330868760042637,75.18957436769944,28.461110420915634,41.15723220702306,29.379552686215114,-24.29789465276542,0.0,103.86197717693418,-26.824563240739206,-22.456130845304656,51.80206695624815,-16.95961689696125,0.0,-22.545828503786133
20180112,-77.28509471678719,0.07178831568776146,64.2319760691847,28.585802062472776,41.85773984809455,28.91570340952635,-25.270158966108497,0.0,92.86166393284205,-26.84623304217348,-22.449900031671273,48.9120614945299,-17.109216873635685,0.0,-23.00725755362564
20180115,-69.25896068795942,0.06423345356671624,56.48281657407251,29.041276061630622,40.126598992970415,28.81088451748262,-26.364035908758964,0.0,81.98138671580121,-27.099336352334696,-22.734389553288555,45.53353572151098,-16.60193821051685,0.0,-23.668344123677457
