trade_date,GMV
20180102,0.0
20180103,447.44757712112914
20180104,330.7323241397278
20180105,272.8192521844236
20180108,321.72497843114553
20180109,363.5921031733477
20180110,280.5414101649084
20180111,209.70786299611132
20180112,92.06702071716622
20180115,42.10757237710379
20180116,144.77144403116472
20180117,179.8885620098634
20180118,204.9017622268886
20180119,171.66884416219398
20180122,89.47587736730473
20180123,28.95716228073248
20180124,49.09597531822499
20180125,45.97307445407665
20180126,62.69131173050009
20180129,65.78589087916458
20180130,54.36234306712649
20180131,19.137547477341126
20180201,55.84615415008261
20180202,114.92338824822316
20180205,125.9680145702424
20180206,141.0475017237658
20180207,125.79694398134606
20180208,78.0937388600024
20180209,62.949882670999926
20180212,34.62218289642461
20180213,11.159950905920503
20180214,41.046555972325876
20180222,61.92484115572134
20180223,83.47956061379944
20180226,97.1652328926499
20180227,107.95713053971332
20180228,101.4427903076134
20180301,80.98134882907397
20180302,80.61469325554856
20180305,73.62778113885815
20180306,100.24080309565086
20180307,93.82335496008736
20180308,108.6846125591402
20180309,127.16718645427837
20180312,137.92701324039172
20180313,92.35793384383344
20180314,84.04383152170755
20180315,75.46586120569204
20180316,75.55566192902876
20180319,65.7944557762671
20180320,65.14586975445145
20180321,80.21934095944093
20180322,104.17371109456735
20180323,117.78000317382728
20180326,107.53424097066461
20180327,89.12285866845843
20180328,52.503788098030725
20180329,73.86223737147333
20180330,85.76107215180267
20180402,109.51875771438367
20180403,138.65669078764586
20180404,101.56149958719148
20180409,78.43158513921803
20180410,81.2870259398449
20180411,51.17773171920245
20180412,51.33129126719912
20180413,58.05070357346101
20180416,69.53539438403318
20180417,73.48359006894114
20180418,71.36569792447743
20180419,66.49718628232817
20180420,61.51801501802785
20180423,59.80264775497254
20180424,76.70515223331779
20180425,58.783613392588954
20180426,28.664714946200384
20180427,21.93712859837862
20180502,21.84608584322227
20180503,6.688437943911111
20180504,35.28559681841283
20180507,79.97590865975641
20180508,106.59035064020028
20180509,86.37979872572997
20180510,65.07132557884167
20180511,70.96272557364276
20180514,72.63418269112182
20180515,76.61923508844652
20180516,85.17799262218003
20180517,97.6534766161799
20180518,83.27927353428497
20180521,47.37650122460983
20180522,120.62205313548883
20180523,200.1262009652673
20180524,193.58463340109756
20180525,190.61462648716147
20180528,140.26218797119614
20180529,105.2119589136882
20180530,102.0662996422468
20180531,72.97046903676429
20180601,93.10795256268304
20180604,108.43695053254487
20180605,90.07928763301256
20180606,102.37312764975714
20180607,151.20843674201078
20180608,176.51043658818514
20180611,176.47762107274892
20180612,242.81904329731043
20180613,357.16825174775283
20180614,425.3706772337185
20180615,456.41502790588135
