trade_date,GMV
20180102,0.0
20180103,1378.9555262150172
20180104,1195.4108124238583
20180105,1131.6401314096079
20180108,991.5984047992827
20180109,835.6025167750054
20180110,731.9760162301557
20180111,652.7289261619659
20180112,591.6613465460454
20180115,541.9534906486126
20180116,502.96583605490076
20180117,469.9045304430932
20180118,445.55010464947645
20180119,418.939174540338
20180122,393.36415230025835
20180123,373.79339769763754
20180124,354.6863762557275
20180125,343.9352953829211
20180126,336.30076035848305
20180129,327.75108604293865
20180130,327.73514142520116
20180131,331.8182776468483
20180201,332.87511681703245
20180202,332.1921683322654
20180205,332.8153392710937
20180206,333.75318027377
20180207,318.1134287600842
20180208,300.79320891319685
20180209,281.93913900893926
20180212,267.3998009179319
20180213,260.81263219545013
20180214,264.4590692723758
20180222,262.44752819960144
20180223,255.33100294401376
20180226,249.2491520913916
20180227,243.60848002481612
20180228,237.7165568186015
20180301,235.2312451099191
20180302,238.22056661387592
20180305,244.65761162516762
20180306,247.135500853144
20180307,246.88754940176716
20180308,250.9451162040544
20180309,252.74915348053312
20180312,252.9324303062349
20180313,247.29454756728714
20180314,242.24305906741134
20180315,236.78982906091903
20180316,232.73869663265464
20180319,235.31975499417243
20180320,235.99505899632578
20180321,237.8851473398992
20180322,230.64602396805034
20180323,227.9724987373299
20180326,225.52263832691276
20180327,218.38411977085968
20180328,210.4107590251903
20180329,203.02472182330837
20180330,189.64182941944802
20180402,175.79596618451518
20180403,169.3158688867268
20180404,159.79549655024297
20180409,146.17881309195155
20180410,150.79031466537975
20180411,153.89426532118927
20180412,159.45066878228977
20180413,168.79816442178216
20180416,174.8570102285494
20180417,182.36523344913323
20180418,188.4048972632595
20180419,192.04615609880113
20180420,195.3625975299215
20180423,201.20619159376915
20180424,207.10887632693633
20180425,210.56677500768976
20180426,209.3875851574859
20180427,211.43238078637793
20180502,216.0519613407483
20180503,213.9810282471396
20180504,213.72100829342867
20180507,213.6987807077344
20180508,213.88595736795187
20180509,214.87829301476026
20180510,222.47396495385692
20180511,225.97153722045164
20180514,227.69521644867064
20180515,219.86194850941612
20180516,217.62116149284282
20180517,221.63437828621346
20180518,225.58279904457606
20180521,219.9450459332917
20180522,215.6995523141343
20180523,212.25368890352192
20180524,215.82272181473127
20180525,216.40735249289898
20180528,209.67812192543826
20180529,207.43696498623353
20180530,216.34865247252887
20180531,227.14288834060625
20180601,232.51984830542946
20180604,240.4234101263871
20180605,243.89946630380132
20180606,242.44434061983958
20180607,248.87552600885334
20180608,251.2242497056835
20180611,257.20138292773584
20180612,261.1165782549619
20180613,257.72690588190375
20180614,253.97306115187143
20180615,250.19359615695083
20180619,243.00785664068272
20180620,234.97901678644934
20180621,231.40263484845596
20180622,223.63119083340806
20180625,224.4316460448497
20180626,223.43985188265896
20180627,228.84983298171414
20180628,224.77106345911068
20180629,218.54649259118185
20180702,221.1405648813143
20180703,215.90337380082244
20180704,221.03827581769724
20180705,224.49676536560128
20180706,223.83783204889664
20180709,238.41993377718677
20180710,250.0679768388949
20180711,260.2269549702374
20180712,271.708257091955
20180713,282.3062448843408
20180716,291.35185323867
20180717,306.5912071846492
20180718,318.0035425857714
20180719,325.9594024192022
20180720,328.09988524178306
20180723,327.82995039078196
20180724,320.9015718275192
20180725,323.7705816977072
20180726,325.5738626041157
20180727,327.7287143129087
20180730,323.494176512596
20180731,323.95124616913205
20180801,311.5202119088609
20180802,301.61143835706645
20180803,296.1009864522215
20180806,284.9892142938586
20180807,275.79803993450315
20180808,268.82865485688643
20180809,261.9825663958822
20180810,264.50855296124143
20180813,264.0778095816662
20180814,266.8479120040829
20180815,270.9082157495766
20180816,269.97328872564776
20180817,269.00090237754904
20180820,264.79560640477644
20180821,258.09715021352105
20180822,253.61776790080947
20180823,253.69108588457442
20180824,257.17094007522246
20180827,255.6333467753436
20180828,252.42682638662984
20180829,247.7777428996882
20180830,249.54843938152413
20180831,249.32694474069174
20180903,250.38731787356772
20180904,254.8699406395359
20180905,260.65618943546906
20180906,262.0603839074079
20180907,256.17965041481125
20180910,256.0339661974798
20180911,257.07618479261635
20180912,255.26139643767763
20180913,255.21192399838617
20180914,254.96357163720216
20180917,256.9189934870933
20180918,260.03155560749207
20180919,266.76792261267326
20180920,271.8132506997213
20180921,276.409407341434
20180925,279.4140465870712
20180926,284.99168729066196
20180927,282.24511438867466
20180928,277.2063969133298
20181008,271.01820325287986
20181009,271.4728821691683
20181010,265.56509829860454
20181011,256.4427866379963
20181012,249.22827868757028
20181015,242.49245082325183
20181016,238.30965853013168
20181017,237.1971838400503
20181018,234.37900253233016
20181019,232.96402919047242
20181022,226.48694404004996
20181023,223.45641904785063
20181024,214.83584138513956
20181025,207.96044775741245
20181026,202.2866045375279
20181029,192.56947357764818
20181030,190.3460976106582
20181031,192.5435662656182
20181101,194.03046866995373
20181102,192.30710163532282
20181105,195.8186954227003
20181106,204.15280414017334
20181107,214.41576967687035
20181108,220.40038972180722
20181109,224.85887074769488
20181112,220.93500939781157
20181113,208.10277135292293
20181114,191.0973666640234
20181115,185.3218082284577
20181116,185.20505216369213
20181119,179.05696383793693
20181120,177.40438128821776
20181121,176.9764350124786
20181122,170.58313639936395
20181123,167.71128393177906
20181126,169.7257436243385
20181127,175.95625500594102
20181128,178.9700130595634
20181129,179.54215820366787
20181130,182.06307784719368
20181203,184.05335446417067
20181204,183.3707857730897
20181205,183.02027524473752
20181206,182.98761315846238
20181207,189.058079678971
20181210,190.2685489328957
20181211,199.31181351194175
20181212,205.46408744293893
20181213,213.0903857054563
20181214,225.0122886940876
20181217,233.22442740655148
20181218,251.14138880119341
20181219,267.6029597592278
20181220,280.32451377913384
20181221,287.44870686306746
20181224,301.5207182253202
20181225,313.3410678009297
20181226,320.4923237055261
20181227,321.76840173610947
