,Simple_PnL,Position_Factor,Compound_PnL_Rate,Compound_Net_Value,Drawdown,Max_Drawdown
20200102,-0.0394892745851696,1.0,-0.00049361593231462,0.9995063840676853,0.0004936159323146727,0.0004936159323146727
20200103,0.4442820251316559,1.0,0.005553525314145698,1.0050571680732554,0.0,0.0004936159323146727
20200106,1.1668256868452516,1.0,0.014585321085565643,1.0197162495789531,0.0,0.0004936159323146727
20200107,-0.0708508238149984,1.0,-0.00088563529768748,1.0188131528747004,0.0008856352976875925,0.0008856352976875925
20200108,-0.3033977179481076,1.0,-0.003792471474351345,1.0149493330547292,0.00467474802543566,0.00467474802543566
20200109,-0.7274690404220402,1.0,-0.009093363005275502,1.0057200303373004,0.013725601849957636,0.013725601849957636
20200110,1.853915197790063,1.0,0.023173939972375785,1.029026525949353,0.0,0.013725601849957636
20200113,-1.1590808436278968,1.0,-0.014488510545348708,1.0141174642766921,0.014488510545348832,0.014488510545348832
20200114,-0.180802110357713,1.0,-0.0022600263794714122,1.011825532055544,0.01671579250878852,0.01671579250878852
20200115,-1.4415429498802113,1.0,-0.01801928687350264,0.9935931575275008,0.03443387272175735,0.03443387272175735
20200116,0.8277497831152766,0.8,0.008277497831152766,1.001817622733983,0.026441401197377035,0.03443387272175735
20200117,0.0690390097253497,1.0,0.0008629876215668712,1.00268217894147,0.025601232177740463,0.03443387272175735
20200120,-0.6046709842334602,1.0,-0.007558387302918253,0.9951035186912963,0.032966115452427336,0.03443387272175735
20200121,-1.2902564448404534,0.8,-0.012902564448404536,0.9822641314085477,0.04544333247159349,0.04544333247159349
20200122,1.1160436895032717,0.8,0.011160436895032717,0.9932266282613869,0.034790063020910034,0.04544333247159349
20200123,-0.4124751927038534,0.8,-0.004124751927038534,0.9891298148124797,0.03877131456846128,0.04544333247159349
20200203,-2.638429084480597,0.8,-0.02638429084480597,0.9630323260951982,0.06413265177325755,0.06413265177325755
20200204,-0.4096602163273359,0.5,-0.002560376352045849,0.9605666009012083,0.06652882440030916,0.06652882440030916
20200205,0.7023905071760381,0.5,0.004389940669850238,0.9647834312886042,0.062430941322411226,0.06652882440030916
20200206,1.1914919988846528,0.5,0.00744682499302908,0.9719680046575846,0.05544902862356016,0.06652882440030916
20200207,0.6840243720196226,0.5,0.004275152325122641,0.9761233159326412,0.051410929342083356,0.06652882440030916
20200210,-0.2723152763322856,0.5,-0.001701970477076785,0.9744619828669376,0.05302539993522082,0.06652882440030916
20200211,-0.265052186573891,0.5,-0.0016565761660868189,0.9728477123713626,0.054594135487577744,0.06652882440030916
20200212,-0.2324295104210089,0.5,-0.0014526844401313056,0.9714344716369833,0.0559675118765639,0.06652882440030916
20200213,-0.0828920016467181,0.5,-0.0005180750102919882,0.9709311957130919,0.056456591517564436,0.06652882440030916
20200214,-0.3501511760377517,0.5,-0.0021884448502359484,0.9688063663379002,0.05852148423083192,0.06652882440030916
20200217,0.1850147286260935,0.5,0.0011563420539130844,0.9699266378813954,0.05743281303019232,0.06652882440030916
20200218,-0.3534196075209275,0.5,-0.0022088725470057967,0.9677841935583696,0.05951482381319839,0.06652882440030916
20200219,-0.1781934634781861,0.5,-0.0011137091467386632,0.9667063634499345,0.06056225075628974,0.06652882440030916
20200220,-0.0211730086869183,0.5,-0.0001323313042932394,0.9665784379359906,0.06068656777894943,0.06652882440030916
20200221,0.4647385954495537,0.5,0.0029046162215597103,0.9693859773462294,0.05795822274659124,0.06652882440030916
20200224,0.2965716646142114,0.5,0.0018535729038388212,0.9711828049271998,0.05621207963399011,0.06652882440030916
20200225,-0.6049423653037865,0.5,-0.0037808897831486657,0.9675108697824809,0.05978043773956099,0.06652882440030916
20200226,-0.0143756405389573,0.5,-8.984775336848313e-05,0.9674239411044714,0.059864914354903154,0.06652882440030916
20200227,0.3442037417344093,0.5,0.0021512733858400582,0.9695051344817939,0.05784242676606044,0.06652882440030916
20200228,0.0351033460705261,0.5,0.00021939591294078812,0.9697178399458743,0.05763572124514671,0.06652882440030916
20200302,-0.2241979256224382,0.5,-0.0014012370351402386,0.968359035394906,0.05895619697313126,0.06652882440030916
20200303,-0.8379226737582811,0.5,-0.005237016710989257,0.9632877229443053,0.0638844590953559,0.06652882440030916
20200304,1.1301331282070068,0.5,0.007063332051293792,0.9700917439923957,0.05727236419156978,0.06652882440030916
20200305,0.3636990284347884,0.5,0.0022731189277174274,0.9722968778972872,0.0551294321589314,0.06652882440030916
20200306,0.1845079884594106,0.5,0.0011531749278713163,0.9734181062793259,0.05403983111001365,0.06652882440030916
20200309,1.1714358623548302,0.5,0.007321474139717689,0.9805449617715829,0.04711400819628264,0.06652882440030916
