,AD.SHF,AG.SHF,AL.SHF,AO.SHF,AU.SHF,BU.SHF,BZ.DCE,CF.ZCE,CU.SHF,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,LU.INE,M.DCE,MA.ZCE,NI.SHF,OI.ZCE,P.DCE,PB.SHF,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RB.SHF,RM.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SN.SHF,SP.SHF,SR.ZCE,TA.ZCE,V.DCE,Y.DCE,ZN.SHF
20100104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100106,5.846941851645275,5.846941851645275,20.75029760916529,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,35.47976953338319,5.846941851645275,5.846941851645275,5.846941851645275,9.286267842851533,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,-28.963193301391392,5.846941851645275,-19.736791093300422,5.846941851645275,5.846941851645275,5.846941851645275,-157.51804531932805,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,-0.2441489152094455,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,5.846941851645275,-76.40155866853229,-47.00636047874509,71.40468168681268,5.846941851645275
20100107,3.8555877480536,3.8555877480536,13.860913716829966,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,24.367202710670387,3.8555877480536,3.8555877480536,3.8555877480536,4.3994245357926145,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,-19.321824199935513,3.8555877480536,-13.119787707486532,3.8555877480536,3.8555877480536,3.8555877480536,-73.70961518821822,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,-2.791623848345856,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,3.8555877480536,-48.608324562291074,-40.72637479796748,28.415613655182938,3.8555877480536
20100108,3.020069958719062,3.020069958719062,11.425097506644203,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,20.57250068932789,3.020069958719062,3.020069958719062,3.020069958719062,3.8863838595648854,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,-16.87400540969833,3.020069958719062,-11.971245169642621,3.020069958719062,3.020069958719062,3.020069958719062,-46.93776943233616,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,6.403898676692038,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,3.020069958719062,-39.52998224853173,-40.04046760629645,13.403280496547241,3.020069958719062
20100111,2.399840227421339,2.399840227421339,9.881979559368364,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,17.9009918803193,2.399840227421339,2.399840227421339,2.399840227421339,4.788515271151524,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,-12.109708461647935,2.399840227421339,-11.707898808763275,2.399840227421339,2.399840227421339,2.399840227421339,-33.97835126882107,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,11.724385801583733,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,2.399840227421339,-32.3458839868029,-39.195454782116016,5.846697290824086,2.399840227421339
20100112,2.06878741282773,2.06878741282773,9.167659639942618,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,16.42000920975144,2.06878741282773,2.06878741282773,2.06878741282773,5.276333199211193,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,-10.305352757229334,2.06878741282773,-11.829094083993043,2.06878741282773,2.06878741282773,2.06878741282773,-26.61967794516781,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,13.023959746421594,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,2.06878741282773,-24.895666014940584,-39.62948388589963,1.1213282685884436,2.06878741282773
20100113,1.8291035962838218,1.8291035962838218,8.39932953873511,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,14.717438343526336,1.8291035962838218,1.8291035962838218,1.8291035962838218,6.039240852637455,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,-9.499463141893452,1.8291035962838218,-11.353658082149627,1.8291035962838218,1.8291035962838218,1.8291035962838218,-21.653240573643497,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,12.381777595024541,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,1.8291035962838218,-18.852450886779007,-38.89470112431913,-1.644691198504851,1.8291035962838218
20100114,1.6120438568779134,1.6120438568779134,7.910071762112644,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,13.541981485262617,1.6120438568779134,1.6120438568779134,1.6120438568779134,5.964531135830704,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,-7.9475756217067435,1.6120438568779134,-11.15910670095678,1.6120438568779134,1.6120438568779134,1.6120438568779134,-18.231996279424806,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,11.347262354479891,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,1.6120438568779134,-13.474368866514583,-37.576229465114196,-3.5720170809398946,1.6120438568779134
20100115,1.53301341808489,1.53301341808489,7.7200683385270725,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,12.903523051829941,1.53301341808489,1.53301341808489,1.53301341808489,5.808814188545228,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,-7.10435438749435,1.53301341808489,-11.066840088959887,1.53301341808489,1.53301341808489,1.53301341808489,-15.835233082227331,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,9.878784364840028,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,1.53301341808489,-10.525061523535648,-37.326707538905325,-5.042436119421093,1.53301341808489
