,AL.SHF,CU.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,28.65617096199024,56.97799810667494
20100107,19.238239773416417,39.439731201389094
20100108,16.161186129643855,33.74981205565187
20100111,14.386656760140582,29.8056128499142
20100112,13.649710809250633,27.594527837703616
20100113,12.633229785901436,24.781688764691946
20100114,12.109847427128985,22.93888288027827
20100115,11.896468583054018,21.863214788061633
20100118,11.885915052121275,21.288635365708508
20100119,12.012388607046555,20.98313473550251
20100120,12.150264802791819,20.777019793213558
20100121,12.36965757913145,20.791984177815536
20100122,12.542931172455878,20.51286930735736
20100125,7.4682025189974794,12.71145984014534
20100126,3.3625148455892138,6.429564053068783
20100127,-0.012507083549134873,1.2912449566820174
20100128,-2.568285970803334,-2.480359600151351
20100129,-4.667098705423411,-5.32922034650294
20100201,-6.4010964613542995,-7.65658634097202
20100202,-7.877272517355847,-9.60204392451644
20100203,-9.203841325975452,-10.997648609913174
20100204,-10.299882510496673,-11.953096946365669
20100205,-11.210691522962726,-12.556373422211314
20100208,-12.456377344082622,-13.172455529407975
20100209,-13.414377635405103,-13.600027467122427
20100210,-14.735335233425458,-13.869349137751131
20100211,-15.889496159905393,-14.108839568532575
20100212,-16.749730031285345,-14.223644113861194
20100222,-17.414977261190984,-14.02271693871503
20100223,-17.966940834852927,-13.880396633006452
20100224,-18.496516045529496,-13.765055268185641
20100225,-18.938339977089182,-13.670034644594391
20100226,-19.50836448925459,-13.661346826571148
20100301,-19.989008631918637,-8.897134458049065
20100302,-20.325104340472542,-5.052875939297301
20100303,-20.559505286040235,-1.9120460165265736
20100304,-21.89341193606837,0.77315282337668
20100305,-29.163645863316727,5.62981623839434
20100308,-35.209490757980895,9.73471906769329
20100309,-39.889942012306285,13.071820378136763
20100310,-32.73340639820809,15.966683192176678
20100311,-26.881776347009342,18.576777725213105
20100312,-22.10371582328819,21.45398275295129
20100315,-18.185525323285876,17.50584803374256
20100316,-14.982854900937934,20.296580742810843
20100317,-12.363765310782691,22.66006995917434
20100318,-10.21836566280736,24.542502146026
20100319,-8.463574724713512,26.150581833559595
20100322,-7.028518151728183,28.437489098217373
20100323,-18.96686300359639,30.312941807720964
20100324,-29.091268714276264,31.94986443324472
20100325,-37.144044811144674,33.31844326321034
20100326,-43.18812900841973,34.326469991716415
20100329,-48.290376126303165,36.051984690599994
20100330,-53.86504356380777,38.38339298036358
20100331,-58.75487557592155,40.24242365548526
20100401,-62.595538249921496,41.61065568865577
20100402,-51.328890086335115,42.70657202807493
20100406,-26.89062972184122,43.76795756561817
20100407,-6.496928830156377,44.69540939494175
20100408,-5.436381935800866,45.06550879697392
20100409,-4.570623243791101,45.933133199599496
20100412,10.77471073580176,46.637275191949946
20100413,24.794763493695182,47.932684999630915
20100414,36.160320420980064,49.01774820093257
20100415,45.8144102004272,50.75928960824005
20100416,54.29852223890191,52.455957037491736
20100419,44.323233699160994,42.8507759724574
20100420,36.161385264282956,43.67832729667689
