,AD.SHF,AG.SHF,AL.SHF,AO.SHF,AU.SHF,BU.SHF,BZ.DCE,CF.ZCE,CU.SHF,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,LU.INE,M.DCE,MA.ZCE,NI.SHF,OI.ZCE,P.DCE,PB.SHF,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RB.SHF,RM.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SN.SHF,SP.SHF,SR.ZCE,TA.ZCE,V.DCE,Y.DCE,ZN.SHF
20100104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100106,4.084484586435973,4.084484586435973,17.585224742408556,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,30.928445981908133,4.084484586435973,4.084484586435973,4.084484586435973,7.200121579502376,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,-27.449526755828256,4.084484586435973,-19.09145889429478,4.084484586435973,4.084484586435973,4.084484586435973,-143.9055572715005,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,-1.4333487826195286,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,4.084484586435973,-70.4232740558412,-43.7945778715349,63.47231811385147,4.084484586435973
20100107,2.6933889763492256,2.6933889763492256,11.757072906198069,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,21.27457218737992,2.6933889763492256,2.6933889763492256,2.6933889763492256,3.186043065668572,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,-18.30270219189954,2.6933889763492256,-12.684364652036189,2.6933889763492256,2.6933889763492256,2.6933889763492256,-67.57183632094612,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,-3.3282264225500544,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,2.6933889763492256,-44.832930544695294,-37.69278322338693,24.94197066432231,2.6933889763492256
20100108,2.109723255221917,2.109723255221917,9.723719376268104,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,18.010223132914618,2.109723255221917,2.109723255221917,2.109723255221917,2.894504821140377,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,-15.91203953178086,2.109723255221917,-11.470698056413678,2.109723255221917,2.109723255221917,2.109723255221917,-43.14638009130939,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,5.175086049813961,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,2.109723255221917,-36.435769975945036,-36.89821147440638,11.515727495927322,2.109723255221917
20100111,1.6764508126676916,1.6764508126676916,8.454415492228447,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,15.718725853877938,1.6764508126676916,1.6764508126676916,1.6764508126676916,3.840317904559755,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,-11.467545064416159,1.6764508126676916,-11.103551356957345,1.6764508126676916,1.6764508126676916,1.6764508126676916,-31.278040694197266,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,10.123425367762056,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,1.6764508126676916,-29.79921156696977,-36.00414131514409,4.798910098006718,1.6764508126676916
20100112,1.4451880170366131,1.4451880170366131,7.875956422358282,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,14.445757791614563,1.4451880170366131,1.4451880170366131,1.4451880170366131,4.350858585794067,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,-9.764371347150663,1.4451880170366131,-11.144707162268919,1.4451880170366131,1.4451880170366131,1.4451880170366131,-24.543288845061042,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,11.369324395859946,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,1.4451880170366131,-22.981530709880644,-36.328688881346324,0.586898117574178,1.4451880170366131
20100113,1.2777526501163377,1.2777526501163377,7.229627828987159,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,12.953113642416,1.2777526501163377,1.2777526501163377,1.2777526501163377,5.091656716006272,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,-8.984636462788785,1.2777526501163377,-10.66432555390415,1.2777526501163377,1.2777526501163377,1.2777526501163377,-19.99457232483692,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,10.83727145418158,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,1.2777526501163377,-17.457376379903142,-35.613368694686045,-1.8691091468281207,1.2777526501163377
20100114,1.126121732204991,1.126121732204991,6.8314165414451535,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,11.93328426783135,1.126121732204991,1.126121732204991,1.126121732204991,5.06897867941753,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,-7.53380296329339,1.126121732204991,-10.443083752749624,1.126121732204991,1.126121732204991,1.126121732204991,-16.850314842472542,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,9.945119106767638,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,1.126121732204991,-12.540447151887307,-34.373983337385575,-3.57004608482444,1.126121732204991
20100115,1.0709136221707614,1.0709136221707614,6.6756795668791264,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,11.371298213655527,1.0709136221707614,1.0709136221707614,1.0709136221707614,4.944301341011498,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,-6.753556267159253,1.0709136221707614,-10.343116276169264,1.0709136221707614,1.0709136221707614,1.0709136221707614,-14.6627363544312,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,8.631230022492396,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,1.0709136221707614,-9.852326701467105,-34.13156048566257,-4.885693537916966,1.0709136221707614
