trade_date,PnL
20100104,0.0
20100105,0.0
20100106,0.0
20100107,0.0
20100108,0.0
20100111,0.0
20100112,0.0
20100113,0.0
20100114,0.0
20100115,0.0
20100118,0.0
20100119,0.0
20100120,0.0
20100121,0.0
20100122,0.0
20100125,0.0
20100126,0.0
20100127,0.0
20100128,0.0
20100129,0.0
20100201,0.0
20100202,0.0
20100203,0.0
20100204,0.0
20100205,0.0
20100208,0.0
20100209,0.0
20100210,0.0
20100211,0.0
20100212,0.0
20100222,0.0
20100223,0.0
20100224,0.0
20100225,0.0
20100226,0.0
20100301,0.0
20100302,0.0
20100303,0.0
20100304,0.0
20100305,0.0
20100308,0.0
20100309,0.0
20100310,0.0
20100311,0.0
20100312,0.0
20100315,0.0
20100316,0.0
20100317,0.0
20100318,0.0
20100319,0.0
20100322,-0.07502500882169401
20100323,0.30411945847894756
20100324,0.0375377160860632
20100325,-0.4097243251510079
20100326,-0.588741336109373
20100329,-0.11854790821822922
20100330,0.25071224767112177
20100331,-0.24972029977245194
20100401,0.8534506343305407
20100402,-0.038456474468332155
20100406,0.4498688843514576
20100407,-0.453212922171123
20100408,-0.30103931923554966
20100409,-1.1474448405803404
20100412,-0.3356863405920121
20100413,-0.16386061773505362
20100414,0.22020827859597966
20100415,0.21563230927022117
20100416,0.029483411598114306
20100419,0.17866089833140994
20100420,0.402821017107584
20100421,1.8090678352999383
20100422,-0.7424276900276269
20100423,0.5021681451549741
20100426,1.017476711331172
20100427,0.5113944936663395
20100428,0.5290105834176373
20100429,0.9780398553267508
20100430,-0.15844587594370607
20100504,0.9882299799289832
20100505,-0.7632926097439975
20100506,-0.1196153264775611
20100507,0.3721302971724447
20100510,-0.8563832782458433
20100511,0.16145835847764417
20100512,-0.6994550392400459
20100513,-0.38991770840280937
20100514,0.9870558022437498
20100517,2.014740163654343
20100518,-0.15651313433072853
20100519,0.27352653288214696
20100520,-0.8454246652548773
20100521,-0.6394965558200311
20100524,-1.3776228876965078
20100525,0.291771647003862
20100526,-0.2984035992190962
20100527,-0.02500292844141844
20100528,0.8440720292434
20100531,0.513432809090388
20100601,-0.18713426263931027
20100602,-0.01316053385605588
20100603,0.19969473196619997
20100604,-0.05303159948596634
