,PnL
20100104,0.0
20100105,0.0
20100106,0.0
20100107,5.299171388618315
20100108,0.7348240584052668
20100111,-0.3826810372981204
20100112,0.548899613258305
20100113,1.114074036567723
20100114,-0.6853866816212029
20100115,0.08521999461300274
20100118,-0.3254304746093673
20100119,0.4149034499387718
20100120,0.3616373099550774
20100121,-0.3530418171011484
20100122,-0.7699224240973915
20100125,0.3783225419674143
20100126,0.45026832868994715
20100127,-0.019529987930910632
20100128,0.5894702452845703
20100129,0.3372896150692288
20100201,0.6964904025148455
20100202,0.10278447993385065
20100203,-1.1245062141154385
20100204,0.346447337286473
20100205,-0.14387999422499925
20100208,-0.7040324527118922
20100209,-0.07776848822209007
20100210,0.07045623946140106
20100211,-0.39994885783357925
20100212,0.03748838868779654
20100222,-0.8531889835099421
20100223,-0.5156630042030087
20100224,0.40768411572732827
20100225,0.2698727856481367
20100226,0.4236342205580591
20100301,-0.6300701589757928
20100302,0.32559998215699903
20100303,-0.3169828640832563
20100304,0.5591372797471312
20100305,-0.26042172670212177
20100308,-0.3082875885941828
20100309,-0.10951674380502066
20100310,-0.10091324293658414
20100311,0.08797019654390874
20100312,0.39784744053486953
20100315,0.12933717643288897
20100316,-0.48419724781173834
20100317,-0.023143728477571044
20100318,0.22201878819732576
20100319,-0.5433570759084132
20100322,-0.39458475769560725
20100323,0.08686710052021782
20100324,0.04020752839881395
20100325,-0.19285239623819014
20100326,0.2789059999584787
20100329,0.37620255140340475
20100330,-0.4067056119129503
20100331,0.008624175923649415
20100401,0.526260035208915
20100402,0.13017122420479713
20100406,0.17660324080991197
20100407,-0.34287634752944723
20100408,-0.5375650716438737
20100409,0.08229128456402153
20100412,-0.0885406344887583
20100413,-0.11632944268116704
20100414,0.10952872209448838
20100415,0.04171389459048588
20100416,-0.05969421142384075
20100419,-1.442468750158052
20100420,0.5850014846644755
20100421,0.37827273095592534
20100422,-0.06868564706812903
20100423,0.3251748501102975
20100426,0.6104551714948335
20100427,0.5485744778921319
20100428,0.4828462660590631
20100429,0.3289770832832841
20100430,-0.2946231201202625
20100504,0.12668582895780636
20100505,0.7539610752867417
20100506,0.13660345496959372
20100507,1.6643082354873249
20100510,-1.1355822827500133
