Factor,Parameters,Mode,SharpRatio,POT
OvernightVsIntraday,{'N': 10},RAW,0.1249,3.7508
OvernightVsIntraday,{'N': 10},STATE_MACHINE,0.2086,4.0362
OvernightVsIntraday,{'N': 20},RAW,0.2797,10.8043
OvernightVsIntraday,{'N': 20},STATE_MACHINE,0.3456,8.8949
OvernightVsIntraday,{'N': 30},RAW,0.202,8.4319
OvernightVsIntraday,{'N': 30},STATE_MACHINE,0.1576,4.4279
OvernightVsIntraday,{'N': 40},RAW,0.1344,5.9554
OvernightVsIntraday,{'N': 40},STATE_MACHINE,-0.032,-0.9922
OvernightVsIntraday,{'N': 50},RAW,0.101,4.6806
OvernightVsIntraday,{'N': 50},STATE_MACHINE,-0.1384,-4.3806
OvernightVsIntraday,{'N': 60},RAW,-0.0082,-0.393
OvernightVsIntraday,{'N': 60},STATE_MACHINE,-0.1897,-6.246
